,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XTZ,XLM,TRX,ADA,ATOM,LEO,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0552703401940434,0.0940364910669869,0,0,0.186607929486915,0,0.00648175240327799,0,0,0.116842898144387,0.0155180467636757,0,0.127924455474622,0,0,0,0,-0.00289038239368019
ETH,0,0,0,0.0816554331336422,0.280544415104989,0.147328077099563,0.153015372837135,0,0,0.0482841734195287,0.0789046256692312,0,0.0219137755775355,0,0.0704062707461272,0,0,0,0,0
XRP,0,0,0,0.36786319113604,0,0,0,0.09784237075304,0,0.00320744569641999,0,0.310474487618699,0,0,0,0,0,0,0,0
BCH,0,0,0.198712367023547,0,0,-0.000000000000000000867361737988404,0.302130141049262,0.135566595696788,-0.0152000288041861,0,0.243908691537996,0,0.0776551001716333,0,0,0,0,0,0,0
LTC,0,0.128813393408112,0.0764170618268572,0,0,0.501764499904447,0,0,0,0,0.0489406202068143,0.0692033543825414,0.0486403029853865,0,0,0,0,0,0,-0.0155021399890952
EOS,0,0.199272349254483,0,0,0.661940105321488,0,0,0.0449287234481337,0,0.0408874252211901,0,0,0.0634173931258471,0,0,0,0,0,0,0
BNB,0,0,0.0912238486846697,0.314520647358181,0,0.301939966053171,0,0,0.00256518513361407,0,0.03783589568301,0,0.0299545858876263,0,0,0,0,0,0,-0.0251470942328058
BSV,0,0,0,0.523019439455039,0,0.195246825035311,0,0,0.0397562486831349,0,0,0.0579181763391761,0,0,0,0,0,0,0,-0.0825505279400479
XTZ,0,0,0.957152746783246,0,-0.46729562436468,0,0.256960103009337,0,0,0.00392994671767352,-0.3693785609519,0.283495478429582,0.000000000000000000433680868994202,0,0,0,0.131928342975177,0,0,-0.0646287477261479
XLM,0,0,0.259125748822382,0,0,0,0,0.0567159349314064,-0.0186442797440263,0,0.190100681717278,0,0.188112404180723,0.109848299492832,0,0,0.0853342881178527,0,0,0
TRX,0,0,0.30365696981996,0.352962213687656,0,0.00000000000000000346944695195361,0,0,-0.0604725697060665,0.0281306675310159,0,0.26180475573023,0.102887516183201,0.322826577445814,0.0500896287665442,0,0,0,0,0
ADA,0,0.191284534420398,0,0,0.027716486414212,0.144650905935034,0,0,0,0.0887598143794025,0.127517243024041,0,0.139463638862773,0,0,0,0,0,0,0
ATOM,0,0,0.0000000000000000138777878078145,0.147466827457495,0.00000000000000000693889390390723,0.314813532320684,0,0,0.0899237899038383,0.116306421982375,0,0.314314468234029,0,0,0,0,0,0,0,0.00153938476170735
LEO,0.417277884612162,0.0333496972181003,0,0,0,-0.284786863172263,0,-0.038526564508465,0.0637146835487713,0.0991682516770336,0.339129690702107,0.0733980450763586,-0.0999480525058738,0,-0.297021376931029,0,0,0,0,0.0460560753726065
XMR,0,0.0978523317072897,0,0.214716741312557,0.189621659917997,0,0.234087984427433,0,0.0481936562400485,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0.146232679236719,0.330305716762823,-0.176081842144719,0,-0.0693391161600638,-0.19551221058215,0.103175490566647,0,0.291195267773144,0,-0.168694638593232,-0.0266667971078184,-0.187160342604748,0,0.0345940195746211,0,0,-0.0642735580256126
CVIX.INDEX,0,0,-0.0907789734485185,0,0.252480529377142,0,0.127891300895769,0.0718655061286989,0.000893596582838648,0,-0.49819857489221,-0.111577670092734,-0.0244150215771376,0.310320088077864,0.279092549480061,0,0,0,0,-0.0208576794424327
DXY.INDEX,0,0,0,0,-0.0198117837200053,0,0,0.0112509441282265,0,0.0244254020527835,0,0,-0.011653172403576,-0.00960331017805516,0,0.0329127065387532,-0.0192930979445578,0,0,0
SPX.INDEX,0,0,-0.0210896257816931,0,0,0.0388410058618882,0,-0.00111963386482126,-0.00230341118407976,0.00249146959614169,0,0,-0.0107793156276656,0,0,0.0786529719945838,0,0,0,-0.0414111675671516
VIX.INDEX,0,0.188416473268443,-0.239822408035596,0,0,0,0,0,0.0497918946861004,0.288924544248904,0,0,-0.432978734173399,0,0,0,0,0,-6.48537497366129,0
