,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,MIOTA,DASH,XMR,ETC,XEM,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.27864496108434,0.037288930623318,0,0.053505630906847,0,0.0462540414508956,0,0,0.09504270375579,0,0,0.0479955561897623,0,0,0,0,0
ETH,0,0,0,-0.000000000000000000216840434497101,0.108207970278151,0.138152684907876,0.0757265623548178,0.00999318808429184,0,0,0.33269369718862,0,0.12512265090421,0,0,0,0,0,0,0
XRP,0,-0.20921469016685,0,0,0.13265500260621,0.181937244337072,-0.0947344020544957,0.0521805722430938,-0.00000000000000000346944695195361,0.13741238081607,0,0.131751814270562,0.238803142422206,0.247011525124359,0.139113160964958,0,0,0,0,0
BCH,0,0,0,0,0.308029104020751,0,0.183314699280115,0,0,0,0.0735470736953502,0.109462865098623,0.189583224725403,0.0123052882580878,0.00364950049893886,0,0,0,0,0
LTC,0,0,0,0.188686303819317,0,0,0,0,0.126365486006982,0.0439139934308128,0.066700134509365,0,0.159200438872,0,0,0,0,0,0,0
ADA,0,0,0.0213943015722396,0,0,0,0.0313325426619655,0.0600887477894108,0.0919437143179144,0.19773500303679,0,0.158160337162044,0,0.0608486499050925,0.122150384525319,0,0,0,0,0
NEO,0,0.183125662385803,0,0.161212297973137,0,0.0300852556585651,0,0.092390672176133,0,0,0,0,0.245758762927271,0.105193621484702,0,0,0,0,0,0
XLM,0,0,0.227292816853258,0.193103947697968,0,0.389568271708848,0.134386174563355,0,0,0.173049597428604,0,0,0,0.051621379891739,-0.196578821295079,0,0,0,0,0
EOS,0,0,0.133516783561027,0,0.0709926860297406,0,0,0,0,0,0,0.435906698177024,0.132316261824726,-0.00000000000000000693889390390723,0.128318294603637,0,0,0,0,-0.0295446553108484
MIOTA,0,0,0.114478005140553,0.0292225281932759,0.0708706007868414,0.0479242751998798,0,0,0.134725081475195,0,0,0.224210670994686,0.117525447173807,0.0394298119885918,0.0460417074276578,0,0,0,0,0
DASH,0,0,0,0.041565157750807,0.0623535013264858,0,0,0,0.147166923610092,0.0604382963177048,0,0.138844581086012,0.195356292823029,0,0.0273463917077643,0,0,0,0,0
XMR,0.0391553396801548,0,0,0.125323284107935,0.233701467824943,0,0.0755674923259642,0,0,0.183278406015645,0,0,0.0916813983978094,0.045175806492307,0,0,0,0,0,0
ETC,0,0,0.11876384837593,0.206858130896039,0,0,0.138565950666268,0,0,0,0.0642059933389116,0.222088056904501,0,0.00000000000000000346944695195361,0.0333592884794871,0,0,0,0,0
XEM,0,0,0.151182450106943,0,0.23698925523867,0,0.0718019023395345,0.177867142005958,0.0495794178813088,0.127039744410947,0,0.0150415307511803,0,0,0.0202846697613841,0,0,0,0,0
TRX,0.446933658801092,0,0,0,0,0,-0.559541946179194,0,0.0448731352182306,0.332183882528895,0.352832222079465,0,0.360419244503503,0,0,0,0,0,0,0.0141934949352668
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0428008284547174
CVIX.INDEX,0.0362021892678469,0,0,-0.0101403978701582,-0.0377631326162372,0.0693179039155458,0,-0.0597214859532794,0,0.0121661804089591,0,0,-0.0726898674588953,0.0636777209791984,-0.0231798772933416,0,0,0,0,0.0418678410710005
DXY.INDEX,0,0.018243762054721,0.00484347314327598,-0.00374967970733387,0,-0.010196357126647,-0.00520877938738153,0,-0.00932548779907887,0,0,0,0,0,-0.00439139094937165,-0.0957189997072931,-0.00895031062639291,0,0,-0.00134960596193384
SPX.INDEX,0,0,0,-0.0255459473203102,0,0.00310745591155737,0.0172527337771511,0,0,0,0,0,0,0,0,0,0,0,0,-0.0646335215108114
VIX.INDEX,-0.277437098406955,0,0,0,0.272866373394632,0,0.204776985426836,0.00000000000000000693889390390723,0.0957734749236835,-0.516536036252606,0,0,0.266539393049131,-0.0107258719465438,0.0436924099713243,-1.76736242192133,0.221295701139716,0,-4.93678015598039,0
