,BTC,ETH,BCH,XRP,LTC,DASH,NEO,XEM,XMR,ETC,MIOTA,ADA,ZEC,XLM,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.083188916435933,0,0.22799366091856,0.179870675188805,0,0,0,0.0419540044178138,-0.0945076975504845,0,0,0,0.149763635949347,0,0,0,0,0
ETH,0.117522629219658,0,0,0.128968864449769,0.0881813015635446,0,0.0551269841757661,0.0862267305335236,0.135912621192806,0.124455932422109,0.0224171404058955,0.0623123609447894,0,0,0.0528856749231996,0,0,0,0,0
BCH,0.188517619554679,0,0,0,0,0,0.105096459126562,0,0,0.387800128764677,0,0,0,0.0633703987257145,0.139714996345997,0,0.317836505189096,0,0,0
XRP,0,0.251138863647696,0,0,0,0.107667635630611,0.0340633052233193,0,0.237770811964783,0,0,-0.0177336623935791,0,-0.00317067781388642,0.0360020294911549,0,0,0,0,0
LTC,0.433816137545459,0,0,0.221988739228745,0,0,0,0.281045110793117,0,0.18822219351635,0,0,0,0,0.0450696980538373,0,0,0,0,0
DASH,0,0.124353473736608,0.036043167234561,0.00153498957760774,0.1250930585705,0,0.0014569223650657,0.104496262732154,0.200357173048283,0,0.0314962831199115,0,0,0,0.0885890217196306,0,0,0,0,0
NEO,0,0.047244875466709,0.136324090098817,0,0,0.342010056056862,0,0,0,0.0921760181371814,-0.0217180018263629,0.14360829004532,0.477345017170848,0.143248272739937,-0.131531591834837,0,0,0,0,0
XEM,0,0.0959876340913305,0,0,0.0977347325824987,0.168783892806456,0.0735701049067785,0,0.269363788345809,0.154902752391613,0.0660780181685635,0.063869133245463,0,0.0834735112415504,-0.0301319823052992,0,0,0,0,0
XMR,0.124771196545798,0.334464523222832,0,0.0760151425665692,0.046675724752276,0,0.00132105557746372,0,0,0.243405009081854,0,0,0.0472820058530285,0,0,0,0,0,0,0
ETC,0,0,0.148202398667766,0,0.536333242840542,0,0,0.156577448766945,0,0,0.0612248017101018,0,0,0.0344597219373781,0,0,0,0,0,0
MIOTA,-0.529581526285294,0,0,0,0,0,-0.212727145733952,0.566677723690032,0,0.104380922038385,0,0.0961090355267945,0.398436042032088,0.0695015162623837,0.416477801306077,0,0,0,0,0
ADA,0,0,-0.37711332620183,0.476558379868798,-0.267602005424288,0,0.162034856326001,0.178529480278598,0,0,0.608104241361074,0,0.0390699630479124,-0.201955535355482,-0.313664130177611,0,0,0,0,0
ZEC,0,0,0,0,0,0,0.0811202818435426,0,0,0.238146698583544,0.0675174200170808,0.0651538707645715,0,0.0415870474413785,0.118431242392877,0,0,0,0,0.0594117988350601
XLM,0,0.314675450687643,0,0.0806010657523744,0,0,0.178002612876989,0,0,0.00000000000000000346944695195361,0.690787910922827,-0.242938063467343,0,0,-0.0466842180979338,0,0,0,0,0
EOS,0.433460440734157,0,0.156576921280602,0,0,0.0852694437380567,0,0,-0.300918219818627,0,0,0,0.630308285137822,0.0622058242908674,0,0,0,0,0,0
BV010082.INDEX,0.00924161872491312,0,0.0232274543209951,0,-0.0127317232041849,0,0.0206771542905628,-0.0167186494671981,-0.112376339176421,0.0158815894603179,0.0274411121631442,0,0,0.00805489656311011,0.0211652475333876,0,0,0,0,-0.0197438668548079
CVIX.INDEX,-0.0769024911783238,0,0.0520298377852104,0,0,-0.1789969573347,-0.0161125042559028,0.040445904516881,0,0,0,0.052542808083677,0,0.0168473347737417,-0.0120846589485798,0,0,0,0,0.0921229095686873
DXY.INDEX,0,0,0.0155310349038207,0,0,-0.0274687600119774,0.0074886086784174,-0.00697367301662417,0,0.00197488391086069,0.00579139268791941,0,0.00632076350620847,0.00313901404979788,-0.00210077355746943,0,0,0,0,0
SPX.INDEX,-0.000725684280398085,0,0.00202091526201747,-0.00544900623668824,0,0,0.00461688828009124,0.00289704296337245,0.00384317429214669,0,0.00630437405517076,0,-0.0239429823550601,0.000465263793394949,0,0.0270202490153343,0,0,0,-0.0334806786877898
VIX.INDEX,0,0,-0.120017466254243,0.0550043018178669,0.140029799431039,0,0,-0.130017927858981,-0.0492679493618732,-0.0283675166341748,0.151820134281869,0.0776609737390332,0.151653349132679,0.0585743497473509,-0.0912815028461033,0,0.485714076896017,0,0,0
