,BTC,ETH,XRP,BCH,LTC,DASH,XEM,XMR,NEO,MIOTA,ETC,ADA,ZEC,XLM,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0116502627323087,0,0,0.0331836872695609,0,0.134543653395136,0,0.0899812346643023,0.126693734484617,0.172112620595439,0,0,0,0.0262024666800947,0,0,0,0,0
ETH,0,0,0,0,0.188598415188016,0,0.0905719040981079,0.0520006565687432,0,0.182282690772353,0,0,0,0.141899392771927,0.0109623073302136,0,0,0,0,0
XRP,0,0,0,0.105421499530695,0.0376473049704222,-0.0625018426916325,0,0.1234953571875,0.0885512183271853,0.0441542508354953,0,0,0,0.127438258968634,0.0828424140639539,0,0,0,0,0
BCH,0.41790667982924,-0.498452878328718,0,0,0.333754869585467,0,0.305262237358448,-0.123559089503558,0,0.0674220049081919,0,-0.166214368699319,0.309934870879081,0,0,0,0,0,0,0
LTC,0,0.00404836285737123,0.0769466611932697,0,0,0,0.00324582056113023,0,0,0,0.749162995220833,0,0,0.0654564931140562,0,0,0,0,0,0
DASH,0.301158380072952,0,0.149816679156379,0.13847524473192,-0.00269962833589996,0,0.103110085367164,0,0,0.0378504376117694,0,0,0.114898292404221,0,0,0,0,0,0,-0.126563504355297
XEM,0,0.741385339047321,-0.0645567103223305,0.0153012546987137,0.0995872103589747,0.33087761634878,0,-0.120291848055594,0.0686076260615408,-0.00000000000000000346944695195361,0,-0.0552007750069395,0,0.0505004835254956,0,0,0,0,0,0.143444693413994
XMR,0,0,0.279458940070175,0.0794861409165958,0,0.0615300942462947,0.0877449003981433,0,0.116698394601521,0,0.122985639576264,0,0.0786803008898555,0.0884001447424267,0,0,0,0,0,0
NEO,0,0,0,0,0.123764885796329,0.0598440531681155,0.299583611192869,0.0152198840302475,0,0.0337448480972478,-0.0000000000000000138777878078145,0,0,0.277589820376345,0.213248110453068,0,0,0,0,-0.262165059374845
MIOTA,0,0,0,-0.0960423796332036,0,0.0157319325807593,0,0.0721519997540927,-0.0266524699722232,0,0,0,0.444151690185239,0.0110670732341846,0.338854609013964,0,0,0,0,0
ETC,0,0,0,0,0.556658836518583,0,0.110217045465058,0.0307584123146611,0,0.0648580045188832,0,0,0,0.148210082933627,0,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0.0231919179667216,0,0,0,0,-0.0502313406655764,0,0,0,0,0,0
ZEC,0,0,-0.0783298470295209,0.0461253984861447,0,0.294148244144004,0.248586325124753,0,-0.0743920051586244,0.0985236910995323,0.0389735095847354,0,0,0.155910062227023,0.281783411019912,0,0,0,0,0.0923665398318008
XLM,0,0,0,0,0,0,0.307947903251243,0.175640438342588,0.00000000000000000346944695195361,0.0646782873998046,0.183840609080626,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0.0910339216814532,0,0,0.0605499337736243,0.250296928094937,0.0274351523496481,0,0,0.176635783964959,0.192571518474662,0,0,0,0,0,0
BV010082.INDEX,0,0.00697151369982522,0,-0.0220512317173877,-0.0312227324341785,-0.0734472297853947,0,-0.0128198948772073,0.0219596989989454,-0.0107676062145247,0.0319386468964474,0.0409288801415088,0,0.0215746335984332,0.0436374499608048,0,0,0,0,-0.0630874952151731
CVIX.INDEX,0.233355237738413,0,0,0,-0.135733400372168,0,0,0.0503200410071389,-0.0273896302004424,0,0,0,-0.00556644050111168,-0.0310073955451237,-0.0235481381671423,0,0,0,0,0.141452892341886
DXY.INDEX,0,0,0,0,0.00439625663471891,-0.0279433145683464,0,0,0.0092603650212446,0.00366770441710304,0,0,0.00545605647622416,0.00492143435922975,0,0,0,0,0,-0.00598485864069014
SPX.INDEX,0.00493363967902223,0,0.00147644037182977,-0.0107415351143992,0,-0.00526837692209115,0,-0.00648073026173814,0,0,0.0041483004160764,0,-0.00277471254594911,0.00617157644916783,0.00382274189441971,0,0,0,0,-0.0357652817600527
VIX.INDEX,0,0.373815197341292,-0.0489704321907523,0,0,-0.28564162025842,0,0,0,0,-0.0596606516130384,0,0.188384278210243,0,-0.246566685429753,0,0.791673829031452,0,0,0
