,BTC,ETH,XRP,EOS,LTC,BCH,XLM,TRX,BNB,BSV,ADA,XMR,MIOTA,DASH,MKR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0923870691200186,0,0.0601963153255461,0.0438413503513578,0.147710797364992,0,0.00459768836415452,0.030487042287584,0,0.0732613140663065,0.0296140859399231,0,0.0463094766993728,0.0157499138532111,0,0,0,0,0
ETH,0,0,0.195932596911774,0.0506039209841373,0,0.361355655209341,0,0.0803619899573027,0.00155198186216319,0.0568583461856158,0,0,0.165494656382068,0,0.122346074819798,0,0,0,0,0
XRP,0,0.103356229686488,0,0,0,0.314768634790735,0,0.0118746614265052,0,0,0.179615412835735,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0.0944369578195138,0.345089474903626,0,0,0.22303276960082,0,0.245602107516738,0.123527698446464,0,0,0.138880261786022,0,0,0,0,0
LTC,0,0.110695623152387,0,0.0811779030722742,0,0.303065332426689,0.062482521595924,0.134398837482003,0.0491925783585694,0,0,0.468879796102877,0.082784740688004,0,-0.232256631013085,0,0,0,0,0.0379865217954157
BCH,0,0.0863437404022687,0.319694307015961,0.254168696510981,0.154024266305435,0,0,0.0233450192829182,0,0.21896101538265,0,0.0492180597398858,0,0,0,0,0,0,0,0.109284964072011
XLM,0,0.0589271770000641,0,0,0,0.185317865170666,0,0,0,0,0.312793734572911,0,0.0861685523402951,0,0,0,0,0,0,0
TRX,0,0,0.131861855294546,0,0,0,0.219971446988047,0,0.0437315581254351,0,0.307055106390017,0,0,0,0.0587814046447189,0,0,0,0,0
BNB,0,0,0,0.0956676699629484,0.211694471149914,0,0,0.371831884283023,0,0,0,0,0,0,0.0282130646895356,0,0,0,0,0
BSV,0,0,0,-0.000000000000000000216840434497101,0,0.497947852177039,0.0827581290193223,0.0394444404501685,0,0,0.0827778560013249,0,0,0,0.0954217642683765,0,0,0,0,0
ADA,0,0.162012687636284,0.173322657701793,0.0580350755553418,0.127274881502662,0.147585145883161,0.0476526262140279,0.0215384986087757,0.0754417504646406,0.0296803576154616,0,0,0.167815315747194,0,0,0,0,0,0,0
XMR,0,0.286945945781725,0,0.0405705706622245,0,0.117767467307464,0,0,-0.00000000000000000693889390390723,0.0531297937422197,0.0839638780619534,0,0,0.106034282569455,0,0,0,0,0,0
MIOTA,0,0,0,0.487191445454783,0,0,0,0.0149313473769927,0,0.08479100242474,0.117385806005207,0.0538979708788928,0,0,0.00939238185321672,0,0,0,0,0
DASH,0,0,0,0,0,0.193204421002167,0,0,0,0,0.24368573635433,0.163915164491961,0.229067868168771,0,0,0,0,0,0,0
MKR,0,0.49523711692173,-0.179187723753174,0.281527935553469,0,-0.311597970888617,0,0,0,0.315171002177744,0,0.0900450324252303,0,0,0,0,0,0,0,-0.168163388582675
BV010082.INDEX,0,-0.255754446409419,0.118048528056976,0,0,0,0,0,-0.027764496334382,0.0374463639700988,0,0,0,0.148472817173139,0.0429335015630114,0,0,0,0,0
CVIX.INDEX,0,0,0.092398119331973,0,0.158858723535126,0,0,-0.218459683007767,-0.057394590273832,-0.0790536196688518,0,0,0,0,0,-0.000000000000000000433680868994202,0,0,0,-0.122671334207993
DXY.INDEX,0,-0.00153379812589522,0,0.00000000000000000010842021724855,0.0116360576440103,0,0,-0.0410076952959645,-0.0161931112744846,0.00613931910517037,0,0.00482189256179858,0,0.0424257633719616,-0.00135253744521206,0.0855210059640072,0.0180486955576167,0,-0.03831680214535,0.0115116082189893
SPX.INDEX,0,-0.00796831351210055,0.0291826528305267,0,0,0,0,-0.00404313027915617,0.0212418237175388,-0.00654602832746591,0,0,0,0,-0.0186347860614308,0.230895603850688,0,0,0,-0.067046286501658
VIX.INDEX,0,0,0,0.118790671351692,-0.432802334875734,0,0,0,0.394316974845777,-0.0490563858780028,0,0.234439781499565,0,0,0,-0.0569584268254558,-0.291165410922709,0,-2.37035423616603,0
