,BTC,ETH,XRP,ETC,XEM,LTC,DASH,XMR,ZEC,XLM,DOGE,DGB,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.00454297010103682,-0.0357709420824313,0.0240336573951044,0.0578476051052026,0.0943032985299519,0.148529421308404,0,0,0,0.0384499809406004,-0.00609506004516993,0,-0.174384753179979,0,0,0
ETH,0,0,0,0.119074888832707,0,0,0,0.0583761798639418,0,0,0.0333065707176923,0.0038421502125728,0.0510049888035915,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0,0.407212266447719,0,-0.0529732289567583,0,0,0,0,0,0
ETC,0,0.120009041712473,-0.0434215666585375,0,0.050111663045176,0.11177913218214,0,0,0.0956243548613007,-0.00564988067776541,0,-0.0429657296373246,0.156932926706094,0,0,0,0,0.105193220401369
XEM,0.0728663192525907,-0.160424717487893,-0.075661616253411,-0.556803283885994,0,0.106278608041921,0.136224970452802,0.12376571392644,0,0.0396124609823859,0.0372362048685245,-0.00317701953332099,0.445585361530152,0,0,0,0,0
LTC,0.240469638678784,0,0,0,0,0,0,0.179245974439653,0,0,0.138934247167245,0.0176202967968986,0.264780448453492,0,0,0,0,0
DASH,0,0.172798138994005,0,0.0160481187328182,0.152427631986874,0,0,0.318253834860469,0.359630720737922,-0.000000000000000000867361737988404,0,0,0,0,0,0,0,0
XMR,0,0,0.0398100906006214,-0.096303496534141,0.179985323441307,0,0.437899536377525,0,0.0890767757808116,0.087608315109128,0,0,-0.163943941921662,0,0,0,0,0
ZEC,0,0.0395055305425413,0,0,0.0281140861891632,0,0.209536451919321,0,0,-0.0419734343257634,0.201702993424039,0.0359287619276888,0.038903168370587,0,0,0,0,0.0251023739336296
XLM,-0.599905034901035,0,0.40687406337186,0.0216844086166694,0.0940668902580458,-0.24226604450928,0.359897187659695,0.424388279639054,-0.224855954599634,0,0.158482836662819,0.144040849514234,0.26497673337088,0,0,0,0,0
DOGE,0,0.0807951436990392,0,0.0660706837804281,0.0494723304388954,0.260613851567608,0,0,0.286267493731211,0.246706079982383,0,0.0208967637444713,0.0553504363724787,0,0,0,0,0.375112596243801
DGB,0.0795945984788469,0,0,-0.452425435788954,-0.189096142293379,0,-0.151529346866425,0.63071697753635,-0.208155244476491,0,0.19683542254362,0,0.4384637463009,0,0,0,0,0
NEO,0.0989623403230185,0,0.061247065966799,0.330426870545874,0.213553778113639,0.162719887988872,0.451786868592064,0,0.183653282736338,-0.100566044672666,0,0.073520206941323,0,0,0,0,0,-0.194405234024522
BV010082.INDEX,0,0,0,0,0,-0.0311072377907901,-0.00955101584574272,0,0,0.0148805696105268,0,0.00924152364205492,0.0124395959017721,0,0,0,0,-0.0450177889596435
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0.0237077267676894,0,0,0,0,0,0
DXY.INDEX,0,0.00184529382397387,0.000580800958263448,0.0209521582212812,-0.0151114694855369,-0.004069148148673,0,0,0,0.00600301671218751,-0.00329243998254756,-0.00285145896975401,-0.0043662820505165,0,0,0,0,0.0101365095569784
SPX.INDEX,0,0,0.000185041699419019,0.004319805104844,-0.00328356150298087,0,0,0,0,0.00331064586321576,0,0.00200165993454485,0,0,0,0,0,-0.0383778546399343
VIX.INDEX,0,0,0,0,0,0,0,-0.0840165391280743,0,0.0913244888839375,0,-0.0515228280428797,0,0,0,0,0,0
