,BTC,ETH,XRP,INNBCL,BCH,BSV,LTC,BNB,EOS,TAGZ5,XTZ,LINK,LEO,XLM,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.0562355257266305,0,0.204465593701224,0.0919445423649759,0,0.119072792255159,0.098585958962913,0,0,0,0,0,0,0,0
ETH,0,0,0,0.00209079886086639,0.171133947215492,0.0267101710813087,0.0757742589054701,0.0304269376111232,0.204869759341356,0,0.258917639025757,0.0209038899402022,0,0,0.203676422365025,0,0,0,0,0
XRP,0,0.0464891519599795,0,0,0.187866789022134,0,0.167541320006408,0.089741731855361,0.108781330471647,0,0.108061707257709,0.00943897663942776,0,0,0,0,0,0,0,0
INNBCL,3.2805196799843,0,17.3589142461598,0,0,0,0,0,-9.03869587642709,2.99984647123083,0,-2.43208083619448,-19.4118194079247,5.85005037129282,-14.5050534772729,-7.11838389928992,0.696560013233899,0,9.8334228259081,0
BCH,0,0.350370337538621,0,-0.00296744488974063,0,0.24311801153129,0,0.0166830717650404,0.0856035466209473,0.0107358824248785,0.0718120034800286,0,0,0,0.166513808730943,0,0,0,0,0
BSV,0,0,0,-0.00620468801937682,0.331418714743454,0,0.000000000000000000216840434497101,0.354245820068284,0.333902645031392,0,0,0,0,0,0,0,0.051195592012527,0,0,0
LTC,0,0.0283048901806533,0.222216033096054,0,0.0684903820551855,0.0855167239682439,0,0.0373371970183562,0.311738481521071,0,0.0975580849047298,0,0,0,0.0434227742852341,0,0.0364418577773662,0,0,0
BNB,0,0.237384488568396,0,-0.00388234971010131,0.155496507454253,0.129607880462358,0,0,0,0,0,0.149535065484578,0,0,0,0,0,0,0,0
EOS,0,0.00000000000000000693889390390723,0,-0.000141477376705968,0.523538687644507,0.149978547960332,0.160892592246491,0,0,0,0,0,0,0,0.0612340119538417,0,0,0,0,0
TAGZ5,0,0,0,-0.000283452919529887,0.71193715661666,0,0,0,0,0,0.057724237923148,0,0,0,0,0,0,0,0,0.102571721656144
XTZ,0,0,0,0,0,0.257349152364548,0,0.174454563155858,0,0,0,0.475461518947499,0,0,0,0,0,0,0,0
LINK,0,0,0,-0.00275493450866401,0.0794892824621082,0.197827928040914,0,0,0,0,0.67248008003069,0,0,0,0,0,0,0,0,0
LEO,0,0,0,0,0,0.0859152231146887,-0.095065371699529,0,0,-0.0299331730027536,0.12482691227747,0,0,-0.0649896243825351,-0.0293216906696253,-0.0551841621601505,-0.0134794803348571,0,0,-0.0553093301051783
XLM,0,0,0,-0.00277189981611348,0.248588126459234,0,0,0,0.297375584864927,0,0.164323403311248,0,0,0,0,0,0,0,0,0
XMR,0.134113040394251,0.112092968627346,0.121104795278705,-0.00112829823929557,0,0,0,0.100273299127967,0.329709608058035,0,0.127895679411395,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0.419101139121225,0,-0.00816496576233759,0,0.324991983731733,0,-0.730053989894812,-0.424799096855727,0.284979932126877,-0.772659893872947,0.47085597240736,0,0.477682765647028,0,0,0.0528704448131861,0,0.441467441977184,0
CVIX.INDEX,0.281262337156497,0,0,-0.0068133696503393,0,0.0431791428832763,0.218604764682331,0,0,-0.137257712162912,0.135527364585888,0.115149872410708,0,0,-0.974599556051086,0.154512561054743,0,0,-0.156922784921374,0.302273378085978
DXY.INDEX,0.0887161000157274,0,-0.0781076195588423,0.0000747681156537409,0,0,0,0,0,0,0.00833816969825513,-0.0168596446740181,0,0,0,0,-0.0167287682917836,0,-0.0210131518782666,-0.00988256143440146
SPX.INDEX,0,0,0,0.00347848658694515,0,-0.136587902958106,0,0,0,0,0,0.157524464976643,0,0,-0.0534846425331952,0.24873808556156,0,0,0,-0.221596545336859
VIX.INDEX,-0.428745768692964,0,-0.163247769917638,0.0239402253610984,0,0,0,0,-0.258285736971238,0.0129110845369591,0.900033026467494,-0.155175600411227,0,0,-0.335660439232067,0,-0.1174739295124,0,-2.00942918681477,0
