,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,MIOTA,TRX,XMR,NEO,DASH,ETC,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.13603411180105,0,0,0.101627867209018,0.0487541461126421,0.00544252503412924,0.116335742780503,0.132604313160044,0,0,0.0982708466952974,0.0246988109904379,0,0,0,0,0.00542914912050359
ETH,0,0,0,0.265534533491728,0.0278936833885491,0,0,0,0.135358773320088,0.166301580913451,0.0327486403598536,0.0367339258314781,0,0.09135364913279,0.0337936847488467,0,0,0,0,0.0277073082498652
XRP,-0.0953050859760691,0.17380066605176,0,0,0.0607881858931857,-0.0179861621891839,0.0923844504666284,0,0.0891915542175281,0.185982135592315,0,0.129030709697059,0,0.0359251722801543,0.0178701869359398,0,-0.0692821701011407,0,0,0
BCH,0,0,0,0,0.237105179942198,0,0.00177089625431146,0.0845115483074807,0.0259109633886876,0.213506215417605,0.209971721534849,0.0180379950350367,0,0.04681485323482,0,0,0,0,0,0
EOS,0,0,0,0.203389227075949,0,0.0957680379771963,0.209785640298125,0.294647097929761,0.143549107419553,0.113135251237872,0,0,0,0.083242458132151,0.198067744151733,0,0,0,0,0.109412119427026
XLM,0,0,0.265592709039072,0,0,0,0,0.142682635029345,0,0.0668208527858501,0.203080206804914,0.246546631489162,0,0,0.0402758460014158,0,0,0,0,0
LTC,0,0,0.118918855719593,0.362081524034468,0.0138823979698146,0,0,0,0,0,0,0.0106799851829957,0,0.119594244439014,0.254091980131731,0,0,0,0,0
ADA,0,0,0,0.0545852957812418,0.0364999814227376,0.267228513467428,0,0,0,0.201160470050836,0,0.0765756218655044,0,0.00218859430612487,0.186348861171427,0,0,0,0,0
MIOTA,0,0,0,0,0,0.0820985395405396,0.311924842475046,-0.0689003876714156,0,0.23367336394549,0,0.591573327721719,0,0.0340726152686254,0,-0.204893205398655,0.157318592894054,0,0,0.0721439694719176
TRX,0,0,0,0.0568273929612501,0.324465362770994,0.114286152343227,0,0.142728764767085,0,0,0,0.134856558962077,0,0,0,0,0,0,0,0
XMR,0,0.157759883052014,0,0.347659341158129,0.0538306071527199,0.137088350468757,0,0,0,0,0,0.160871260652886,0,0.08500410475728,0,0,0,0,0,0
NEO,0,0.282905447321553,0,0,0.0798824312964269,0,0,0,0.244390659023096,0.147318056736624,0,0,0,0,0.338976507420562,0,0,0,0,0.0915964508129823
DASH,0,0,0,0.00658477122674429,0,0,0,0.298426510709053,0,0,0.0900057094459527,0.148746937507008,0,0.126146287972997,0,0,0,0,0,0
ETC,0,0.418473834779522,0.0677452319299323,0,0.168835326996914,0,0,0,0.302891688461743,0,-0.0867030655407747,0,0,0,0.0757926836524726,0,0.555529976694655,0,0,-0.151506725624592
XEM,0,0.311183555169499,0,0,0,0.206087511884915,0,0.176509913933507,0,0,0,0.0817946732746766,0.366006740087874,0.0479586617205644,0,0,0,0,0,0.144262390629602
BV010082.INDEX,0,0,0,0.0139534853582965,0,0,0,0,-0.0124065663051355,0,0.0282194205018176,0,0,0,0.00883058262978432,0,-0.272431326982967,0,0,-0.011302070216669
CVIX.INDEX,0,0.207162624514716,0,0,0,0,0,0,-0.0284099617062803,0,0.0457346402453072,0.129323576391035,-0.378918058297265,0.0940847190090423,0,0,0,0,0,0.115052296009633
DXY.INDEX,0,0,0,0,0,0,0,0,-0.0282710022907208,0.0079925919323667,0.0168563016022436,-0.00933115653376727,0,0.0230428760077565,0,0,0.0935401080225782,0,0,0.00519602754923862
SPX.INDEX,0,0.0137797868622483,0,0.00348562235262713,0,0,-0.00559965515782025,0,-0.0227748281170522,0,0,0,0.00110958026883525,0,0.00168988382476322,0.0446990256410344,0,0,0,-0.0599743144048869
VIX.INDEX,0.601900744596671,0,-0.528675831405087,0,-0.230155828049539,-0.331084249129123,0,0,0,0.0304192594673888,-0.143853641931417,0,-0.0403927879000741,0,0.478475121986109,0,0.564284647580274,0,-3.4225819979404,0
