,BTC,ETH,XRP,LTC,ETC,XMR,DASH,XEM,DOGE,XLM,NEO,ZEC,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0418032025145424,0.0170389854730572,0.324317292188293,0.0193202720594626,0.0581219604145006,-0.0702840600675924,0,0,0,0.0257856358937648,0.00589411965670842,0,0,0,0,0,0
ETH,0.409514270766679,0,-0.000000000000000000867361737988404,-0.682552334561915,0.0893094584471309,0.11513475404726,0.204307834762934,-0.028374443620482,0.252163016261624,0.0638124896648044,0.0141907629149674,-0.0406760709018638,-0.00393941282324429,0.790029337271568,0,0,0,0.126164196470455
XRP,0,-0.402189332961716,0,0,0,0,0.0761490702611635,0.124886050729144,0.0868873852690128,0.381922967376194,-0.105378649405942,0,0,0,0,0,0,0.0452152262740909
LTC,0.632065633307943,-0.0240765113053048,0,0,0.0804180473123166,-0.0370757156523703,0,-0.00505793418147726,0,0,0.00902791251715103,0,0.025147483312475,0,0,0,0,0.0316965831433993
ETC,0,0,0.0814644429554257,0,0,0.0248343739271549,0.098122791830278,0,0,0,-0.0470483970581473,0,0,0,0,0,0,0
XMR,0,0.898476680002135,-0.0214055066074926,0.632502048532207,0.202519186075352,0,0,0,-0.488354578268099,0,-0.14139367782966,0.0277035092302725,0,0,0,0,0,-0.126162035181345
DASH,0,0,0,0,0,0.105674450076424,0,0,0,0,-0.0627801879856226,-0.0663662600715664,0,0,0,0,0,0
XEM,0,0.18154759812459,0.203722828064107,0.0766881114886191,0.0169729529149944,0.180503724082337,-0.330866504279774,0,0,-0.00000000000000000346944695195361,0.00000000000000000346944695195361,-0.0976013334135084,-0.0797236010122172,0,-0.920737905185965,0,0,0
DOGE,0,0.13070137215912,0.0585483648911305,0,0.0469661547616157,-0.167802501603853,-0.0278743323074668,0.0258154082313937,0,0,0.0237309700169925,-0.0141396262744979,0,-0.320136360419822,-0.0893258311144115,0,0,0.0306146545763791
XLM,0,0,0.557876704339275,0,0.0763654771087165,0.0203469267009797,0,-0.174962635468342,0,0,0.0351960333821433,0,0.121727377063374,0,0.485331139188702,0,0,0
NEO,0,0.751441434268442,-0.154018424750066,-0.0244334487552471,0,-0.388477266469422,-2.34368978137089,0.12227980555429,1.44859181336502,0,0,0.25824460675768,0,0,3.15131723850726,0,0,-0.779740021622336
ZEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DGB,0,-0.45532457794025,0,0,-0.14580671759125,0.0843182461220283,0.291892420888847,0,0.392856013604569,0.0731901415412061,-0.00377549256702519,0,0,0,0.502515990807509,0,0,0.0632524414905175
BV010082.INDEX,0,0.083017227405562,-0.0809293537753829,0,-0.118826563965565,0.000121011980766015,0,0,-0.147519560630088,0.0664938358014378,0,0.013415770334285,0.0329809700102246,0,0,0,0,0.000000000000000000216840434497101
CVIX.INDEX,-0.43537362814445,0.00939620298379105,0,0.313201700426244,0,0.0181149404879717,0.0261519361563397,-0.0843619153397675,0,0.0753950936351119,0.00931603584065955,0,0.030085748609369,0.0408006843164943,0,0,0,0.110626146612142
DXY.INDEX,0,0.0013325006198021,0.0114444436444363,0.0228268869536873,0.0127640836430987,0.00254112516388799,0.00230929883732482,-0.00498340276894575,0,0,0,0.00284874316073066,0,0.133779661161028,0,0,0,0
SPX.INDEX,0,0,0.0125355503299338,0,0,-0.0203820068376795,0,0,0,-0.0111495598404301,-0.00807703164103596,-0.00402830557983475,0,0,0,0,0,-0.0733149438648277
VIX.INDEX,0,0,0.0906838898263959,0,0,-0.315639938682017,-0.100842981560404,0.10492372635222,-0.0839628486384859,-0.141560809646973,-0.0587426138313514,-0.0734783455324082,0,0,0.787747651636522,0,-4.28523014972067,0
