,BTC,ETH,XRP,LTC,EOS,BCH,BNB,XLM,TRX,ADA,BSV,XMR,MIOTA,DASH,MKR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.152876961558708,0,0.0130980141139728,0.0666204436156617,0.117560958751472,0.0397138593831505,0.0451419388022912,0,0.0283084976129166,0,0,0,0.0170844153123794,0,0,0,0,0,-0.00370495417979914
ETH,0,0,0,0,0.294726745609992,0.288961771354401,0,0,0,0,0.0120206352379825,0,0.0202655185283621,0,0.0247140552832142,0,0,0,0,0
XRP,0,0,0,0.077716940309917,0.156835983179072,0.107318339971298,0,0.141613258344142,0,0.0954033793022,0,0,0,0,0,0,0,0,0,0
LTC,0,0.156316923200141,0,0,0.207529238347113,0.00000000000000000346944695195361,0.0873699909591348,0,0.242115232751345,0.193759161259308,0,0,0.273532041915044,0,-0.104631621172582,0,0,0,0,0
EOS,0,0.306482365242719,0,0.27147494021343,0,0.181873019292476,0.129931543837305,0,0,0.0167319018128072,0,0,0,0,0.201625597414998,0,0,0,0,0
BCH,0,0.29741309366546,0,0,0.162250890034457,0,0,0.0531300103467859,0,0.0757978680329864,0.16446768139732,0,0.290482213500771,0,0,0,0,0,0,0.0298288125769739
BNB,0,0,-0.326330802179938,0.416018040766275,0.0679841770795871,0,0,0,0.500768484844561,0,0.000000000000000000433680868994202,0.0224138716614099,0,0,0,0,0,0,0,-0.0574176269520749
XLM,0,0,0,0.0980536917319286,0,0.300837815764833,0,0,0,0,0,0,0.0619415450470049,0.181546366047254,0,0,0,0,0,0
TRX,0,0,-0.0550798217968811,-0.0645243907323543,0.193005853269169,0.147971498019215,0.0659371581993958,0.215099399575797,0,0,0.206937193421192,0,0,-0.0929876330644871,0,0.0338987956073855,0,0,0,0.10968233957878
ADA,0,0.18019910259228,0,0.13603585201281,0.08484863103273,0.219596254486537,0,0,0,0,0,0,0.177106950254265,0,0,0,0,0,0,0
BSV,0,0.209311847464093,0.173096579306949,0,0,0.220789067381583,0,0,0.233555052709427,0,0,0,0,0.0678241458027086,0.110712006858237,0,0,0,0,0
XMR,0,0,0,0.0922991562792413,0.00000000000000000346944695195361,0.0161671769702292,0,0.160014993292358,0,0.158368352428865,0.122284828660415,0,0,0.0955721493991548,0.0248587192788144,0,0,0,0,0
MIOTA,0,0.261765362846511,0,0.0361300056213058,0,0,0,0.0645380951142086,0,0.364540816518556,0,0.00863012886826486,0,0,0,0,0,0,0,-0.0444870981469523
DASH,0,0.148467587077782,0,0.067648048867074,0.10594249870632,0,0,0.168404961365943,0,0.0847078384348395,0,0,0,0,0,0,0,0,0,0
MKR,0,0,-0.484372949296292,0,0.372606099710733,0,0,0,-0.135425255817096,0,0.58874965813557,0.180320744350404,0,0,0,0,0,0,0,-0.0193420013820868
BV010082.INDEX,0,0,0.133635010083216,-0.0501330212514854,-0.0846814298919918,-0.126181282382626,0,-0.0335602879487216,0.179054475449406,0,0,0,0,0.125790680950539,0.0511114034185432,0,-0.32601182153018,0,0,0.0672605753329157
CVIX.INDEX,0,0.0223474540589492,0.392253804432743,0,0.127171304687802,-0.360774707819183,0,0,0,0,-0.0553314518070488,0,-0.12309975339007,-0.0559604694901359,0,0,0,0,0,-0.106195200154012
DXY.INDEX,0,0,0.019626574969462,0,0,0,0.00270782646502089,0.0235736031516189,-0.0655022955650077,-0.0139691101125417,0.00880030095766159,0.0228109775325216,0,0.016816383296731,0.00278842874417595,0.107537478065426,0.0445956351513714,0,0,0.0245906254815191
SPX.INDEX,0,0,0,-0.00346201431560251,0,0,0.0040689130803986,0,0,-0.021861154543014,0,0,0,0,0.00610324047450793,0,-0.0659848328340143,0,0,-0.0698872861767365
VIX.INDEX,0,0,0,-0.0979616699561824,-0.0855183886738071,0.0938194552133097,0.175275766825099,0.168716862774522,-0.173182991257172,0,0,0,0.161121056704185,-0.336246814625057,0,0,0,0,-3.78014776125185,0
