,BTC,ETH,XRP,LTC,XMR,ETC,DASH,XEM,DOGE,ZEC,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0496411259318483,0,0.361927655404729,0.146870939722264,0.00437729759079804,0.224687781241923,0,0,0.0346668137842283,0.0488459712698114,0.0342915640124896,0.0425986770552595,0,0,0,0,0
ETH,-0.365077953951208,0,0.405935670474304,0.148749919371613,0.297359209627082,-0.016844223326856,0.257301093272602,0.1188047084111,0,-0.0382007918603803,0.150587661637164,0.152533216976409,0,-0.250352048730258,-0.378551277726803,0,0,-0.166939683881333
XRP,0.0305575064302093,0.0730711055714034,0,0,0,-0.124792856050793,0.246216763658189,0.033997599226945,0,-0.0801065805925753,0.0678380646733177,0.039541751133609,0.00415509855583929,0,0,0,0,0.0253579363493486
LTC,0.473963078536481,0,0,0,0,0,0,0.164842049858294,0,0.118995970464158,0.0825066644725854,0.0616751666634774,0.0183631488723008,0,0,0,0,0
XMR,0.38778457366798,0.222419491775555,-0.254788442530074,0.254470591249913,0,0,0,0,0,0.101227849687901,-0.0665356683286495,0.00976464569552878,-0.138289330001974,0,0,0,0,0
ETC,0.046025157536553,0.235674352310127,0,0,0.117123737645419,0,0,0.42881193437134,0,0.0884264747449471,-0.0276982914829843,0.1734175645256,0.226557213006706,0,0,0,0,0
DASH,0.474870847696274,0,0,0,0.183164023845213,0.288749768711478,0,0.0958278161594588,0,0,0.126244687054883,-0.013991140127977,-0.0656433444284415,0,0,0,0,0
XEM,-0.299816820881004,0.12104575687213,0.0153304332284387,0.255325907462153,-0.0607208305847516,0.0978724630819464,0.331745253436402,0,0,0.00757859401517372,-0.0252269253080161,-0.017709944594224,0,0,0,0,0,0
DOGE,0.264429588250579,0,0,0,0,0.0528314051201336,0.00000000000000000346944695195361,0,0,0,0.00641671695322093,0.139807236382107,0.0167925589634866,0,0,0,0,-0.0882657369103102
ZEC,0,0.182559756988128,0,0.405182740110748,0,0,0.211320197562665,0,0,0,0.00296155872381568,0.189586321797561,0.328312486391007,0,0,0,0,0
XLM,0,0.197525605358897,0,-0.0591656214956567,0.0421530954521932,0,0.119150830710495,0.0570303411764478,0,0.143370348235417,0,0.0841241209995378,0.132778823468523,-0.467178459994633,0,0,0,0
NEO,0.488007254628221,0.116749186173344,0.589273669689139,-0.37289421696296,0.125569821914147,0,-0.1904388495212,0,0,-0.0354926988561591,-0.0313963120072094,0,0.0900097713870115,0,0.00242147761563239,0,0,-0.161527622982954
DGB,0.881698304464813,0,-0.261805956335814,-0.551028126336867,-0.114101242468502,0.148799793501764,0,0,0,-0.0102911789917602,0.0477436237855384,0.204811608628771,0,0,0,0,0,0
BV010082.INDEX,0,-0.0902406064223089,0,0,0.0439641830768438,0,0.0464480501231887,-0.0987818308406829,0.0948661622200412,0,0,0,0,0,-0.0417961480628701,0,0,-0.0317799677806372
CVIX.INDEX,0,0.105934622687478,0,0.0676115346205891,0.0585982752684603,0.0644400230931759,0,-0.0596146061696584,0,-0.0558334613492387,-0.0513777165373967,0.00579007178245408,-0.0258296316982117,0,0,0,0,0.065288939967928
DXY.INDEX,0,0,-0.00338682168655269,0.0188451487819553,0,-0.00656985776040038,0.0116385561529213,0.00422842452390694,0.00862067757226282,0.00177586752279779,-0.013299460958513,0,-0.0112581443623571,0.0984923403580752,0.0194407988016558,0,0,-0.0200484562353953
SPX.INDEX,0,0,0,0,0.00940593637942127,-0.00481056867159579,0,0,0,0,0,0.0141506213965745,0.0077468141037265,0,0,0,0,-0.0573627439851841
VIX.INDEX,0,-0.501374397163328,0.228823111489707,0.065966695936174,0.146716522039326,0,-0.011010189727644,-0.0359346187120225,0,0,-0.0628515367706319,0.092042378988964,0.0389227607192545,0,0.146734870645543,0,0,0
