,BTC,ETH,XRP,LTC,ETC,XMR,DASH,XEM,DOGE,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.018545089743015,-0.00390732466838687,0.149135984772686,-0.0040524989510356,0.0122263036354956,0,0,0,0,0.0122482707679143,0.0212739297531457,0,0,0,0,-0.0248435019518209
ETH,0.293273402398711,0,0,0,0.101773659270647,0.0206112671436413,0,0,0.0341486022454943,0.155397813359459,0,0,0.582237348311542,0.026331863961863,0,0,0.102918667072237
XRP,0,-0.510130267051909,0,0,0,0.0373917533563708,0.392505780659261,0.120134480036511,0.387563826046921,0.356757378388554,-0.0791857379700315,0,0,0,0,0,0.0886903434364856
LTC,0.205100197054013,-0.0287606502557486,0.00988985342483659,0,0.117871379456019,0.0104505463471426,0,0,0,0,0.0263712528073185,0.0607642693002819,0,0,0,0,0.0242862371252585
ETC,0,0,0.0615023289113808,0.428128635448489,0,0,0.0986092728992548,-0.0253736027600353,0,0.0337779288327521,-0.066457033098959,0,-0.16908166929124,0,0,0,-0.00783167438415535
XMR,1.28218596143224,0.768575817209752,-0.199478405424351,0,0.0654406231430198,0,0.125610544329481,0.190600128268019,0,0,-0.299948899129186,-0.150485136433719,-1.21244023080175,1.67276293617355,0.254637856873374,0,-0.316751132199946
DASH,0,-0.26379917457925,-0.0468598532927241,0,0.0268319490697606,0.0359305025644334,0,-0.0349121988950105,0,0.140483371043857,-0.0651616426713603,-0.0587405007942219,0,0,0,0,0
XEM,0,0.0765789256081977,0.22968354030978,0.584643775555465,0.0928658245376092,0.0677921519626042,-0.241503562313218,0,0,0,0,-0.0835221587119278,0,-0.704530472970501,0,0,-0.0510005025180245
DOGE,0,0,0.0813228542223627,0,0.0309032764691632,-0.00862160786479816,0,0.0701325880090351,0,0.0433791986995673,0.044338562466621,0.0393503898214609,-0.138612702572675,0,0,0,0.0635958038991068
XLM,0,0,0.579032110612634,-1.0271318328957,0.194438901497681,0.0488721593722456,0.0447232687316982,-0.142853449605365,0,0,0.0530943280081487,0.154051409667257,0.305567593468988,0.392617980734191,0,0,-0.0546759197446665
NEO,0,0.354369137194426,0,0,0,0,-2.10166222609587,0.638012982349224,2.44886803723946,0,0,0,0,1.83704054136986,0,0,-0.501608228640998
DGB,0.804493348310887,-0.568437878783076,0.228235993651351,0.467156542504504,-0.249502744137017,-0.0451694478654794,0,0.361469104706916,0.0210475933663548,0.10217469676649,-0.0491038884577459,0,0.95672178116624,0.929669617922737,0,0,0.0185522218573864
BV010082.INDEX,0,0.0437296211393144,-0.0301453587049403,0,-0.0122512097667675,0.0334534695634458,-0.0479009644913178,-0.0519844592075994,-0.311894024641689,0,0.0110543518308932,0.0303712000396273,0,0,0.952804589663268,0,0.0260259328990046
CVIX.INDEX,-0.377903565918023,0,0.033958949761127,0.320769875889318,0.0994356853404539,-0.0255595068387538,0.133616564275461,-0.0717215723479772,0,0.0453204320242692,0.0108141976170029,0.0674971913484099,0,0,0,0,0.109606614292805
DXY.INDEX,0,-0.00824643683399751,0,0,0,-0.00243407906384203,0,0,0,0,0,0.00239658745220608,0.0847607085987325,0.0230089637021295,0,0,0.00167870400160274
SPX.INDEX,-0.0475251560141257,0,0.0100488157724343,0,0,0,-0.0102691208326084,0,0.0589606798321132,-0.0153629783575881,-0.00712964056357676,0.00374049621725792,0,0,0,0,-0.0705462444839937
VIX.INDEX,-0.401144880231445,0,0,0,-0.150892530153469,0,-0.756866094020534,0.467870155683786,-0.0856092881128364,-0.10925705969591,0,0,0,1.27493480258771,0,-3.33082171630226,0
