,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XTZ,XLM,TRX,ATOM,ADA,LEO,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.096569795373863,0.0687831975789694,0.0757536711072473,0,0,0.0325931286179761,0.0126563771169224,0,0,0.0416106526946426,0,0,0.240034930903724,0,0,0,0,0
ETH,0,0,0,0.0597484221259863,0.413386914764133,0.0559664986398493,0.245641296026829,0,0,0,0.000714710757366423,0.0571160483079542,0,0,0,0,0,0,0,0
XRP,0,0,0,0.338713652265981,0,0,0,0.0928654769014248,0,0,0,0,0.232849889373276,0,0,0,0,0,0,0
BCH,0,0.0624744992906321,0.182128083441646,0,0,0,0.228189661166015,0.137792327360498,-0.0360724590344902,-0.0865014177726546,0.253399825437896,0.124670507768907,0,0,0.0379474649968154,0,0,0,0,0.0402843001954941
LTC,0,0.232744341346287,0.0198743218239658,0.00000000000000000693889390390723,0,0.505812815172687,0,0,0,0,0,0.0505166947630805,0.0608934641067087,0,0,0,0,0,0,0
EOS,0,0.0832480736854328,0,0,0.766468230715644,0,0,0.030923680395843,0.0296052355655266,0.110139714600969,0,0.0250493105732753,0,0,0,0,0,0,0,0
BNB,0,0,0.105025878585672,0.287996066364986,0.0693537886393473,0.255683972723526,0,0,0,0,0.0636958215123294,0.0188795698662534,0,0,0,0,0,0,0,-0.0370245647766844
BSV,0,0,0,0.457619474641859,0,0.0791426986508835,0,0,0.0586673538898717,0.173664234055223,0.0578491694856374,0,0.0665433823399487,-0.074181562225516,0,0,0,0,0,-0.0825105852508891
XTZ,0,0,0.30790911452488,0,0,0,0.45537583608292,0,0,0,-0.327881089717589,0,0.447135862780959,0,0,0,0,0,0,-0.0385960614329606
XLM,0,0,0.254362266640078,0,0,0,0,0,-0.0240180652746119,0,0.210115503720938,0.213302456288259,0,0.0723167777361454,0,0,0.0911688509652463,0,0,0
TRX,-0.202322435827199,0,0.182622221143835,0.417193497828938,0,0,0,0,-0.00103323012413702,0.104926583681993,0,-0.00000000000000000346944695195361,0.448144658779794,0.261964037571356,0.193586154591099,0,-0.109980983803541,0,0,0
ATOM,0.152013301890189,0,0,0,0.16553525455799,0.602040113214769,-0.384154362556353,0.396481009356309,0.139104431546241,0,0,0,0.165541196686006,0.249634344352358,0,-0.395909427070309,0,0,0,0.0546703224063089
ADA,0,0.163374942160609,0.0583702962588405,0,0,0.0794920594203612,0,0,0.0141371778971454,0.171990746651214,0.190886117396458,0.149704613376511,0,0,0,0,0,0,0,0
LEO,0.306579061554259,0,0,-0.053494361179278,0.475765941927237,-0.385913149645541,0,-0.166384402186109,0.043545128551607,0.136050985045595,0.018998299843709,-0.102780634135172,0.164787298103814,0,-0.155098847318666,0,0,0,0,0
XMR,0,0,0,0.2859330857759,0,0.246114461883662,0,0,0.135113788555159,0,0.0000000000000000000135525271560688,0.034942242612241,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.193710377970514,0,0,0,0,0.0643155316356532,-0.0618765347894318,0.068230270324505,-0.130857697891229,0,0,-0.0239973611224084,0,0,0,0,0
CVIX.INDEX,0,-0.0189320636387412,-0.174895702280112,0.206169098441611,0,-0.0505735898656103,0,0,0.0262474102100249,0.0633284285979705,-0.171054928883202,-0.000000000000000000867361737988404,-0.133061918227966,0,0.178572209054017,0,0,0,0,0
DXY.INDEX,0,0,0,-0.00200110216136916,0,-0.0189115434961138,0,0.0283491352073765,-0.000165750730802844,0,0,-0.0162707498407407,0.000000000000000000216840434497101,0,0.00921045638582086,0.00851170751021207,0.00111110775623787,0,0,-0.00543844108133368
SPX.INDEX,0,0.0245140915996809,0,0,0,0.0018148195726279,0,0,0,0.00606774805922585,0,-0.0119810104540866,0,0,0,0.0144979078359872,0,0,0,-0.0466085323901653
VIX.INDEX,-0.0365395509940171,0,-0.625348577993291,0,0,0,0,0,0.0264818501158669,0.391988452750807,0,-0.422844537058905,0.56539149738195,-0.0433632341505076,0,0,0.597497605860068,0,-7.31823311394089,0
