,BTC,ETH,XRP,EOS,BCH,LTC,BNB,XLM,ADA,TRX,XMR,DASH,BSV,MIOTA,XTZ,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0997846960412316,0,0.0122807561675386,0.0655846911032713,0.0633613786206001,0,0.00487927072744597,0.0116119647359572,0,0.107502336989385,0,0.0371684848640957,0.0536685469160386,0,0,0,0,0,0
ETH,0,0,0.197655295639542,0.189454582524845,0,0,0.0836556117243076,0.0131716971410088,0.0261039161906492,0.097906968117526,0.0580618393185905,0,0.0641161666003565,0,0.000844511870120711,0,0,0,0,0
XRP,0,0.160758101553744,0,0.0933034518963803,0,0,0.0522834535188626,0.100161074492731,0.0349788730330187,0.124811605764496,0.0654148529374341,0,0,0,0.0474382551081626,0,0,0,0,0
EOS,0,0.0211522276853306,0,0,0.202067357538785,0.299985787785236,0,0,0,0.00000000000000000693889390390723,0.294586339332031,0,0,0.0453426799711681,0.0857328174755078,0,0,0,0,0
BCH,0,0,0,0.0782475062810757,0,0.324638988914414,0,0.0772304789360535,0.324655666274904,0.0304486153321869,0,0,0,0,0.013141366740212,0,-0.0326964704623303,0,0,0
LTC,0,0,0,0.200197479824885,0.177847342761371,0,0.139157410738484,0,0.107766225391282,0,0.165707421106336,0,0.145699493865383,0,0.0847557618003794,0,0.0480818020143749,0,0,0
BNB,0,0,0,0,-0.0659019292405218,0,0,0,0,0,0.183163654623965,0.489123650910084,0,-0.114554202597366,0.0292620869615696,0,0,0,0,-0.148467257520345
XLM,0,0,0.392745913993804,0.0428775612121106,0.0990701528371046,0,0.00804862134277714,0,0,0,0,0.243043356218708,0,0.091361094362012,0,0,0,0,0,0
ADA,-0.100354542334656,-0.0074406058492718,0.369462066173863,0,0.277578559314814,0.213735479798842,0.0189903593583447,0.086599029728478,0,0.0806681831835375,-0.0468045247047018,0,0.0544504356339307,0,-0.0281560081576742,0,0,0,0,0
TRX,0,0.0633982759982643,0,0.223169781094971,-0.0580907171228887,0.049372742031957,-0.0532977285489715,0.265090122444482,0,0,0.197800627090476,0.162286825071506,0.04335197936535,0.0660023933809943,0.0536125173673537,0,0,0,0,0.071756662973841
XMR,0,0.559474502914766,0,0,-0.0628076001954672,0,0.0622841324801734,0.242953703272513,0,0,0,0,0,0.137728463314147,0,0,-0.0791362462935494,0,0,0
DASH,0,0.358627232467016,0,0,0,0.0264552855596287,0.0689665192647177,0.131899417675748,0,0,0,0,0,0,0,0,0,0,0,-0.00372023564498456
BSV,0,0,0,0,0,0.47062172165185,0,0.101756857188029,0.195374126380181,0.123255539943204,0,0,0,0,0,0,0,0,0,-0.0137946232665743
MIOTA,0,0,0.0938089867335206,0.032979224137223,0,0,0.0808069105114384,0.00635905855113655,0.0864513331896014,0.0560025456298692,0.265460760027875,0.0745263510243935,0.0297583719548869,0,0.0114288259464321,0,-0.0199521433916192,0,0,0
XTZ,0,0,0.693614769985925,0.502343401483487,-0.294336680150627,0,-0.134347977865761,1.00909039383507,0.0514481204793888,-0.320429101886728,-0.438410122898844,0,0.00000000000000000173472347597681,0,0,0,-0.350194325966483,0,0,0
BV010082.INDEX,0.102574701281529,0,0,0,0.0692450805962141,0.0627134943273237,0.0392936840209084,0,-0.273891808595815,0,0.0675366147696793,0.10901385605813,-0.00876754611453943,0,-0.0411694716924575,0,0,0,0,-0.0180156901613953
CVIX.INDEX,0.270907564863556,0,0.315613903971935,-0.0628012273635763,-0.220574361393148,0.272198815498062,0.12822618229594,0.578010554386096,0.134989279977513,0,-0.630855940575006,0.0139550054101388,-0.203382951964846,0,-0.350295894323913,-0.293264159591294,0,0,0,-0.0541579033913711
DXY.INDEX,0,0,0,-0.00713481758578277,0.00690413494883616,0,0,0,0,0,0.0140731318270803,0.0204615262121136,0.0147349487799743,-0.0673928432752347,0,0,0.0135241613240051,0,0,0
SPX.INDEX,0,0,0,0,0.0161044073720827,0,-0.0068437188775714,-0.00495685851138397,-0.017854099548731,0,0.0468810977398369,-0.0117463576020309,0,-0.0153656648388315,0,0,0.00808060023032002,0,0,-0.0871853180135167
VIX.INDEX,0,0,0,-0.401546647781664,0.161542852094767,0.0910922056929746,-0.0658231996359095,-0.064998424056011,-0.202085195601005,0.326839151670111,0.236075961606323,0,0,0,0.0727218960402932,-0.624254202741289,0.242140460061851,0,-5.49577264800312,0
