,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,XMR,DASH,TRX,XEM,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.186845974582762,0.0834867696880771,0,0,0,0.0410343740793089,0.0858368147619512,0,0.146814476070119,0.00037998029423426,0.0125155793576893,0.105229512451798,0,0,0,0,0
ETH,0,0,0.148396611098296,0.148588451589234,0.179735900504304,0,0.0258931254150285,0,0,0,0.104844629480818,0,0.0515814628342285,0.0787727582170083,0.0247228060679204,0,0,0,0,0
XRP,0,0.251272302184051,0,0.0319826488542196,0.0920853634205355,0.0946816338846643,0,0.0338995021831936,0.040608333947051,0,0.0405764525965014,0,0.0176401781603903,0.0953089210289982,0.0275943184959109,0,0,0,0,0
BCH,0,0.0159949039335027,0,0,0.180747659336359,0.00000000000000000346944695195361,0,0,0.156178208057591,0.0291872402676555,0,0.307974617096291,0,0,0.154771057510835,0,0,0,0,-0.0328336410073859
LTC,0,0.371507209135567,0.0211706519131153,0.177234049882517,0,0,0,0.136838998711839,0.00327751653743195,0.182674301710779,0,0,0,0.00000000000000000346944695195361,0,0,0,0,0,0.0252754735892184
EOS,0,0,0.163260051751401,0,0.217795255317002,0,0,0,0.135497715894288,0.125713072082886,0,0,0,0.123209578172925,0.0755322347287698,0,0,0,0,0
ADA,0,0,0.210120253921323,0,0,0.265899053986059,0,0.562528097115018,0.0421957862164952,0,0.0142741780556932,0,-0.0378490978819718,0,0,0,0,0,0,-0.00896376477088057
XLM,0,0,0.291419389598114,0,0,0,0.0560002401381507,0,0.15770761036753,0.127739101646752,0.046857133212031,0.0173687647329337,0.0356218421213209,0.105830386818929,0.125472882608816,0,0,0,0,-0.021567190911525
NEO,0,0,0,0,0.112168069879521,0.111416210846792,0,0.311086667928779,0,0.0656119683492272,0.0826735035271828,0,0,0.0283296462381592,0.0620736215787068,0,0,0,0,0
MIOTA,0.150753200197906,0,0.0611630953009321,0.00000000000000000173472347597681,0,0,-0.000000000000000000867361737988404,0,0.225436470870604,0,0.0285926553815982,0.102486900144863,0.119513953699389,0.0587912052025025,0.0857627392100531,0,0,0,0,-0.00780068063650332
XMR,0.497089043317468,0,0,0,0.160116482331617,0.0115476805704261,0,0.00000000000000000693889390390723,0.21660842903362,0.113058799597496,0,0,0,-0.043032636457676,0,0,0,0,0,0.0871041504278658
DASH,0.342864071239659,0.122743706517815,0,0.0648978693203858,0,0,0.102898181387294,0,0.0483516102187689,0.0635513509212738,0,0,0.076738405324255,0.0322436696813712,0,0,0,0,0,0.0596554168712367
TRX,0,0,0,0.111925844608266,0,0.331943876877946,0,0,0,0.561171653449177,0,0,0,0,0,0,0,0,0,0.0979446372398813
XEM,0,0.136677646629538,0,-0.053245951843855,0,-0.15995518823644,0.379896082250567,-0.00000000000000000173472347597681,0.448865428190162,0,0,0,0.183037972618198,0,0,0,0,0,0,0
BNB,0,0,0,0.163110660760618,0,-0.0303820158931095,0,0.131330913255294,0,0.0484731532106772,0.164824542476645,0,0.093273642204104,0.077875129785786,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.000511951775256997,0,0,0.0270638121836724,0,0,0,0,-0.00286632783593381,0.106156365288597,-0.0487822374050903,0,0,0,0,0,0,-0.0491710151955455
CVIX.INDEX,0,0,0.0821405550681152,-0.0600094133482892,0,-0.0277452591225193,0,0,0,0.0490763302953245,0,0,0.0310170983782483,0,-0.200060229541073,0,0,0,0,0.0222273490804275
DXY.INDEX,0,0,0.0171519015635592,-0.00975193893324017,-0.0125812761558185,0.00878877420527229,0,-0.00804694979337904,0.00691148921739424,0.0121269147215762,-0.0250163045022763,0.0258259224169237,-0.0153379187058289,0,-0.000273751424866361,0,0,0,0,0.00893497718733479
SPX.INDEX,0,0,-0.0220190384590713,0,0,0,-0.0236343601691145,-0.00537701108034341,0.0401360296364134,0,0,0,-0.0327159119433845,0,0,0,0,0,0,-0.0858007997274316
VIX.INDEX,-0.298413611320134,0,-0.0362944602511966,0,0,0.193417616103837,0,-0.0638856128286871,0.262171087816326,-0.354722837529217,0,0,0.152552939628595,0.148916273010001,0,-0.884182064499114,0,0,-4.8130439593646,0
