,BTC,XRP,LTC,DASH,DOGE,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.488955147937351,0,0.399369286021178,0.0483673277512873,0.0835064916527804,0,0,0,0,0,0,-0.0436503140260468
XRP,0,0,0,0.20499996535292,0,0,-0.0375910635866784,0,0.117046361737366,0,0,0,0,0
LTC,0.684182993380591,-0.0931745287045116,0,-0.10341336737945,0,0.162541899174379,0.0633501856097361,0,0.0681502403169167,0,0,0,0,0
DASH,0.854349734042464,0.123614109620405,-0.70084777482872,0,0.607626563034842,0.0707300787628405,-0.303977127934319,0.7243174872901,0,0,0.264017730104714,0,0,-0.0649489973067748
DOGE,0.456847609186398,0,0.0599847299721936,0.036020291833229,0,0,0,0,0.0119220757620368,0,0,0,0,0.0542893813315975
XLM,0.349059341860171,0.766274578920274,0.705522928472318,0.0728484413212213,0,0,-0.234515169537726,-0.244164009742781,-0.0853971776559819,0,0,0,0,0
XMR,1.05053041528961,0,0,-0.0411177818009171,0,0,0,-0.046101435772542,-0.000000000000000000867361737988404,0,-0.334876431794639,0,0,-0.158026149431676
XEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DGB,-2.22974401970946,0,2.06075555297936,-0.211164407672818,1.33459268423824,0.179728226619424,0.452114252486807,0.96267243820406,0,2.01226041643704,0,-0.649962755432814,0,-0.740227784457269
BV010082.INDEX,0.305607867044779,0.0049661290969268,-0.113685661908124,-0.0313250227425048,-0.147615881682372,-0.0594662495817987,-0.0718231714450166,-0.0103192624164739,-0.0112015710382188,0,0,0.507116450367004,0.756554820434348,0.102427278864062
CVIX.INDEX,0.730779802833159,0.0248661643355857,-0.381533871487457,0,-0.924492340867715,-0.0721047516323,0.0103592821370097,0.0542532108626725,0.0543603793264599,-0.135301739670354,0,1.07542167997217,0,0.0829161982323225
DXY.INDEX,0,-0.0168787878815689,-0.0203956897480598,-0.0238935915706063,0.0906129041553298,0,0.0148638103518175,0.0329613988592809,0.00562674703098746,0.00655419110978483,0.0740101368740627,0,0,0.0160415939408341
SPX.INDEX,0,0,0,-0.00889743544567666,-0.0145670209241609,0,0.00185087311103233,-0.00347619694771405,0.00671228441563404,0,0,0,0,-0.129073900980994
VIX.INDEX,-0.060964148305507,-0.122854300496897,0,-0.149549383691036,0,0,0,0,-0.0166833017941133,0,0.604154450445722,0,-2.12914598937533,0
