,BTC,ETH,XRP,BCH,EOS,LTC,BNB,XLM,ADA,TRX,XMR,DASH,BSV,ATOM,MIOTA,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0166784233321427,0,0.114726707798171,0.00925570656832412,0.00271077309265996,0,-0.000000000000000000216840434497101,0,0,0.125315825384001,0,0.0979412505108308,0,0.0326242442620123,0,0,0,0,0
ETH,0,0,0.182843452231191,0,0.218991160302133,0,0.0646958430416592,0,0,0.106472346400058,0.0676254818432293,0,0.0630429071057884,0.00277657454339914,0,0,0,0,0,0
XRP,0,0.225527007802044,0,0,0.0925220503367356,0,0.0241774433822905,0.140114440246913,0.0105123720355454,0,0.13421183846784,0,0,0,0.138966437515006,0,0,0,0,0.0167259437160649
BCH,0,0,0,0,0.0740999434305991,0.358066603836877,0,0,0.335765638999879,0,0,0,0,0.028154061750359,0,0,-0.0668515824918468,0,0,0
EOS,0,0.340832680163627,0,0.153023432912402,0,0.223218384733135,0,0,0,0.117108069184873,0,0,0.0193861303689884,0.00235388824996583,0,0,0,0,0,0
LTC,0,0,0,0.212620857859232,0.230614806343667,0,0.112081112282318,0,0.147939850027198,0,0.12693062951291,0,0.185273962356016,-0.0165750053598402,-0.0481067875285303,0,0,0,0,0.0162120407184406
BNB,0,0,0.00000000000000000346944695195361,-0.118342401786621,0.00791236062043968,0,0,0.0151505625991851,0,0,0.171620745005874,0.362365669778107,0.602894578143336,0.0255471013907093,0,0,0,0,0,0
XLM,0,0,0,0.0790231798439977,0,0,0,0,0,0.129346789783981,0,0.255630757052735,0.0493667039246984,0.0386454173406739,0,0,0,0,0,0
ADA,0,0,0,0.24574591195659,0,0.285974840446703,0.0147432666919013,0.101069513795846,0,0.0961446000935858,0,0,0.015036845778587,-0.00660484215543199,0,0,0,0,0,0.0356564975238133
TRX,0,0.322571498871418,0,-0.131017339600722,0.251593604488337,0,-0.130652025628814,0.216293679189709,0,0,0.0899916767048847,0.147487052721353,0.177517304615036,0.0335680963999178,0.0165503312420442,0,0,0,0,0.0539313058720607
XMR,0,0.393607211126884,0,0,0,0,0.038807846847535,0.095783756645559,0,0,0,0.340041442919933,0,0,0,0,0,0,0,0
DASH,0,0.212899232193497,0,0,0,0.114058337523847,0.0675364583061079,0.123765823082464,0,0,0,0,0,0,0,0,0,0,0,0
BSV,0,0,0,0,0,0.447690125183622,0,0,0.174742408193738,0.0635065764375213,0,0,0,0.0206427548672073,0.1758174674886,0,0,0,0,0
ATOM,-1.72038888908934,0,0,0.467173723474825,0,0,0.397157625700049,0.598567500876425,-0.522722575640383,0,1.91471302074052,0,-0.219908790638123,0,-0.326920665634094,0,0.448095212466982,0,0,-0.159402872582796
MIOTA,0.094675312045182,0,0,0,0,0,0.115819173888946,0.160562422358577,0,0,0.172219724381815,0,0.0902339806731519,0,0,0,0,0,0,0
BV010082.INDEX,0.14818936985486,0,0.157644041779189,-0.0616447415670002,0,0.234083618501994,-0.00628777418163944,0,0,0,0,-0.199888713814723,-0.130491961168481,0.0666017394261953,-0.0500675127043792,0,0,0,0,-0.100262257052907
CVIX.INDEX,0,0,-0.577353855725661,-0.255389887311917,0,0.246264083578062,0,0.225962597601547,-0.0195292102370146,-0.014474897688023,0,0,0,0.0622137211017207,0,-0.42366262505893,0,0,0,0.0742735528877839
DXY.INDEX,0,0.0264174506526845,0,0,0,-0.00876370751030474,0.0113274084569168,0,-0.00606081719147877,0,0,0,0.000000000000000000433680868994202,0.00614127802523523,-0.0350802214080393,0,-0.0044985727683574,0,0,0
SPX.INDEX,0,0,0.0134154059089247,0,0,0,0,0,-0.0134805171675866,0,0.015892095436506,0,0,-0.00230248268992892,0,0.0514195862803514,0.00546426139441197,0,0,-0.0792900141582194
VIX.INDEX,0,0,0,0,-0.484469467636846,0.214776240660301,0.0361387373969571,-0.26961494619865,0.0345841645549038,0.765632461717277,0,-0.293039790019707,0,-0.0802145510428205,0,-0.45406373074291,0,0,-3.69726571762398,0
