,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,XLM,ZEC,DOGE,DGB,BAT,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0281000152755763,0,0,0.0927138059005424,0,0.14712511459747,0,0,0.00288779440705151,0.0239751247897743,0,0,0,0,0,0,0
ETH,0,0,-0.000000000000000000216840434497101,0,0.15185158674392,0,0,0.0766330458411293,-0.0077160916689267,0,0.0462490886167277,0.0180525332199294,0,0.0196921270936906,0,0,0,0,0
XRP,0,0,0,0,-0.415651241098663,0.00000000000000000346944695195361,0,0.257365464758433,0.331906118082514,0,0.126313701783119,-0.0302153954656442,0,0.0848538911148806,0,0,0,0,0
XEM,0.0728663192525905,-0.160424717487893,-0.0756616162534111,0,-0.556803283885995,0.106278608041921,0.136224970452802,0.12376571392644,0.039612460982386,0,0.0372362048685244,-0.00317701953332098,0,0.445585361530152,0,0,0,0,0
ETC,0,0.336315487700829,-0.103036215928239,0,0,0.0388047870321813,0,0,0,0,0,-0.0140878182640122,0,0.172678123821512,0,0,0,0,0.099016893814483
LTC,0.469330840414067,-0.0390992620729743,0.0190127991251066,0.168310241070316,0,0,0.301759324732241,0.182471960363414,0,-0.138165552880164,0.131871397921529,0,0,0.231320222112172,0,0,0,0,0.0697322328904044
DASH,0.443932863116699,0.100111471745293,-0.12398223350941,0.0826450882972579,0.0583245911465114,0.334385452032191,0,0.0116240918087152,0.0881373594544452,0.474728185085628,-0.112644199790634,0.0745370122265724,0,-0.00646356929428,0,0,0,0,0
XMR,0.119368398566098,0.14467236446749,0,0.203974273787179,-0.248623200063267,0,0.389731842439311,0,0.0639913117739217,0.0377314942676256,0,0,0,-0.0977771860371151,0,0,0,0,0
XLM,0,0,0.460577099928666,0.0614095586940745,0.214922316801461,0,0,0.293709421058149,0,-0.137770372051479,0,0.104120367377377,0,0.0402239148113538,0,0,0,0,0
ZEC,0,0.00469953010270803,0,0.0503948252875695,0,-0.0127899191169637,0.111796840277074,0,-0.0397017264629771,0,0.214225321792066,0.0274945135215867,0,0.0522840128412392,0,0,0,0,0
DOGE,0,0,0,0.00888651323014142,0.00000000000000000693889390390723,0.298488354529527,0,0,0.254227755437128,0.297764414855863,0,0.0132100955011749,0,0.109935545223164,0,0,0,0,0.46362173134576
DGB,0,0,0.00755915064257886,-0.117105162498022,-0.794427488405237,-0.068145529471214,0,0.550751465345465,0,-0.263973447029346,0.222894484964553,0,0,0.636649345729789,0,0,0,0,0
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.081073409312553,0.152030440760541,0.415101284775878,0,0.0851888550331213,-0.0388505235329985,0.363484635537618,0,0.117873272318817,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.0147504654969258,0,-0.00341778158545937,0.033315708274532,-0.00502848747026229,-0.0140286975628752,0,0.0159073278635286,0,-0.00554745000130913,0.00883669910405616,0,0.0079579733438059,0,0,0,0,-0.057346549225729
CVIX.INDEX,0,0,0,0,0,-0.0250372734963582,0,0.0544464964453692,0,0.0444098361457388,0.00581059492931058,0.0233950166832223,0,0,0,0,0,0,0.15975093334795
DXY.INDEX,0,0.00450994120048856,0.00158169958712842,-0.0149523647510292,0.0156917440303668,-0.00707555138462337,0,0.0000517269677788323,0.00615229483125787,0,-0.00388538631609292,-0.00310817644634889,0,0,0,-0.00511244518011558,0,0,0.0135203222732093
SPX.INDEX,0,0.00563783297675623,0.000488959335131876,-0.00716756777423062,0,0,0,0.00252994797980027,0.00358575471801262,-0.00147472998063795,-0.00122633948784364,0.0049437815424085,0,0,0.00983712863449641,0,0,0,-0.0297085511189131
VIX.INDEX,0,-0.0746440730094396,0.0611317198105071,-0.0305904404251571,0.101871377976835,-0.0185419966143389,0.228922871176417,-0.158250262651442,0.0395702822672097,0.0336921001631678,0,-0.0869252829586618,0,-0.0506400647760621,-1.15004447911993,0,0,0,0
