,BTC,ETH,XRP,BCH,XLM,EOS,LTC,ADA,XMR,TRX,DASH,MIOTA,BNB,NEO,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0243731397461531,-0.00452696579568646,0.00158809822624995,0,0.252837869847008,0,0,0,0.020484849134581,0,0,0,0,0,0,0,0,0,0.0000000000000000000271050543121376
ETH,0,0,0,0.0084535523768531,0,0.322691561295069,0,0.0211679598957534,0.0697354328232148,0.0669392454833252,0.286623201964474,0.093862050136428,0,0.204653276523059,0.0318422008293955,0,0,0,0,0
XRP,0,0,0,0.0137888996941701,0.0391186928243306,0.825486845058624,0,0.14084791484805,0,0,0,0.421828548606687,-0.389964335328037,0,0,0,0.672154630519074,0,0,0
BCH,0,0.37092992020725,0.0656620626749856,0,0,0.150003110272989,0,0.0623700235203571,0,0.243379763542255,0,0,0,0,0,0,0,0,0,0.0331480379924574
XLM,0,0.119587768537712,0.132549094958788,0,0,0,0,0.361201600418264,0,0.135578831957667,0,0,0,0.0137980406732864,0,0,0,0,0,-0.0000000000000000000542101086242752
EOS,0,0.487675996168407,0,0.0617277546222194,0.0305810159713564,0,0,0.136493578293566,0,0.0610404574895859,0,0,0,0,0.075583809270857,0,0,0,0,0
LTC,0,0.256614514768624,-0.0119535173016571,0.14998172947203,0.0283396130432223,0,0,0.0634683354757553,0,0.0590633346567595,0,0.244269798966966,0,0,0.00705891960199004,0,0,0,0,0
ADA,0,0.122348822652558,0,0.0488333758315906,0.167330651754186,0.0937454640207001,0,0,0,0.0076729432118754,0.0129892031221774,0.20252733793698,0,0.34119316058375,0,0,0,0,0,0
XMR,0,0.331082838688137,0,0,0,0.291985002397998,0,0,0,0,0,0.05134135647684,0,0,0,0,0,0,0,0
TRX,0,0.278559128691548,0.0338099420420203,0.0849245889319022,0,0.146656149213876,0,0.239355668294978,0,0,0,0,0,0,0.0596286031282217,0,0,0,0,-0.0854875486616378
DASH,0,0.34559174833568,0.00471990897019402,0,0,0,0,0.146058732652313,0,0,0,0.0306150645211169,0,0,0.107732050850397,0,0,0,0,0
MIOTA,0,-0.00000000000000000173472347597681,0.0994340897683153,0.0804992265972186,0.118387623502468,0,0.168492695972615,0,0,0.287495213694049,0,0,0,0,0.0746815829750254,0,0,0,0,-0.0829188769456647
BNB,0,0.295092461293175,0,0.0554263003006866,0,0,0,0.0254076809962595,0,0.0745469147470196,0,0,0,0,0,0,0,0,0,-0.0350311657447167
NEO,0,0.0724478181145044,0,0.10784303161291,0,0,0,0.263231075619533,0,0.0711198829682547,0,0.242073968786635,0,0,0.0152480087925777,0,0,0,0,-0.00979625517823624
XEM,0,0.180880512328117,0.0644009108270277,0.0464230432629973,0,0,0,0,0,0.145232147077803,0.16538963238392,0.0382440499681321,0,0.180452653563776,0,0,0,0,0,0.0243922066625754
BV010082.INDEX,0,0,0.0404702861165458,-0.105841808994212,0,0,0,-0.0157906789298526,0.109194589218046,0,0,-0.0505992041138687,0,-0.0243361907798359,0.0183004247114747,0,-0.00747787623556113,0,0.460365187590759,-0.00101714196707125
CVIX.INDEX,0.210624512969508,-0.0634393205512103,0.0774528538809575,0,-0.253071791163706,0,-0.406332984974686,0,-0.0396372510321669,0.0245782550835712,0.0755544400056064,0.465089393111093,0.147736718142287,0,-0.0688232791760724,-0.0905352324707646,0,0,0,0.0347401174100528
DXY.INDEX,0,0,-0.00678926202674771,0,0,0,-0.0153399983673737,0.00537841420451718,0,-0.0341050484009323,0,0.0401407439217154,0.00854666954169682,0,0,0.0207325791382392,0.0213352604046859,0,0,0.00415040581624898
SPX.INDEX,0,0,-0.020839367547681,0,0,0,0,0,0,-0.0228950858400044,0,0,0,0,0.0326639209667744,0,0,0,0,-0.129381135367629
VIX.INDEX,0,0,-0.130522627967727,0.228627884704245,-0.229895991629885,0,0,0.209801978396249,0,-0.103983859859098,0,0,0,-0.225520058860308,0.210162095120674,0,0.12727307846586,0,-6.43918226185072,0
