,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,DASH,XMR,MIOTA,XEM,ETC,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.314045611612958,0,0,0.0318822992055584,0,0.0314762024999232,0,0.0633132235201725,0,0.0774485666118046,0.0142898090793076,0.0186709301197558,0,0,0,0,0
ETH,0,0,0,0,0.0709028896528615,0.072620890061289,0.025019545788207,0,0,0.332270470961432,0,0.029704686907932,0.145526205890247,0.130974475026224,0,0,0,0,0,0
XRP,0,0,0,0,0.0902388457957098,0.2064973363044,-0.157479589685212,0.0853567222664107,0,0,0,0.105268668570164,0.171290084221557,0.21454078630145,0.121073419089539,0,0,0,0,0
BCH,0.126362165816406,0,-0.0373976528900478,0,0.274455407068358,0,0.204156755485884,0.0120795574848111,0,0.192738038362134,0.15935766197776,0,0,0.0843779733872915,0.000000000000000000867361737988404,0,0,0,0,-0.015301782306833
LTC,0,0,0,0.192029206985979,0,0,0,0,0.126053937445912,0.0655429902915214,0,0.0382284139890998,0,0.157797256575159,0,0,0,0,0,0
ADA,0,0,0.0862016270586774,0,0,0,0.0106919932131502,0.181151236151863,0,0,0.152128810799964,0.0107492147467711,0.21647686583355,-0.00000000000000000173472347597681,0.0311529770999613,0,0,0,0,0
NEO,0,0,0,0.12357445168915,0,0,0,0.0350032466422492,0,0,0,0.108166186413871,0.192037669265438,0.287170278755559,0,0,0,0,0,0
XLM,0,0,0.26957404573056,0.234169239650639,0,0.274960278272471,0.1621250342865,0,0,0,0,0,0.115897280326727,0,-0.168136356958642,0,0,0,0,0
EOS,0,0,0.0410557004943038,0,0,0,0,0,0,0.342694669352236,0.383134423367569,0,0,0.205592142357292,0.070159736341837,0,0,0,0,0
DASH,0,0,0.00467637380716274,0,0.255986482343121,0,0,0,0.154738467333869,0,0.0716009493487077,0.134266005482588,0,0.132785924254612,0.0380573122704543,0,0,0,0,0
XMR,0,0,0.0239517466326044,0.243977534566576,0,0,0,0,0.0411498117908673,0.0404537106131812,0,0,0,0.236834198508216,0.0437364970221779,0,0,0,0,0
MIOTA,0,0,0.116312314643734,0,0.00163071707523356,0,0,0,0.217519832761749,0.119567986766625,0.116508238716529,0,0.0781885071883549,0.168947878828053,0.0191318390928879,0,0,0,0,0
XEM,0,0,0.205125787970693,0.0880627336197855,0,0,0.0197498917506666,0.188254731468427,0.0184113881207796,0,0,0.1678238029285,0,0,0.0351437179354033,0,0,0,0,0
ETC,0,0,0.0343206547819994,0,0,0,0.0542320766946421,0,0.157501345232224,0.0376181315540522,0.169012998836436,0,0,0,0.11908198013315,0,0,0,0,0
TRX,0.785250255870634,0,0.167358364294372,0,0,0,-0.146871693683327,0,0.217124259625945,0,0,0.0549101882927969,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0430504810348026
CVIX.INDEX,0,-0.017725546814287,0.0340719698814253,-0.0169982014833425,0,0.0212972732512162,0,0,0,0,-0.0666827872299538,0,0.0378524175404598,-0.0082334821946967,-0.0115472380362144,0,0,0,0,0.0588539751630242
DXY.INDEX,0,0.0169863369191042,0.00385899912668164,-0.00116589177164711,0,-0.00744688652254618,0,0,-0.0120226555782073,0,0,-0.00371286908478869,0,0,-0.00705463050029443,0,-0.0198056926497259,0,0,0.00521793025974701
SPX.INDEX,0,0,0,-0.00582228988482544,0,0,0.0154942088458889,0,0,0,0,0,0,-0.0169224823452758,0,0,0,0,0,-0.0647942443378435
VIX.INDEX,-0.521711289514859,-0.0318827870654005,0,0.131835497589023,0.460853864923729,0,0.156959914578603,-0.019585327177733,0.0267945123432194,-0.330153114587209,0,-0.0817305067436428,0,0.0946257577269242,0.0609143227859407,-3.20018475164502,0,0,-4.26780347844759,0
