,BTC,ETH,XRP,BCH,LTC,BNB,EOS,BSV,XMR,XLM,ADA,TRX,LEO,DASH,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.418160847659268,0,0.0138015805150649,0,0,0,0,0.103671676443951,0.0160759240617484,0,0,0,0.236019042316258,0,0,0,0,0,0
ETH,0.268622801104861,0,0,0.139943678321141,0,0,0.271369985378617,0.00189924070270652,0,0,0,0.0546671244950144,0,0.149648832681829,0.0838083224589637,0,0,0,0,0.0619625692336658
XRP,0.184619842512752,0,0,0.033341637811008,0,0,0.209278393632956,0,0,0,0.27302872809759,0,0,0,0.100687877382771,-0.0366152207040527,0,0,0,0.0298874276429773
BCH,0.215808057087762,0.290400439536846,0,0,0,0,0.219332160109598,0.150655010192943,0,0,0,0,0,0.0276876096023666,0.145901929829553,0,0,0,0,0.0336956240015393
LTC,0,0,0,0.170232883675849,0,0,0.312028683600839,0,0,0.0756947887598071,0.197287159934557,0.0139284701336735,0,0,0.0496987127917417,0,0,0,0,0
BNB,0,0.127993099053224,0,0,0,0,0,0.0179131213217593,0.0361806569503393,0,0.0256039382496108,0.312143656169658,0,0,0,0,0,0,0,0
EOS,0,0.123116407246515,0,0,0.202547110478368,0,0,0.281743722707243,0.127357708495829,0,0.113027684314135,0.0000414500270849161,0,0,0.101592421741157,0,0,0,0,0
BSV,-0.0929756521174279,-0.244847123426637,0,0.456424839857739,0.1235851080685,0,0.118450741810477,0,0,0.187898992627784,0,0.303098954110976,0,0.201761907652709,0.123705135454436,-0.0364982925954866,0,0,0,0.0309397662016285
XMR,0,0,0,0,0,0.394741117633686,0.296436581981801,0.112536451531663,0,0,0,0,-0.000000000000000000216840434497101,0.266172234900764,0,0,0,0,0,-0.0585465175875168
XLM,0.0792844047619186,0,0.178391799725462,0.079835112814918,0,0,0.00000000000000000173472347597681,0.00000000000000000346944695195361,0.0773149488915421,0,0.34702942222333,0,0,0,0,0,0,0,0,0.00296281926598184
ADA,0,0.0112321322840316,0,0,0.11872709179507,0,0.18933369008954,0,0,0.193818805012131,0,0.271640245607444,0,0,0,0,0,0,0,0.0259983910003286
TRX,0.0804440340373285,0,0,0,0.358884345370075,0,0,0.224383360730927,0.063902981907595,0.055125579234521,0.341301517233258,0,-0.0791115230920021,0.0000000000000000138777878078145,0,0,0,0,0,0.0490539335696004
LEO,0,0,0,0.344175850025475,0,0.0721214244270394,0,0.00000000000000000346944695195361,0.163031024636492,-0.180677149098337,0,0,0,0,0,0.261912519221958,0,0,0,-0.0841356359530875
DASH,0.092781884422541,0.277289493279933,0,0,0,0,0,0.0963952476393219,0.118886801401246,0,0,0.0625719708421324,0,0,0.0385875082224418,0,0,0,0,0
ETC,0,0.141718852427085,0,0.389770242447975,0.202604826791725,0,0,0.0297773770376053,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0.271478032645444,0,-0.182455443198808,0,0,0,0.033158265836095,0,0.239895250808,0,-0.41622107158345,0,0,-0.128122365606127
CVIX.INDEX,-0.0249991938260118,0,0,0,0.107562878367051,0,-0.0552889891028505,0,-0.111015808600778,0,0.269613069410542,0,0,0,-0.205035654076675,0.0613105799194879,0,0,0,0
DXY.INDEX,0.000424831868230896,0,0,0.0108546526680932,0.0075620931282849,0,-0.021132323317585,0.0122206950595183,0.00499942625800778,0,0,-0.00586622286485117,0.00621996036376415,-0.0241860532497947,0.00496565008495904,0.0436768160150937,-0.0088807281939951,0,0,-0.00200829580156065
SPX.INDEX,0,-0.0305259493720435,0,0.0447665323684861,0,0,0,-0.00946560566393821,-0.0367013056316837,0,-0.0347299823804376,0.0707606516912949,0,0,-0.0127511557933831,0.0689392766815753,0,0,0,-0.0854627232341929
VIX.INDEX,0,0,0,0,0.342582671378801,0,0,0,-0.0387407697747307,0,0,0.0807053466336854,-0.391976660384282,0,-0.136885935995435,0,0,0,-5.00053497421247,0
