,BTC,ETH,BCH,MIOTA,LTC,XRP,DASH,XEM,XMR,BTG,ADA,ETC,XLM,NEO,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.103316406149283,-0.000000000000000000433680868994202,-0.272574139093523,0.14529157521227,-0.0667695330371313,-0.0049222402618664,0,0.043755657590153,0.0588201690166704,-0.0849378471491907,0,0.0309829630333622,0.15759485995013,0,0,0,0,0
ETH,-0.176445857720053,0,-0.0590519285830907,0,0.218354440557678,0,0,0,0.119060805920411,0.0324162824009238,-0.0314763488493686,0.100837077130634,-0.0236458129645036,0.110181947802149,0.0456634760669981,0,0,0,0,0
BCH,-0.0154355744149039,0,0,0,-0.375162975656182,0,0,0.167232850697458,0,0.0924388164239897,0,0.0839593441743541,0.0174647614747792,0.377685043077109,0.019890433922963,0,0,0,0,-0.37401306464259
MIOTA,0,0,0,0,-0.019484646667253,0,0,0.238897654368599,0.252072002032849,-0.141196343505208,0.0162593374695769,0.0746652915217349,0.0976103558196656,0.0764386596078242,0,0,0,0,0,0
LTC,0,0,-0.058401001857321,0,0,0.307762962266068,0,0.222569654450856,0.00120236354150557,0,-0.0118961046462337,0.056104641816704,-0.0414476571989092,-0.0438216265983321,0.044528182702794,0,0,0,0,0
XRP,0,0.132241883807888,0.0229254267159479,0.0593251435705918,0,0,0,0.00486930337735372,-0.00000000000000000346944695195361,0,0.0683239469937552,0.0984866217104964,0.00991263887648664,0.0956028286230535,0,0,0,0,0,0
DASH,-0.197225385651981,0,0,0.0253510256239235,0.0707613454111485,0,0,0.0186607193543787,0.0468310624499392,0.0134610866470802,0,0.0404937562325056,-0.0281881173214142,0.0986626527356591,0,0,0,0,0,0
XEM,-0.212927173647615,0.283354525994007,-0.00142588006504574,0,0,0,0.0528510619632165,0,0.112795563213309,0,0.116390033719292,0,0.146817831900872,0.0903180452393196,0.0447656229191419,0,0,0,0,0
XMR,0.256440826459255,0.0227209439542073,-0.0620428528958943,0.024626417919205,0,0.138644658977588,0.116257513259143,-0.024845753149187,0,0,0.114864326482187,0.189978992057382,0,0.26748367835034,-0.0497534705065741,0,0,0,0,-0.072573310379451
BTG,0.356500341508991,0,0.983865729339651,0.213277635394716,0.655512575010271,-0.551664790942172,-0.397018166466865,0,0,0,0,0.329488086904006,0.0463325106453487,0,-0.668368252605291,0,0,0,0,-0.325033878583319
ADA,0,0,-0.0212106046073125,0.0634294950182642,0.365060976927458,0.141636089490396,0,0.0210752531189363,0,-0.0219846433810447,0,0.288897554292154,0.0768127061426985,0.127493185045393,0,0,0,0,0,0
ETC,0,0,0.134560690781614,0.0249205734870109,0.0830832491710717,0.553121972140175,-0.242987793445093,0,0,0.064920634075139,0.162648486018511,0,0.025635093735563,0.130623884775879,0,0,0,0,0,0
XLM,0.0337355974762746,0,0,0.325321745241779,0,1.28065445798299,0.0493521489008848,-0.127057470691289,0,-0.0462103455059747,0.0325886727460217,0,0,0,0.2612049030797,0,0,0,0,-0.0740505745978125
NEO,0,0.547654279758052,0.0535682897640847,-0.0377022768850074,0,0,0,0,0,-0.110792277320624,0,0.133380835091503,0,0,0.067737755717957,0,0,0,0,0
EOS,0,0.0950261887635926,-0.0213866094298194,-0.147274418100839,0.238161661007099,0.0835953290636275,0.233519787357426,0.0778043166637975,0,0.088709688905129,0.0640186183157233,0,0.0748828598527761,0.386790416975279,0,1.58943163334017,0,0,0,0.267218169316919
BV010082.INDEX,0,0,-0.0339905556231962,0.000000000000000000216840434497101,0,0,0,0.0110860225667214,0,-0.000408272100233342,0,0,0.00916364683493457,0.0348438150302987,0.0178871062016376,0,0,0,0,0
CVIX.INDEX,0,0,0,0.00162286342044211,0,0,0,0.0323307904999363,0,0,0,-0.000430404109118248,0.0206923864453453,0.00533482515158393,-0.00791260174126729,0,0,0,0,0.117925744272114
DXY.INDEX,0,0,-0.00148591181615699,0.0038058590856056,-0.0134199910563888,-0.0425689034469962,-0.00140698956806524,0.0118399502672085,0.00885916273020831,-0.00447062643983532,0,0.00626591420490957,0,0,-0.00129797275462228,0,-0.0192471904976699,0,0,0
SPX.INDEX,-0.0112848475259674,0,0,0,0.00342098168790642,0,0,0,0,0.00140909274221556,0,0,0.00128809426757482,0.010424267380245,0,0,0,0,0,-0.0261731444151066
VIX.INDEX,0,0,-0.0242169242982361,0.166780234173167,-0.139234590788717,0,0.170448672719483,-0.0678915125013757,-0.373143431006844,0,0.0356933549663891,0.106285507460779,0,-0.100321971807,0.115646065113841,0,0.522229555050687,0,0,0
