,BTC,ETH,XRP,DASH,LTC,XMR,ETC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.220450212500893,0,0.109665990222346,-0.0852485377200568,0.167534808525822,0.339205367527434,0.18716052600821,-0.176446782503613,0.0554026776579557,0.164242619668449,-0.357959656261719,0.0439280105352676,0,0,0,0,0
ETH,0.379659364497723,0,0,-0.0393913881277383,-0.0459050098592812,0.865130607358957,0.244369474565456,-0.116089846378963,-0.177383427170214,0,0.108822373467194,0,-0.0316137311850252,0,0,0,0,0
XRP,0,0.042649576683204,0,-0.346657046177495,0,-0.0272119765672858,0,-0.133820361206271,0,0,1.2055261892283,0.433678839447624,-0.63227637403156,0,0.556897049463948,0,0,0
DASH,0,0.00443451158059854,0,0,0,0,0,0.0565013977900947,0.197995370937282,0,-0.267863885496121,0,0.124729829688185,0,0.528826032253479,0,0,0
LTC,0.117824263474129,0,-0.0618061833418037,0,0,0.132234934930583,0.103457086924805,-0.0828868569954562,0.0370829176783893,0,0,0,0,0,0.00893771620320541,0,0,0
XMR,0.262237224012987,0.241685289213716,0.0113452019287378,0.0183488898092952,0.0983432219732886,0,-0.0737033777538975,0,0.120790418991158,-0.125859878931818,0,-0.0332238711797654,0,0,-0.155550913226222,0,0,-0.0219834442833619
ETC,0,0.312115402032608,-0.0535464494116187,0.137204159767648,0.458763049947392,0.0542726524422586,0,0.0337994930327279,0.0409329603799012,0.116559743323013,0,-0.0709853804715907,0,-0.814644259079472,0,0,0,0
XEM,0.375423636525986,0.196941693280435,0,0.0225324773054993,0,-0.00000000000000000693889390390723,0,0,0.270126201709923,-0.131351508416443,0.0736153916454858,0.100576467281293,0.131201679989215,0,0,0,0,-0.0847472146059669
ZEC,0,0.0464659281825385,0,0.261423996333905,0,0,0,-0.019047790109914,0,0.238442579143125,0,0,-0.143881975630075,0,0,0,0,0
DOGE,0.18698066362015,0,0,0,0,-0.0991622805401565,0.0680925167881552,0,0.19614994587606,0,0.425133448537556,0,0.0654398937267839,0,0,0,0,0
XLM,0.290601414707666,0.0551938227428611,0.283926047950358,0.0290899341956449,0,0,0,0,0,0.304042225412641,0,0,-0.0783935007509022,0,0,0,0,-0.246680076642718
NEO,0,-0.115938585459515,-0.0744294699574019,-0.0468170845356239,-0.188089694161753,0,0,0.0454183287192743,0.140756462405953,0.14095684355391,0.16443291923684,0,0.0916405992870167,0,0,0,0,0.275402903584838
DGB,0,0.138448119094464,-0.0996737613221327,0.0999633148204773,-0.0863540315340489,-0.116749457910994,0,0.105917529920866,0.0166256755843385,0.33201116125085,0.170291193885878,0,0,0,0.122321047551251,0,0,-0.175679555190913
BV010082.INDEX,0,-0.0176320780189057,-0.00311955647540753,0.0739905966058415,0,-0.0734679741802561,-0.0606778139185314,-0.0547884062272485,-0.0185016430100079,0,0.0393583903099188,-0.0884888183919975,0.11930487818828,0,0.129495721380766,0,0,0
CVIX.INDEX,0.146472611701243,-0.0228751506762906,0.00561604775224117,-0.0436817972108516,0.0486657133895123,0,0,-0.0644853670331113,0.0932679035794651,0,-0.0067704600932651,-0.0902002015624831,0.0312046188463682,0,0,0,0,0.347183563870791
DXY.INDEX,0.016861848270811,0,-0.000134426659542131,-0.00506633793108083,0.00657321455908009,-0.00581771952685067,0.0208680129808481,-0.00519761060797728,-0.00445138038552492,0.00238580628443009,0,-0.0124739312504422,0,0.10556381970055,0.0265842292781484,0,0,0.0159702025675744
SPX.INDEX,0.0111241366841388,0.00230888712277539,0,-0.00226588464660666,0.00562089893187995,0.00260899912558108,-0.00269590717700032,0.00130180515694557,0,0,0,0,-0.00256007067554434,0,0,0,0,-0.0277532430599199
VIX.INDEX,0,0.0506237765970553,0,0.027191142938143,0.000623463524377832,-0.327148800708475,0,-0.0167177031167576,0,0.049047769694238,0,-0.0165491458339713,0,-0.658705198975034,0.354363914686939,0,0,0
