,BTC,ETH,XRP,BCH,XLM,EOS,LTC,ADA,XMR,TRX,DASH,MIOTA,BNB,NEO,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0219273517327268,-0.00609681432059563,0.000245856778470971,0,0.255889337076515,0,0,0,0.0240480960783231,0,0,0,0,0,0,0,0,0,-0.0000000000000000000271050543121376
ETH,0,0,0,0.0383242537411936,0,0.246991662395316,0.0687013468515122,0.173683722352486,0.080879457896786,0.0617952809266037,0.152093677317738,0,0,0.23934662000119,0,0,0,0,0,0
XRP,0,0,0,0.041981409335268,0.0157994256344744,0.445609757155082,0,0.23863557367446,0,0,0,0.265424137171685,0,0,0,0,0,0,0,-0.00000000000000000173472347597681
BCH,0,0.308699459072684,0.0641483517775009,0,0.00000000000000000173472347597681,0,0,0.228494211104222,0,0.099241566848229,0,0.14569511498264,0,0,0,0,0,0,0,0.0237343570580162
XLM,0,0.125753465794284,0.134772534942792,-0.000000000000000000433680868994202,0,0,0,0.287661943355187,0,0.126557103220419,0.0668217750230696,0.0368927487130083,0,0,0,0,0,0,0,0
EOS,0.354361234644196,0.511372009184823,-0.0427906484151744,0.0721323576948064,0.0829537813243089,0,0,0,0,0.0662843798325246,0,0,0,0.0708605115619992,0,0,0,0,0,-0.0182025871599444
LTC,0,0.253681516730608,0,0.147421818804911,0.0275898350519233,0,0,0,0,0.062419669231251,0,0.297578727009328,0,0,0,0,0,0,0,0
ADA,0,0.199038067522038,0.0118688952749709,0.184946049295535,0.323266423251038,-0.325188994274963,0,0,0,0.0561369594564388,0,0,0.178646673573363,0.27738653355414,0.278505804588085,-0.198548627398006,0,0,0,0.0759605460092954
XMR,0,0.221800614218844,0,0,0,0.397115453976791,0,0,0,0,0,0.0361909434979262,0.0691747640883622,0,0,0,0,0,0,0.0139654367944582
TRX,0,0.230594913218788,0.028072840353951,0.0979379745716519,0,0.0733325990033388,0,0.0994468400944731,0,0,0,0.171210735343804,0.215873854426839,0,0,0,0,0,0,-0.0786242345228626
DASH,0,0.328049638100862,0,0.00290726102371434,-0.0502409418487677,0,0,0.310969239022057,0,0.0321496309919617,0,0,0,0,0,0,0,0,0,0.00794939226050955
MIOTA,0,0,0.106845228613346,0.0106915522419894,0.0442176851058266,0,0.210310037178005,0,0,0.155003318471224,0,0,0,0.214104811740014,0.191489721438843,0,0,0,0,-0.0578645547497419
BNB,0,0.296506014212225,0.0125032724330283,0.0374457382799993,0,0,0,0,0,0.0520454234015501,0,0,0,0,0.0659954070704601,0,0,0,0,-0.0333104284774901
NEO,0,0.0469383719967203,-0.0386236937633721,0.108833667231577,0,0,0,0.361058339660933,0,0.0218302014673329,0,0.297288172082185,0,0,0,0,0,0,0,0
ETC,0,0.224535477001113,-0.038791338654463,0.0984382395025752,0,0,0,0.181773448219029,0,0.0048758748164151,0,0.242947145098788,0,0,0,0,0,0,0,-0.0576529082527689
BV010082.INDEX,0,0,0.0382514198424376,-0.0740888804037975,0,0,0,0,0.08900985708524,0.0298258420450229,0,0,0,-0.141472042985944,0,0,-0.05334910640556,0,0.496686519608161,0
CVIX.INDEX,0,-0.0413274702340245,0.0555658889208212,0,-0.132676055436123,0,-0.388413557946632,0,-0.0807788139870983,0,0,0.392850063513139,0.146000412564753,0,0.0853982048916563,-0.142860541946038,0,0,0,0.028621666901971
DXY.INDEX,0,0.000000000000000000216840434497101,-0.00970629002350581,-0.0167312126210759,0,0.0158749616579254,0,0,0,-0.0427079525883465,0.00615436694459373,0.0345618631553559,0.00189977475036572,0,0.0186408429424235,0.0304900156778695,0.034344786519546,0,0,0.00673716595991069
SPX.INDEX,0,-0.0454385505202128,-0.0517302394526418,0,0,0,0,0.0235648176048573,0,0,0,0.0427580985095161,0,0.0636753910693881,0,0.0584996174993573,0.0311664578487351,0,0,-0.123297184494512
VIX.INDEX,0,-0.183394079492379,-0.0476578980355298,0.265744142946441,-0.22592194316605,-0.0286576589508377,0,0,0,-0.181230010582182,0,0,0,0,0.362754262490513,0,0.437442908246995,0,-6.36297021463264,0
