,BTC,ETH,BCH,XRP,LTC,DASH,XEM,MIOTA,XMR,NEO,ETC,ZEC,BAT,EOS,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.189736092381772,0.0729339163766236,0.0502771211274121,0.0506400137401906,0,0.0286871862413553,0.0694518795100663,0,0.105171748487483,0,0,0,0,0,0,0
ETH,0,0,0,0,0.265245280141974,0,0.0677575300050953,0.0680289948050176,0.148117611488441,0.0349681925904414,0,0,0,0.0231278846638076,0.0510348563744782,0,0,0,0,0
BCH,0,0,0,0.450928827762666,0,0,0.719683907672386,0,0,-0.135115457842372,0.218515691548223,0.592461774220534,0,0.0499153871909699,-1.01657615334388,0,0,0,0,0
XRP,0,0,0.0555452240706467,0,0.058619971439117,0,0.00425406391404714,0.109405759677078,0,0,0,0,0,0,0.214037981438118,0,0,0,0,0
LTC,0.0619828537458607,0,0,0.0520715947840467,0,0,0,0,0,0.0110269726449162,0.754780776764986,0,0,0,0,0,0,0,0,-0.00000000000000000010842021724855
DASH,0.0335297299415612,0,0.0415347999486796,0,0,0,0.0974474476447275,0.0402858797213526,0,0,0.173511360688563,0.0537043910826345,0.185690120603489,0.0996206242676504,0,0,0,0,0,0
XEM,0,0.0693837205273502,0,0,0.0535026798027462,0.141168020539643,0,0,0,0.0565675738301307,0,0,0.0403599961678893,0,0.223275878806955,0,0,0,0,0
MIOTA,0,0.0935615131511549,-0.0924526108728008,0,0,0.0315332465130859,0,0,0.0582332976212722,0,0.000000000000000000867361737988404,0.391909448942243,0,0.312169949536908,-0.0000000000000000138777878078145,0,0,0,0,-0.0186275598609544
XMR,0,0,0.114249338430804,0.067291307547264,0.0566078603344386,0.135727175650846,0.0338912617322857,0,0,0.110953837530549,0,0.264715648197073,-0.0530000490560033,0,0.192440686829757,0,0,0,0,-0.0288401250734026
NEO,0,0,0.0510579653363591,0.0446411552992389,0,-0.0161858514541006,0.48447550629018,0.128777950315507,0.180720355852893,0,0,0,0,0.25265708541068,0,0,0,0,0,-0.217743710639185
ETC,0,0,0.000666408057817564,0,0.63066047962417,0.127258021469874,0.123556900382546,0.0645243686235146,0,0,0,0.00385338945402851,0,0,0,0,0,0,0,0
ZEC,0,0.262339748815142,0.0054246862521231,0,0,0.173020478338612,0.0909223991161727,0.187451295741196,0,-0.0152779998817066,0,0,0,0,0.150755013281077,0,0,0,0,0
BAT,0,0.0390100650172245,-0.0850779565067443,0,0,0,0.232747047816041,0.0421864387550783,0,0.0881596479783269,0,0.262393351795416,0,0,0.167795531182579,0,0,0,0,-0.0966991293245391
EOS,0,0,0,0,0.12154218614414,0,0,0.0507047402953458,0.113352805265406,0.138585244827278,0,0.0974941518813725,0.0485601150187064,0,0.130812831371149,0,0,0,0,0
XLM,0,0,0,0.0636391496271353,0,0,0.239339664482437,-0.000000000000000000433680868994202,0.221888366786135,0,0.156969988233089,0.0103733933905552,0.110644961876185,0,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.00446867496505091,0,0,0,0,0,0,-0.00375016456678651,0,0.0501446458682807,0.0136870862174421,0,0,0,0,0,0,-0.082194625260609
CVIX.INDEX,0,-0.0051616852212308,0,0.0473860318467856,0.0515154850038441,0,0.0126011247462328,0.0482376626445116,0.0202628119634677,0.0113847026766823,0,-0.124865066594979,0.0386784840728924,-0.0900671701973087,0,-0.105496389328273,0,0,0,0.0538059822710183
DXY.INDEX,0.00562438069292173,-0.0149352113939222,0.00181497664036654,0,0.00822753859591253,-0.0147049510389722,-0.00206568521407306,0.00350654109014204,0,0.00561780729968993,-0.00000661130948165266,0,0,0,0,0.0395036219294648,-0.0352805749726675,0,0,0
SPX.INDEX,0.00075932208459151,0,-0.00000201483294976008,0,0,-0.0107685457791674,0,0,-0.00368236080590488,-0.000604741555149934,0,0,0.00862953348165085,0,0,0,0,0,0,-0.0475556636037308
VIX.INDEX,0,0,0,-0.172047384050307,0,-0.224153119129972,0.173171708255803,0.0975173871276934,0,0,-0.0619838152042141,0,0.134581151991213,-0.280293194575507,0.205693715024386,0,0.683567962572792,0,0,0
