,BTC,ETH,XRP,BCH,LTC,DASH,XEM,XMR,NEO,MIOTA,ETC,ADA,XLM,ZEC,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,-0.000000000000000000867361737988404,0.00989389394100957,0.139167656175067,0,0.0244837800443095,0.118029579391278,0.211006767632464,0,0.0171172599235259,0,0,0,0,0,0,0
ETH,0,0,0.058200161114368,0.0313164823974213,0.248376988112283,0,0.149541226860036,0.0346351652921435,0.0257797084585769,0.207765326264057,0,0,0,0,0,0,0,0,0,0.0247730557701248
XRP,0,0.213044692278484,0,0.0900563545656047,0,-0.0539437281614529,0,0.142095923954517,0.0609670865773387,0,0.0288455325670593,-0.0987597305476064,0.0117120502706932,0,0.0843221200754555,0,0,0,0,0
BCH,0.423821907816618,-0.459314918192588,0,0,0.324005507422837,0,0.282875122884028,-0.145793192518838,0.0574156384708662,0,0,-0.132876659272474,0.0602684553164017,0.248998862692789,0,0,0,0,0,0
LTC,0,0.061494197925481,0.0797929864008969,0,0,-0.00912143980121828,0,0,0,0,0.750772108986294,-0.0277709083437519,0.031140516684835,0,0,0,0,0,0,0
DASH,0,0,0.0625195564332232,0.0328120261333469,0,0,0.267801689617456,0,0,0.0438670379115207,0.12225500239314,0,-0.00159519436048747,0.103641849748891,0,0,0,0,0,0
XEM,0,0,0,0.037616039605715,0.171633031927444,0.159515694168303,0,0,0.117157487014673,0.141548081773667,0,0,0.0585211198107758,0,0,0,0,0,0,0
XMR,0,0,0.0936377123470979,0.0941805513732449,0,0.0243934854406592,0.170657999029483,0,0.0681897975961596,0,0.0954638462288425,0,0.0596350934477436,0.197060514768235,0,0,0,0,0,0
NEO,0,0,0.106618559205044,0.000793788910530312,0.2179041678336,0.0574583132624826,0.265443776144542,0,0,0.152685383655521,-0.0114233729214955,0,0.161832045803179,0,0.120976761127762,0,0,0,0,-0.352203951632053
MIOTA,0,0,0,-0.0819068389510924,0,0,0.0140522206673087,0.0409573026251627,-0.123331117622367,0,0,0,0.0493394936047065,0.432864586893247,0.403440099068153,0,0,0,0,0
ETC,0,0,0.02594732472415,0.00213638969845828,0.60172349171971,0.119180998492778,0.105355771978713,0,0,0.0628928303722983,0,0,0.0512011081561877,0,0,0,0,0,0,0
ADA,0,-0.194362345782728,0.0380338004728568,0,0,-0.0654822112996832,0.237777375662829,0.104393105799424,0.0802172174790088,0.0673409275761867,0,0,-0.280982189459577,0,0,0,0.653427451974162,0,0,0
XLM,0,0,0,0,0,0,0.369618064170828,0.195693681910432,0.0562420080627628,0,0.118772918175441,0,0,0,0,0,0,0,0,0
ZEC,0,0,0,0.046462423580796,0,0.206908892125808,0.229130454894466,0,-0.0405484529903014,0.233408225866127,0,0,0.0467747237391454,0,0.187578328905972,0,0,0,0,0
EOS,0,0.205801848539379,0,0,0.31485788360257,0,0,0.0892888938940984,0.171659006343219,0.171943797340364,0,0,0.0632013562904723,0.0982284557559556,0,0,0,0,0,0
BV010082.INDEX,0,0.0187065265044671,0,-0.0228422587396526,-0.0349907970361783,-0.0576450859227064,0,-0.0103195246918018,0.0202827849049297,-0.0171975648806912,0.03388261543095,0.0316058733311558,0.00595722665703014,0,0.0401079025764235,0,0,0,0,-0.0587827955214703
CVIX.INDEX,0.142593091268371,0,0,0,-0.081042753341501,0,0.0333126012536509,0.0293323042381159,-0.0353465992048291,-0.0101237262629655,0,0,0.0233134989088314,-0.0223022105271997,-0.0333114829657088,0,0,0,0,0.105463195813505
DXY.INDEX,0,0,0,0,0,-0.0207636340718579,-0.00293098651456521,0,0.0108480852401887,0.00863011705129243,0,0,0.0028168970217631,0.00273416663551829,0,0,0,0,0,-0.0066134109114831
SPX.INDEX,0.00641874442819251,0,0.00297693846571715,-0.0101973207390263,0,-0.00993352898624198,0,-0.00507850472996518,0.000702078417115608,0.0047365512889511,0.00484442796550754,0,0.00105423774628642,0,0,0,0,0,0,-0.0349053203607213
VIX.INDEX,0,0.358822142473467,-0.0143572491961047,0,0,-0.324420121996875,0,0,-0.135961814679937,0.10306350841241,-0.0725848235498477,0,0.0634769303249912,0.219281212284574,-0.237024619318242,0,1.01429554637019,0,0,0
