,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XTZ,XLM,TRX,ADA,ATOM,LEO,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.138978488360147,0.00843244451006944,0,0.0000000000000000138777878078145,0.0566851096684748,0.0311728317409458,0,0.0360523797585339,0,0.0457736317091478,0,0.246439565847675,0,0,0,0,0
ETH,0,0,0,0.0614141748765647,0.415034675850414,0.0582848522062219,0.239826846885099,0,0,0,0,0,0.0574229475115589,0,0,0,0,0,0,0
XRP,0,0,0,0.310596047774787,0,0,0.175449303617777,0,0.106364357670843,0.101694920183483,0,0,0,0,0,0,0,0,0,0.117870565726093
BCH,0,0.00161429106180477,0.273198865974774,0,0,0,0.248077278591655,0.133274441352449,0,-0.0311086257255296,0.230767035809315,0,0.0951924431877431,0,0.0493812122194603,0,0,0,0,0.0185461520486066
LTC,0,0.222681152646642,0.0160855075045421,0,0,0.504732485008107,0,0,0,0,0,0.0687937934860923,0.0468782883852746,0,0,0,0,0,0,0
EOS,0,0.169656331544555,0,0,0.609556855476054,0,0,0.0723121494576543,0,0.0581620781220328,0.0304988463646941,0.062499144042597,0.0174507152272882,0,0,0,0,0,0,0
BNB,0,0.0922500316802563,0.125850813685424,0.223423988876459,0.0120392194993338,0.256871710227615,0,0,0,0,0.0811799233998148,0,0.0179474477825902,0,0,0,0,0,0,-0.0331001423727
BSV,0,0,0,0.437184218343026,0,0.120985856244856,0,0,0,0.21896348344406,0.00684469987240142,0.244383488357926,0,-0.0504299351066648,-0.0612421997924552,0,0.377643296447766,0,0,-0.0865751684196288
XTZ,0,0,0.195022485473226,0,0,0,0.464451261256119,0,0,0,-0.266910626769984,0.495504109316628,0,0,0,0,0,0,0,-0.0526858182365948
XLM,0,0,0.238040087983189,0,0,0,0,0.0758149910882237,0,0,0.243520516173803,0,0.141299738684979,0,0,0,0,0,0,0
TRX,-0.212564452527985,0,0.24347257957845,0.437933931410309,0,-0.00000000000000000173472347597681,0,0,0,0.0860116701917417,0,0.4341993864171,0,0.323079433136185,0.169062172319185,0,-0.0759418801454095,0,0,0
ADA,0,0,0,0,0.0342540019708906,0.173867476209688,0.147671628591867,0.0188348959570117,0,0.187465965415287,0.102193301832151,0,0.127246340151829,0,0,0,0,0,0,0
ATOM,0,0,0,0,0,0.123420804862702,0.129845376425805,0,0.091002204591969,0.342429026830533,0,0.388845181531067,0,0,0,-0.30543591743352,0,0,0,0.0141701133534936
LEO,0.31504358592264,0,0,-0.0425098109094262,0.468088430776545,-0.405456332624284,0,-0.127615883192627,0.0500444498715464,0.116446787994172,0,0.166747216671405,-0.10805197195915,0,-0.139028888786961,-0.0254012253142817,0,0,0,0.0286972239671072
XMR,0,0,0,0.2859330857759,0,0.246114461883662,0,0,0.135113788555159,0,0,0,0.0349422426122411,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0.249533667785038,0.129143898407214,0,0,0,-0.107295767681017,0.107393366766172,-0.129564865244082,0.135175168117833,0,-0.177214234279098,0,-0.137494457347568,0,0,0,0,-0.0586948243126211
CVIX.INDEX,0,0,-0.18597761956282,0.210096114259583,0,0,0,0,0.028058229300643,0.024506662071975,-0.161338831284971,-0.12466836649554,0,0,0.153046692993014,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,-0.0104766157716446,0,0.0252707627159126,-0.00249881491747593,0.0131749944842442,0,-0.00394626307445573,-0.0189037339063735,-0.0291831330954501,0,0.0175203606955248,0,0,0,-0.0048695323927517
SPX.INDEX,0,0,0,0,0,0.0126016576716674,0,0,-0.00629059882968414,0.00335217566673628,0.000946087868864699,0,-0.00423097590135277,0,0,0.0536945915551147,0,0,0,-0.0434383078739062
VIX.INDEX,-0.14038484049919,0,-0.353448794404144,0.00240492513153662,0,0,0,0,0.0528273915958081,0.129738719534844,0,0.593232866260267,-0.384421158670919,-0.142454666048588,0,0,0.642532008009195,0,-5.04216050441033,0
