,BTC,ETH,XRP,LTC,DASH,ETC,XEM,XMR,XLM,ZEC,DOGE,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.15711543854306,0,-0.00482956452704133,0,0.250772621731269,0.185009975023626,0.135580343149173,0.0681834369480161,-0.144646525786463,0,-0.252547221233161,0.10926188758086,0,0.0487732528430753,0,0,0
ETH,0.193244349472366,0,0.100386305121968,0,-0.0035971584578788,0.311195410253449,-0.0212601988352823,0.83181941731122,-0.0754212218068237,-0.379484227639189,0,0,0,0,0,0,0,0
XRP,0,-0.000000000000000000867361737988404,0,0,0,0.0851421197134079,0,0,0.525777468440341,0.0435856680859292,-0.107051343962666,0.116057179195675,-0.525575433637249,0,0,0,0,-0.146402503566274
LTC,0,0,0.043170233275403,0,0.16525445485945,0,0,0,0,-0.166624181927627,0.274439433560804,0,0.115642104862181,0,0,0,0,0
DASH,-0.207489619494929,0,-0.114891520355156,0.0603801236569701,0,0,0.164372377238925,-0.129867477266386,0,0.126673142265675,0,0.0202576355170488,0,0,0,0,0,-0.154750548151524
ETC,0.315417599323382,0.299702385287729,-0.000887154676097927,0.14029367567103,-0.0169133350270712,0,0.101559874391382,0,-0.0643631416953988,0.288593860521451,0.0519653096204331,-0.21565182017474,0,-0.35155204684121,0,0,0,0.244001093054468
XEM,0,0,0.0648952567887653,0.0691581714760527,0.0697064970456516,0,0,0.271326982856233,0.0336326861849577,-0.0448144926263936,-0.2360814913673,0.341753669606781,0.341451198442293,0,0,0,0,-0.382294577939467
XMR,0.396139985053242,0.314737916788558,0.0200104859514091,-0.079324047456662,-0.00000000000000000173472347597681,-0.0325273470124061,0,0,-0.041052015228991,0.265243482599541,-0.0193040313449757,-0.0109283866893543,0,0,0,0,0,0
XLM,0,0.0405890887128558,0.353613088866206,0.190174222286828,0,0.00936490624068337,0.0585253414408231,0,0,0,0.258033591428328,0.101458951417165,0.0402941639398312,0,0,0,0,0
ZEC,-0.180757376212053,-0.00000000000000000693889390390723,0,-0.0550308688614239,0.249619766824601,0,-0.0955463285442522,0.270178007909616,0.0231297176578041,0,0.25599867024119,0.104246151833268,0,0,0.156055880100265,0,0,-0.0855604021239203
DOGE,-0.0736924896227993,0.0810554691471281,0,0.269779944614428,0.138005594054376,0,-0.097599112289613,0.0804849902803069,0.256139975571901,0,0,0.13482383346981,0.0308270086821333,0,0,0,0,0.368173273882535
NEO,0,0,-0.0100408114419674,0,0.162267593336738,-0.161445578035462,0.00672200871068229,0,-0.0557348404514678,0.187928980484207,0.227383658898609,0,0.0295165426054175,0,0,0,0,0
DGB,0.217279827365923,0.0149144405611027,-0.125944163670282,-0.228078799854652,0,0,0.0203638705650856,0,0.377968999297072,0.0154959836114479,-0.057467106270879,0.103494439622646,0,0,-0.0363551374621787,0,0,-0.0376917936892268
BV010082.INDEX,0.100052306364123,0,-0.00558514917574583,-0.00493175949304617,0.0092379859040964,-0.0693673589545347,-0.0118293320650656,-0.0402863977183591,0.0126091596305006,0,0,-0.0325465643652876,0.0162247604391497,0,0,0,0,-0.113227999405225
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0.0179649962061037,0,0.00158928309017922,0,-0.00398763174013693,0,-0.00516112581665009,0,0,0,0,0,-0.00217856725840931,0.068070764760025,0,0,0,0.0273755722260839
SPX.INDEX,0.00724270604501294,0.00640948912118575,0,0.00222076514528965,0,0,-0.00173594621740155,0.00366077656446558,0.00443235483105759,-0.00167444071421588,0,-0.00332077965133418,0,0,0,0,0,-0.0390063202508559
VIX.INDEX,0,-0.219370600330776,-0.016860887349115,-0.0332584498614841,0.0406589031667063,0,-0.0872642506182085,0,0.0255069428016165,-0.137263085151681,0.100309851103223,0.151512777312196,0,-0.647146156084125,-0.282830674989136,0,0,0
