,BTC,ETH,XRP,LTC,DASH,XEM,DOGE,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.0667622438234676,0.58904613135073,0.0958382775178407,0.0606008707739301,0.0177335864362501,0.0880935145030988,-0.0317273944546607,0,0,0.00392295830904561,0,0,0
ETH,0.900358494895645,0,0,-0.518077405937385,0.62616960040493,-0.027682257977793,0,-1.39184571032394,0.102274083656473,0.351328908625154,0,0,0,0,0.149884825330023
XRP,-0.258017797580861,-0.0287135150715236,0,0.288549988360927,0.110273233626504,0,0.172693696448518,-0.057092228582615,0.0880884697284333,-0.0898111994128778,0,0.474050660456707,0,0,-0.0721384675875963
LTC,0.702120060714727,-0.107685281810126,0,0,0,-0.0364686102697329,0.252438745157638,-0.140871128993717,0.0902551214260364,0.00362938636457372,-0.204332658541038,0,0,0,-0.164544410437197
DASH,-0.43548323709299,0.0371358858368989,0.30502583803825,0.368263522575221,0,-0.0165151202246218,-0.0177000480294918,0.137636085954807,0.082363671743747,0.132597822909333,-0.473623592987771,0.0684384266645088,0,0.834136957935307,-0.00740749037470939
XEM,1.25503218880435,0.0659716601690989,0.34375798918082,0,0,0,0,-0.0705436313309869,0.462875307922135,0.384623803727329,0.56558997719252,0.58238615819579,-2.36321043282961,-4.17789472178586,0
DOGE,0.244277354108804,0.0817720060016426,0,0.330662653408267,0,-0.0633132185737901,0,0.226333907155458,-0.000000000000000000867361737988404,0.00821664085844956,0,-0.176506272366501,0,0,0.0831484732569889
XMR,0.824029161984589,-0.22848177127209,0.260733937010564,-0.250844211164154,0.0745619156532452,-0.0865460221688488,0.104616440375177,0,0.0590278391370518,0,0,0,0,0,0
XLM,0,0.165771912949912,0,0.290999640677354,0.0833142189901146,0.176200684928199,-0.104661197602334,0,0,-0.158331889676501,0.704681304659331,-0.302229494999719,0,0,0.24691440596016
DGB,-0.732189317057558,0.247471762777395,0.0486212063287866,0.581063629304736,0,0.126256356474551,-0.0950931598166749,0.00000000000000000173472347597681,-0.180122651328031,0,0,0,0,0,0.0840551475536439
BV010082.INDEX,-0.180603333371132,0.0290284353203611,-0.108162087530984,0.0635366437780914,-0.189459061678921,0.0227492473425268,-0.0659242031374179,0,0.0562951239536183,0.024980864921831,0,0.13620615437816,0,1.22169700176031,-0.0339310874183698
CVIX.INDEX,0,-0.0652195268717631,0,-0.234182643966943,0.342005670416608,0.0255253143280435,0,0.144662522868036,0,-0.0149509146880631,0,0,0,0,0.166634350610845
DXY.INDEX,0,-0.0148738634364534,0.0057932093374053,0,0.0369719753544984,0,0,-0.0331690725707596,0,0,0,0.0417245711899822,0,0,-0.00162012715437308
SPX.INDEX,0,0,0,0,0,-0.00934555503410493,0,0,0.0154305134191438,0,0.0186053001913728,-0.00361178860396699,0,0,-0.081728993545876
VIX.INDEX,0,0.368255645777184,-0.780038744153974,0,0,-0.152263259520166,-0.30903057159701,0.173394613378973,0.552054998016902,-0.269992794691311,0,1.11909791047473,0,-1.74972100230375,0
