,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,ADA,XLM,TRX,XMR,XTZ,ETC,DASH,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.151694742635759,0,0,0.156369452080743,0.102787782745122,0.0728173903729188,0,0,0,0,0,-0.000000000000000000433680868994202,0,0,0,0,0
ETH,0,0,0.0543197435724478,0.0976746644643976,0,0.20228605505754,0.1133247128562,0,0.253366101257574,0,0,0,0,0,0.0385360033281527,0,0,0,0,0
XRP,0,0.277398517239042,0,0.121541881336707,0.0130160949869628,0.0884443258810634,0,0.030700514581388,0,0,0.0440091367630312,0,0.00699579912862881,0,0.0277443294346094,0,0,0,0,0
BCH,0,0,0,0,0.24614865107121,0.142301449082171,0.00000000000000000173472347597681,0.0307059971537177,0,0.0099500444996788,0,0.249402849536105,0,0,0.0980580285441066,0,0,0,0,0
BSV,0.641528216148401,0,0.372136141486725,1.496437640676,0,0,0.530978856712946,0,0.158913613391138,-1.73138099577269,0.0263384309595193,-0.532465784279632,0.11442325426396,-0.395052432193141,0,0,0,0,0,0
LTC,0,0,0.12478794746057,0.0130481179958109,0.0317750241469998,0,0.521526587801549,0.00897779134903155,0.0309082833133255,0,0.0139446192082825,0,0.000000000000000000867361737988404,0.0245820932794218,0.0528490244815102,0,0,0,0,0
EOS,0,0.396028082860423,0,0,0.0577279232168638,0.417951942321689,0,0,-0.00000000000000000346944695195361,0,0.0833941609713018,0,0.052357533769223,0,0.0297082719594995,0,0,0,0,0
BNB,0,0,0.112645378848957,0.0206219176719706,0,0.306406452173646,0,0,0.0421523752801809,0,0,0.152429897844106,0,0,0.0904165733301819,0,0,0,0,0
ADA,0,0.438761903153414,0,0,0,0,0.00000000000000000346944695195361,0,0,0.0107434070410591,0.247939630512021,0,0.0149621482328977,0,0.077529270331448,0,0,0,0,0
XLM,0.316815174119946,0,0.268214871276119,0.139806921067602,-0.075675068450062,0,0,0,0,0,0.172220340743753,0,0.0629177233487501,0,0.0271514170698797,0,0,0,0,-0.0301304327635866
TRX,0,0.23273132933119,0.381539767951997,0,0,0,0.0718035520726066,0,0.155207960886794,0,0,0,-0.0498156698495865,0.129483626911143,0.0758608581637844,0,-0.156521177743197,0,0,0
XMR,0,0.0926523271646729,0,0,-0.0707507716265997,0,0.013282864322839,0.600926959664651,0,0,0,0,0.0195068406229693,0.00212640020498443,0.125451660120427,0,0,0,0,0
XTZ,0,0,0.580727298643205,0,-0.04322418522955,0,0.320944874595603,0.281911110244246,0,0.263599844250739,-0.50428184860136,-0.304882941099479,0,0,0.147213405644101,0,0,0,0,-0.0917340763998065
ETC,-0.163002636128298,-0.611026068695419,-0.313388964638361,0.283831316203277,0.0348054089457879,0,0,0,0,0,0.429310074279788,0.479057014565481,0.141064382340078,0,0.371624083972949,0,0,0,0,0
DASH,0,0,0.090147127805549,-0.0533022934920944,0.233654941766647,0,0.667890036872762,0.616313333886848,-0.454692625723464,-0.488233571000394,-0.0815588819572251,0.0655995423516513,0.0350292233598519,0,0,0,0,0,0,0.252909602090161
BV010082.INDEX,0,0,0,0,0.0352763745103323,-0.335956785739455,0,-0.068511084633014,0,0.121956530705168,0.288998095551776,-0.0229999942693243,0.00526900708195738,0.0211760530866162,0,0,0.0815646099971747,0,0,-0.0615285824504253
CVIX.INDEX,0,0,0,0,-0.0433503998964049,0,0.303026955875657,0.461277204935713,-0.248318894447043,0,-0.091577607845748,0.127290824140514,0,-0.11740273560263,-0.0350266785487317,0.652811924806573,0,0,0,0.11821659934264
DXY.INDEX,0,0,0,0,0.00492276350978858,-0.0399229234580701,0,0,-0.0166568407503883,0.0409779525827628,0,0.0213606311243823,-0.0104582974204886,0.00210566581134696,0,0.0720630279319157,-0.0112786232557521,0,0,-0.00636197951501396
SPX.INDEX,0,0,0,0.00852459058766573,0.00276995647191243,0,0.0133871213224282,0,0,0,0,0,-0.00590297051108305,0,-0.00178620369468781,0.0534654103809103,0.0177044153124959,0,0,-0.040720533037874
VIX.INDEX,0,0,0,-0.288982005242478,0.0295998105885989,0,0,0,0,0.107705312149298,0,-0.153469244831493,-0.145751404323409,0.0745376963710023,0.0449001023984626,-0.235436238632713,0.637467640663299,0,-6.01603557428625,0
