,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,XMR,NEO,DASH,BNB,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.106510744449315,0,0,0,0.0435005568529204,0.103836242109108,0.0607401333871416,0.0467193680677002,0,0,0.102096147487941,0.0372579172449394,0,0,0,0,0
ETH,0,0,0.21938817403427,0.182781401200173,0.0333739367737983,0,0,0.114167790929244,0.0817708723868486,0.0492214020836389,0,0.0164021791262969,0,0.104984926763845,0.0544733503267134,0,0,0,0,0
XRP,0,0,0,0.134601707826608,0.00397115533309571,0,0.0720310603033927,0.204052295172783,0.0589523724488442,0.190005539168887,0,0,0,0,0,0,0,0,0,0
BCH,0,0.474747519236854,0,0,0.0854127402061996,0,0.110357379154227,0.0704698962682263,0.019825903475984,0,0,0.0682510239694797,0,0,0.0509451315844425,0,0,0,0,-0.0150807838949462
EOS,0,0,0,0.102280700824651,0,0,0,0.389149328241807,-0.109021008224349,0.15072016191535,0.62430254468764,0,-0.25453701378798,0.245419777709656,0.0736695982445974,0,0,0,0,0
LTC,0,0,0,0.239669139316394,0.0875784865728352,0,0.0781903919003362,0.112556125923302,0,0,0.108160085604814,0,0,0,0.0402115834362994,0,0,0,0,-0.001812730289498
XLM,0,0,0.00249993159275066,0.132277321474632,0.152804941257256,0,0,0.162385804339044,0.0795915612008229,0.0728319141858754,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0.154762666181644,0.10890350848126,0.11123679407707,0.0572805568504898,0,0.128269858496707,0.20419198418909,0.00982822412195738,0,0,0.0627810968634354,0,0,0,0,0,0
MIOTA,0.478212913653945,0.0991689298045244,0,-0.0977731788727296,0.00561304821463227,0,0.457475245600838,0.177951889401611,0,0.0753203756588113,0,0,0,0,0,0,0,0,0,0
TRX,0,0,0.166124894932264,0.204785868756044,0.33341595638759,0,0,0,0,0,0,0,0,0,0.0666342551114924,0,0,0,0,0
XMR,0,0.15122460591714,0.475426817823248,0.0795619526917486,0.0177738877855487,0.0690474552749359,0,0,0.0284415248921713,0.110950561773876,0,-0.0477617872658818,0,0,0,0,-0.391709251303047,0,0,0
NEO,0,0,0,0.0804076573605838,0.0915427226035998,0,0.181756794328528,0.0777987510220331,0.0944475447292809,0.0816330596534682,0,0,0.258235657980254,0.0204235719084739,0,0,0,0,0,0.0233246693357424
DASH,0,0.25957434836311,0,0.0492786984557941,0,0,0,0,0.0145274175341091,0,0,0.181607600479762,0,0,0,0,0,0,0,-0.00686596169095147
BNB,0,0.237519404868134,0,0,0.0186672606333094,0,0,0.267153241224529,0.122754183511509,0,0,0,0,0,0,0,0,0,0,0
ETC,0,0,0,0.39023480476452,0.103166551391805,0,0,0,0.122456755801091,0.188268711615606,0,0,0,0.0560916498625992,0,0,0,0,0,0
BV010082.INDEX,0.0668740216757927,0.120378190247373,-0.115294357206753,0,-0.126480682274656,0.0261250377679355,0,0,0,0,0.103126730755626,0,0.0089067691141773,0,-0.082915772654861,0,0,0,0,-0.252514165899983
CVIX.INDEX,0,0,0,0.147873345594429,0.0286216297526523,0.106979330243012,-0.0911245525209909,-0.0561215495371182,0.0677773397191651,0,0,0,-0.176477587143268,-0.0803804281011904,0.0630186120484416,0.176231817764743,0,0,0,0.118958903535981
DXY.INDEX,0,-0.0122662175177483,0,0.0130170901173217,0.00724418255895537,0,-0.00630112883330202,0,-0.0120857053210636,0.013098889255492,0,0,-0.00311115672709144,0,0.0116322389418254,-0.0658916807120232,0.0146518717228359,0,0,0.00313960899281751
SPX.INDEX,0,0,0,0.0139968373213489,0,-0.0212250068396632,0,-0.00189932583992031,-0.0143062043540937,0.0131538662044123,0,0,0,0.00654225633282714,0.00222996789430634,0,0,0,0,-0.0611837441092633
VIX.INDEX,0,0,0,0,-0.300700227576073,0,-0.143184400666876,0,0,0.125524512626622,-0.118449466027685,0.513240006049474,0,-0.148453583219149,0,-1.03695122090632,0,0,0,0
