,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,NEO,XMR,DASH,BNB,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0494376917800708,0,0,0,0,0.0641872996157777,0,0.190431482920613,0.0796777620974955,0,0,0,0.0302726445384277,0.0887861338117713,0,0,0,0,0
ETH,0,0,0.263972603939129,0.0847720857053542,0.0101255697828962,0,0,0.0942358061586345,0.145342486928451,0.0802950246031548,0.0399019952518265,0.00833304048994639,0,0.0672872666399717,0.0854365790890023,0,0,0,0,0
XRP,0,0.162302666826539,0,0.164453956687984,0,0,0.0930317186445421,0.111257712327248,0.0998765701086923,0.0522207694867956,0.0612859308586839,0,0,0,0,0,0,0,0,0
BCH,0,0.243261749799185,0.180054947849251,0,0,0,0.148684584484867,0.121974271975025,0.118992630963353,-0.0449086793261192,0,0.0487558985054279,0,0,0.0767944457417289,0,0,0,0,0
EOS,0,-0.0218320475865261,0,0.110736247596406,0,0,0,0.387514800408074,-0.109407701631058,0.154987687070004,0,0.622850296577513,-0.241874558452559,0.247807234252074,0.0731493808755072,0,0,0,0,0
LTC,0,0,0.329219060572455,0.11957085427739,0.0543574991272175,0,0,0,0.00508951298245375,0,0.0680673053679999,0,0.122225701046993,0.10337583998276,0.0481438133142064,0,0,0,0,0
XLM,0,0.198672958508349,0,0,0.138799548812631,0,0,0.337744545109514,0.0178859969506035,-0.00000000000000000173472347597681,0.12670266444249,0,0,0,0,0,0,0,0,-0.0116347335480301
ADA,0,0,0.0781140608466205,0,0.0972454422514342,0,0.242223668805086,0,0.18219647780423,0.161819582181692,0,0,0,0.0560987869546544,0.0612230035758794,0,0,0,0,0
MIOTA,0,0,0,0.0629914786605372,0,0,0.315731451849047,0.360912039005717,0,0,0.159927694239047,0,0,0,0.0263302819453763,0,0,0,0,0
TRX,0,0,0.260236105206075,0.0536402437256793,0.212589340790151,0,0.26154212328153,0,-0.101872959750042,0,0.0000000000000000138777878078145,0.207443149160076,0.111113737615838,0,0.0811866638623561,0,0,0,0,0
NEO,0,0.0052094742759939,0,0,0.0053058616436281,0,0.131277759882027,0.1584211762522,0.205426793165549,0,0,0,0.0917120072804187,0.154563138654702,0.00235085560478966,0,0,0,0,0
XMR,0,0,0.42103286422345,0.0137609510885557,0,0,0.00988372871797218,0.162699005435112,0.0622614983072796,0.0432565688368865,0.0180948244986855,0,0,0,0,0,0,0,0,0
DASH,0,0.149254540320549,0.166588653149742,0,0,0,0,0,0.101393108814664,0,0.196686521261716,0.015440177900702,0,0.0484648172808233,0.0347980953981694,0,0,0,0,-0.0291539741641707
BNB,0,0.124295691531307,0,0,0,0,0.0869376221923596,0.175913224076078,0.234601699139938,0,0,0,0,0,0.0440758316358226,0,0,0,0,0
ETC,0,0,0.450178543202222,0.120677310318982,0.123195815088794,0,0.0510080856510025,0,0.144625185288008,0,-0.00000000000000000173472347597681,0,0,0.137602440485005,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.0367068588288993,0.0964090732842278,-0.0874533335325671,0,0,0.0511298909983014,0,0.0990720700843794,0,-0.0417530861065192,0,0,0,0,0,-0.27716275617197
CVIX.INDEX,0.153191759033253,0.0822416978825806,0.0729842487050584,0.181537719209873,0.00290084737779095,0,-0.0532770207123802,-0.0789123340245345,0.0601473250569565,0,0.0760584582333322,-0.149455215906442,-0.291806747514404,-0.0393283935791759,0.0435779890202847,0.377637127883986,0,0,0,0.167183846468556
DXY.INDEX,0,-0.00216065080263524,0,0,0.00504613559213851,0,0,0,-0.0120538930497383,0.00940787650724392,0,0,0,-0.0047767932058116,0.0166615103853573,-0.0708727720762662,0.0231785368125349,0,0,0.00205039287741229
SPX.INDEX,0,0,0,0,-0.00625264276204522,0,0.00438214869517046,0,-0.0157085235386113,0,0,0.0105165054709577,0,0,0.0194793967988994,0,0,0,0,-0.080013651292378
VIX.INDEX,0,0,0,-0.383168444167068,-0.259205915579771,0.838780502771214,-0.17581480736955,0.0429936816791437,-0.00907620408607021,0.0780590857187606,0.328483571779406,0,0,-0.122885444640603,0,-1.00236367350763,0,0,-0.798300031807538,0
