,BTC,ETH,XRP,ETC,LTC,DASH,XEM,DOGE,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.00649853970523126,-0.0662500792936418,-0.0296315223137596,0.509321923431631,0,0.0693974697045828,0.0468374658766018,0.149835227296925,-0.0180730658064462,0.039337950095998,0,0,0,0,-0.013096681371363
ETH,0.815688971468231,0,0,-0.313316783029841,0,0.885453362678552,0,0.167756423184094,-1.15121872311874,0,0.393981012251874,0,-0.130657235260617,0,0,0.164281883204041
XRP,0,-0.0393565210178547,0,-0.00745911317244073,0,0.116152701902664,0.00628291893643725,0,0.0395916084275125,0.0823218920991831,0,0,0.216208189536983,0,0,0
ETC,0,-0.228865024289719,0,0,0,0,0,0,-0.364413466563765,0,0,0,0,0,0,0
LTC,0.90181188204298,-0.0546525469555501,0,0,0,0.133757240351753,-0.0693247271210871,0,0.0163918421334287,0.102776601151056,0,-0.268111451376204,0,0,0,-0.0824692173864114
DASH,0,0.0586418103510621,0,0,0.0939517685755645,0,0,0,0.108562392658658,0.019960058212319,0.078971350548758,0,0.114709038682798,0,0,-0.0198874716301807
XEM,1.25699425177763,0.00336041799012227,0.330505244538768,0.0431882603983038,0,0.0000000000000000138777878078145,0,0,0,0.52290756990628,0.261740048646083,0.776965627301192,0.0992104638078634,0,0,0.308267324213279
DOGE,0,0.081805648220799,0,0,0.466377311771811,0,-0.0678813754289952,0,0.177606852140445,0.041886628456778,0,0,-0.0409458545242439,0,0,0
XMR,1.15448320294357,-0.191225829899454,0,-0.0884727590917207,-0.26484880998447,0.0878784123067119,-0.103989020294311,0.096119472833777,0,0.0380449295736414,0.155396676442479,0.220203849550539,0,0,0,-0.0429450979515437
XLM,0.0104432510269603,-0.00000000000000000693889390390723,0,-0.0522567612971815,0.126004105251386,0.092868474367834,0.180000924170863,0,0,0,0,0.896936442916332,-0.297343845331605,0,0,0.290543783457707
DGB,-0.339656658488699,0.603520812989427,0,0.114853416047184,0.117877496915625,0.382432181449788,0.0864508644640952,-0.25915644957709,0.120823803218289,0.186113224832459,0,0,0.510733469067618,0,-3.27074045931939,-0.383268244701124
BV010082.INDEX,-0.206633155115658,-0.0228853989748891,-0.0959390923535867,0.0254286038138388,0,-0.00524683449047871,0.0205905161021944,-0.0367505268541061,0.0424736683219696,0.0456029941142194,0.0287979744386682,0,0.122620969684615,0,1.3832596351734,0
CVIX.INDEX,0,-0.156824879851371,0.0856001938656617,0.0114884502592701,0,0.358154758344862,-0.0442776846533326,0,0,0.0900915515591956,-0.0192442265564997,0,0,0,0,0.145120626106487
DXY.INDEX,0,-0.00334674748693797,0,0.0000551929126168407,0,0.0249579598146007,-0.00321910256434701,-0.0234533012949384,0,0,-0.00832017314929137,0,0.043012187474257,0,0,0
SPX.INDEX,0,0,0,0,0,0,-0.00754429883940012,0,0,0.0174092562675199,0,0.00827706696666394,0,0,0,-0.0831551424550514
VIX.INDEX,0.173166890565606,0.348135695780051,-0.258615456429246,0.135018337520226,-0.203630733934814,0.323560385610167,-0.166020500672484,-0.481072158186479,0.0452334444652017,0.536742970842225,-0.395976409687562,0,0.763952982676152,0,-2.82283034962737,0
