,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,EOS,XTZ,TAGZ5,LINK,LEO,XMR,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0101763681224699,0,0,0.0397060868693476,0,0.247766237003454,0.0757872614368033,0.131726517663957,0,0.0850683287019003,0,0.0207815811870367,0,0,0,0,0,0
INNBCL,0,0,20.6190651620641,0,0,2.45831873645855,9.45373659176544,0,-8.90716538766232,0,2.70333125673269,-6.5873781802161,-19.869485159437,-22.8455208462951,1.21410896125933,-10.2836062702717,0.916026212305613,0,11.0997491431189,0
ETH,0,0.00202015287059178,0,0,0.18184674589818,0.0394611911466799,0,0.00450047609555645,0.223185965869576,0.280869970264975,0,0.008203490123391,0,0.242683054870887,0,0,0,0,0,0
XRP,0,0,0.0821442766465449,0,0.179696582164138,0,0.181777890506821,0.104594919926721,0.0777884385982345,0.0855525829504143,0,0.0105596797167009,0,0,0,0,0,0,0,0
BCH,0,-0.00260598964850863,0.407760561771397,0,0,0.204931558883519,0,0,0.0831594439074942,0.038274713706467,0.0122205647020177,0,0,0.157003719746973,0,0,0,0,0,0
BSV,0,-0.00441480659375201,0,0,0.302613844112111,0,0.00000000000000000346944695195361,0.175323738363946,0.315429711780555,0,-0.0264811165643723,0,0,0.245696665334736,0,0,0.110048669759596,0,0,-0.043553723653789
LTC,0,0,0.0138532426748812,0.236684172689264,0.0739214756621587,0.0982293636518106,0,0.0146451785090175,0.313887096685286,0.104910834836818,0,0,0,0.0445925433018271,0,0,0.0364915204907004,0,0,0
BNB,0,-0.00629157541367498,0.278504040261461,0,0.32562066018386,0.0935873098234804,0,0,0,0.134992727315649,0,0.0111256370148513,0,0,0,0,0,0,0,0
EOS,0,0,0.248276686481209,0,0.499545753326472,0.114801412595207,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XTZ,0,-0.0000114778464290981,0.104142165758441,0,0,0.234416540149131,0,0.131377987929164,0,0,0,0.473216376421167,0,0,0,0,0,0,0,0
TAGZ5,0,0,0,0,0.598229466219524,0,0,0,0,0.0751364313832163,0,0,0,0,0,0,0,0,0,0.0783595591514745
LINK,0,-0.00392994467635031,0,0,0.110069353833403,0.205262548192573,0,0,0,0.664554614310843,-0.00401368639607904,0,0,0,0,0,0,0,0,0
LEO,0,0.00493460926230858,0,0,-0.100699821070618,0,-0.051962093034901,0,0,0.0895891674805954,-0.0209454239966257,0,0,0,0,-0.0422037802393745,0,0,0,-0.0773432028566367
XMR,0.133981287121873,-0.00101890671578555,0.113784272353584,0.114641745487268,0,0.00166695641352193,0,0.0996846907809158,0.331126181072611,0.128443812361256,0,0,0,0,0,0,0,0,0,0
XLM,0,-0.00341421014410824,0.0587142996247402,0,0.290490771042554,-0.00000000000000000693889390390723,0.0988763934963903,0,0.0752190843037604,0.0699746682633439,0,0,0,0.142596820235005,0,0,0,0,0,0
BV010082.INDEX,0,-0.016774967725263,0.359787690652125,0,0,0.486851888992311,0.433696903701845,-0.52153529337633,-1.15282979927207,-0.830103968927137,0.258504094501306,0.371308518041533,0,0,0.746312037738161,0,0,0,0.401917565632452,0
CVIX.INDEX,0,-0.00533803160827107,0,-0.323144016243087,-0.0699642531608536,0,0.426113554020357,-0.430359156250609,0,0.374018950238499,-0.18680435521085,0,0,-0.109582169430207,0,0.315176914300948,0,0,-0.451164237904556,0.354305484304005
DXY.INDEX,0.0890464255354195,0.0000802116105809535,0,-0.0781722777232169,0,0,0,0,0,0.00825713123513685,0,-0.0167662423195728,0,0,0,0,-0.0167265011519207,0,-0.0210612905962906,-0.0098526598606615
SPX.INDEX,0,0.0117768545359169,0,0,0,-0.069927498955276,0,0,0,0.0874722287066796,0,0,0,-0.0566111201987561,0,0.12557912180342,0,0,0,-0.303879921447915
VIX.INDEX,0,0.0313163112894347,0,0,0,-0.0655026738747238,0,0,0,0.372977799755141,0,-0.201039502251959,0,-0.414906426944215,0.127335936316857,0.0000000000000000138777878078145,-0.00494786228743111,0,-2.18512785205162,0
