,BTC,ETH,XRP,LTC,ETC,XEM,DASH,MIOTA,XMR,ZEC,NEO,XLM,DOGE,DGB,BAT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.166855730542655,0,0,0.0904425459948813,0,0.102647258192536,0,0,0.00113876303445088,0.0120950088481467,0.0532776347091225,0.0374965314972939,0,0,0,0,0
ETH,0,0,0,0,0.189565951081074,0.000000000000000000433680868994202,0,0.108183783919092,0.021315463590253,0.0543892834337425,0,-0.00507278452226767,0.0787221805397395,0.0154303219713247,0.176332351779445,0,0,0,0,0
XRP,0,-0.0516292030683945,0,0,-0.30663040764848,0,0.314396913756181,0,0.176689722455511,0.0564727937075126,0,0.291941741199073,0,0,0.0553086378116207,0,0,0,0,0.0197208044130159
LTC,0.48529352561233,-0.113592407813806,-0.17423871762807,0,0.000000000000000000867361737988404,0,0,0,0.0987117100578318,-0.0691011792439782,0.154454129227756,0,0.0976813060728792,0,0,0,0,0,0,0.016222255507567
ETC,0,0.251820825148639,-0.0749367114998031,0.154375989972988,0,0,0.0449109972180255,0,0.157686138288602,0.0640091233467347,0.0399742107061391,0.0227347094567724,0,-0.0490314099971522,0,0,0,0,0,0.00000000000000000173472347597681
XEM,0.399176155676351,0,0.136873094762746,0.0958047602074413,0,0,0,-0.102931685764639,0.0728157093759893,-0.0818832549475185,0.0523859814488532,0,0.172772206861236,-0.0392927918062039,0.0261664224844082,0,0,0,0,0
DASH,0,0.0529020908674728,0.0485864376401726,0,0,0,0,0,0.39360086624702,0,0.0756609754829574,0.0625279226163293,0.0320064722572634,0,0.0301160732675137,0,0,0,0,0
MIOTA,0,0.0821461600919611,0,0,0,0.0498750391586442,0.208898441555735,0,0,0,0,0.0339026716962835,0,0.0563772860017175,0,0,0,0,0,0
XMR,0,0,-0.102467124228421,0.158485263873767,-0.164675783270257,0.216406626343279,0.599536926925357,0,0,0,-0.158854663549588,0.084400562962313,-0.0434883596129426,0.0167791397016816,0,0,0,0,0,0
ZEC,0,0.123335453691664,0,0.000596399799095974,0,0,0,0,0,0,0.0567278559936853,0,0.208085078103376,0.0121964877345227,0,0,0,0,0,0
NEO,0,0.330277905347008,0.0872457961653445,0.707877203008071,0.326217463721772,0,0.161521287662155,0,0,0.354736194217024,0,0,-0.098159900637504,0.0640190606637121,0,0,0,0,0,0
XLM,0,0,0.686069561828666,-0.368744316989242,0.198375239228697,0,0.186518444981689,0,0.499548788380839,-0.249994371037779,0.057905479613035,0,0.060585155901817,0.0402237217722915,0.161760113711498,0,0,0,0,0.0969937021309531
DOGE,0,0.00687380430173313,0,0,0.194527868132844,0.308862136833643,0.145493571582953,0,0,0.267089087789171,0.0396115974323511,0.106614653571549,0,0.0528201979891686,0,0,0,0,0,0
DGB,0,-0.564518103379847,0.221511606311394,-0.178804190967184,0,-0.227117496773514,0.0126064204267013,0,0.564582150746302,-0.23881870265288,0.201824496346674,-0.190692259989136,0.703990744430179,0,0.413327215574045,0,0,0,0,0
BAT,0,0,0.17836518604488,-0.0936194174965192,0,0,0,0,0,0,0,0.0361000443584607,0.136087172139447,0.0347176896505031,0,0,0,0,0,0
BV010082.INDEX,0,0,0,-0.0224474851334922,0,-0.00918400154719988,0,0,0,0.0135921822607197,0,0.0222047160457881,0,0.0102447803494825,0,0,0,0,0,-0.0309338632115449
CVIX.INDEX,0,-0.0888782901196954,-0.00525804074472219,-0.104091450758553,-0.00663089325619019,0.0498184982214467,-0.000000000000000000433680868994202,-0.0613692282892027,0.0933260561438082,0,0.0430774130146265,-0.00895844527848953,0.0787659878644022,-0.0081477274367359,0,-0.113394147661218,0,0,0,0.114173088384021
DXY.INDEX,0,0.00546050097617442,0,-0.00645231894293456,0.00971409488546164,0,0,0,-0.000406192724059258,0.00717665123161759,0,0.00387342298437308,-0.0174927811812799,-0.00182483208741077,0,0,0,0,0,-0.00370336475511925
SPX.INDEX,0,0,0.00270683254924276,-0.00486988377324647,0.0112684942411594,0.00126420435338292,0,-0.00411216307647567,-0.000776185433359159,0.00483849841093362,-0.00256598138447148,0,-0.00536656239361299,0.00304592665548372,0,0,0,0,0,-0.04361860888873
VIX.INDEX,0,-0.0477951162331782,0.0711661188540791,-0.0105011609182189,0,0,0.306332675872462,0,-0.153127438178884,-0.1077882801473,-0.0179863998937337,0.00810124211335271,0.070802225361733,-0.0254972390854108,0.113349084592342,0,0,0,0,0
