,BTC,ETH,BCH,XRP,MIOTA,LTC,XEM,DASH,NEO,ETC,XMR,ZEC,EOS,BAT,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.132580305932112,0,0.108560729285627,0.0474762557683475,0.0140150924986655,0.160249964669362,0,0.0461019643349348,0,0,0.0665665093066316,0.0195765812905077,0.0975533012141931,0,0,0,0,0
ETH,0,0,0,0.146974173461713,0.0609456112373767,0,0,0.119717581586164,0,0.191979028834096,0,0.0496769310652014,0.0263820229231671,0.187193872612988,0,0,0,0,0,0
BCH,0,0,0,0,-0.486629152671139,0,0,0.473856565315593,-0.246354868248305,0,0.132627826257545,0.14702259395384,0.0488446865473694,0,0.248789850093511,0,0,0,0,0
XRP,0,0.292646332838537,0,0,0.0138273962098497,0,0.175460822515493,0,-0.0160089993203674,0,0.0383952748371031,0,0.0363038702567931,0.127644465022215,0,0,0,0,0,0
MIOTA,0,0,-0.141079746567821,0,0,0.0909253114860333,0.259403946608616,0.473247812518851,0,0,0.119368967816205,0.248630863156706,0,0.026882015001588,0.223966619122964,0,0,0,0,-0.108907431307895
LTC,0,0.0899690293562319,0,0,0.0613607365022815,0,0,0,0.0336902997788258,0.05498270940911,0,0,0.0923709057643908,0,0,0,0,0,0,0
XEM,0,0,0,0.367972057892523,0,0,0,0,0.0188261657582987,0,0.302406686977088,0,0,0.0878696521640601,-0.0162658273164176,0,0,0,0,0
DASH,0,0.146688748224367,0,0,0,0,0.129623711972613,0,0.0634361423437548,0.108504859899333,0.226651189386378,0,0.0475483307275993,0,0,0,0,0,0,0
NEO,0,0.343810830794316,-0.0484708529522243,-0.248602306187446,0.0849048231116793,0,0.280641012791957,0,0,0,0.284922575498882,0,0.0386614783267792,0,-0.0292903081127197,-0.415291343394732,0,0,0,-0.0933090275826437
ETC,0,0.26454137242102,0,0,0.0755241712272458,0.18409010361248,0,0,0.00190530777096222,0,0,0,0.0205072431904734,0,0,0,0,0,0,0
XMR,0,0.162865408026489,0.0389195237261879,0.130126660280929,0.00861690499493391,0,0.146176504993308,0.0818439285921851,0.000000000000000000867361737988404,0,0,0.207638175972756,0.0448339176451674,0.0520124003886385,0,0,0,0,0,0
ZEC,0,0.0345091867734668,0,0,0.224098813570023,0,0,0,0,0,0.228730826627283,0,0.045929721814637,0.0553413438701222,-0.0314046795313763,0,0,0,0,0
EOS,0,0.351669243099513,0,0,0.0373499017625412,0,0,0,0.0983795874115651,0,0,0.338936562145219,0,0,0.0908586225262339,0,0,0,0,0.060850648953374
BAT,0,0.329069818647339,-0.115733461309739,0,0,0,0.318379961660838,0,-0.0303979987578159,0,0,0.259562821614671,-0.0391849733071989,0,0,0,0,0,0,-0.115177912103501
BNB,0,0,-0.044019132268179,0,0.0514984281361135,0.155985432511162,0,-0.271102661147029,0,0,0,0,0.0328866037509425,0,0,0,0,0,0,0.310058100872616
BV010082.INDEX,0,0,0.00397956485401569,0,-0.0127559982310895,0,0,0,0.00122111857716103,-0.0194294342928052,-0.00634400261655731,0.0367996468082665,-0.00576790314445948,0.0192263851687047,-0.0259799063433291,0,0,0,0,0
CVIX.INDEX,0,0,0.0181183745359883,0,0.0637072957625786,0,-0.0162666529785011,0,0.0226737361257969,0,0,-0.124848377197041,0.0218098759482626,0,-0.00425501540257297,0,0,0,0,0.0653956056469659
DXY.INDEX,0.0202002390462352,-0.0264483224184827,0,0,0.0119034651521156,0.0149118913218767,-0.00595390781424934,0.00450475449217007,-0.00752665317065517,0.00649687301665577,0,0,0.00472906867407278,0,0.00155791176835311,0,-0.0319169228642809,0,0,-0.00492118630155835
SPX.INDEX,0,0,0.0000763578054090716,0.00689527937814034,0.000335292464244169,0,0.00110402043334717,-0.019530154472804,-0.000068482725048283,0,0,0,0.000795928110370712,0,0.00141906368496333,0,0,0,0,-0.0542425441895158
VIX.INDEX,0,0,-0.00264576294615296,0,0,0,0.097200979148422,-0.124372656505405,-0.0292572561070102,0,0,0,0.0454136877842653,0,0.0867459047143058,0,0,0,0,0
