,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,MIOTA,XMR,TRX,DASH,ETC,NEO,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.20848031956696,-0.0181163095105661,0,0,0,0.0184273155006376,0,0,0.172055647123451,0.130892013709518,0,0.0234585219402075,0,-0.0242249555045128,0,0,0,0,0.00314278299643398
ETH,0.103257804028995,0,0,0.192211891948237,0.101678898667491,-0.0753060484828066,0.00436750173782301,0,0,0,0.0344889966971063,0,0.243581563913566,0.14182043490779,0.14965783010801,0,0,0,0,0
XRP,0,0,0,0.177940987597969,0.164298282117044,0,0,0,0.238014918039382,0,0,0,0.163141610881415,0,0,0,0,0,0,0
BCH,0,0,0,0,0.314978320661626,0,0.0220244448392504,0.174500258875465,0,0,0.034357188444036,0.00265650128259068,0.0400227370734535,0.121226545191059,0,0,0,0,0,0
EOS,0,0,0,0.203336082963985,0,0.00621302787542967,0,0,0,0.0947918902674818,0.424764433885403,0,0,0.251120614502885,0,0,0,0,0,0
XLM,0.156259577978823,0,0,0.0806170776534333,0,0,0,0.274698169913786,0.0295416600503826,0.189700648240472,0.0450318553113543,0,0,0.173907750643276,0,0,-0.0959810277550989,0,0,0
LTC,0,0,0,0.295034953412178,0.129626494205974,0,0,0,0.178105382339439,0,0.00472513555603252,0.0586311908372338,0,0,0,0,0,0,0,0
ADA,0,0,0,0.272501136252382,0,0.373746762229375,0,0,0.036872265208047,0,0.0652366894166818,0.188761615554954,0,0,0.0697738345471148,0,0,0,0,-0.0478132576419239
MIOTA,0.0738408530115568,0,0.147455138107999,0,0,0.1075337833455,0.202579423983784,-0.119963028017715,0,0,0.113097869234793,0,-0.0882895064136416,0.659518468009599,0,0,-0.087322847466352,0,0,0
XMR,0,0,0,0,0.159851185654503,0,0,0.188116201459008,0,0,0,0,0.0914078443716209,0.228841714305297,0,0,0,0,0,0
TRX,0,0.186655758406236,0,0.0555469577382798,0.0900010240081379,0,0,0.128090297181939,0,0,0,0.0982113188983434,0,0.234183275423409,0.165876190407356,0,0,0,0,0
DASH,0,0.0296018291414437,0,0,0,0,0,0.254346449243785,0,0,0.362624052708397,0,0.064083518494917,0.0468398009798283,0.0508242696713711,0,0,0,0,0
ETC,0,0.17231510453969,0,0,0,0.155090180307092,0,0,0.355667008151488,0,0,-0.115813922661683,0,0,0,0,0,0,0,0.0212570088836229
NEO,0,0.354262271242955,0,0.0288604190208094,0.0297467758219735,0,0,0.109817477300496,0.222964087035404,0.0299672482058916,0.289076773423383,0.0129448615262873,0,0,0,0,0,0,0,0
BNB,0,0.230013862883326,0,0,0,-0.104491238715848,0,0,0.207510615093842,0.100368168268517,0,0.282560413792875,0,0,0,0,0,0,0,0
BV010082.INDEX,0.0532232489435408,0,0.0427998204624553,0,0,-0.00322429047946904,-0.269216383445046,0.0910028343845711,0.00889564006668645,0,0,0.0326408352772806,0.0309608033424603,0,0,0,-0.0218498664580028,0,0,-0.0493970416035924
CVIX.INDEX,0,0,0.0446498220184365,0,-0.0589662610752242,0,0,0,0,0,0,0,0.0601212972813175,0,0.249713600044064,0,0,0,0,0.124160094626299
DXY.INDEX,0,-0.0398136317871544,0.00180993745839821,-0.0260080571245249,-0.0021234775447525,0.0124105024493203,0,0,-0.00960565803657632,0.0170357626022033,0,0,0.0370236935626868,0.00383311019232084,0,0,0.129183731689307,0,0,0
SPX.INDEX,-0.0149708520975068,0,0,0,0,-0.00519592314176501,0,0.0109261532337703,0,0,0,0,0,-0.0107268793113274,-0.00524681886985323,0.0527070079474959,0.0360806315789205,0,0,-0.0618046936145943
VIX.INDEX,0.844880348115569,0,0,0,0,-0.138384732174032,0,0.152660391115063,0.00000000000000000346944695195361,-0.266464107861739,0,-0.31937528340551,-0.170257204228089,-0.0909946163619822,0.198380443191404,0,0.310198540765051,0,-2.15701436630147,0
