,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,NEO,XMR,DASH,XEM,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0527921755016755,0.0430274175445557,0.0274122059415589,-0.000000000000000000433680868994202,0,0.0711117313792628,0,0.116735575277127,0,0,0.0122399004249101,0,0.130649674792319,0.0461357376537687,0,0,0,0,0
ETH,0,0,0.30748910454263,0.0883684312900158,0.0178720669036372,0,0,0.0501127208751293,0.0937217962976716,0.0792824871768984,0,0,0,0.134951529088536,0.154370176398765,0,0,0,0,0
XRP,0,0.111541880242756,0,0.0000000000000000138777878078145,0,0,0.172140335771606,0.105724380694571,0.0265627936019907,0,0.110769880395378,0.175591313079406,0,0.0634328944557772,0,0,0,0,0,0
BCH,0,0.175792729561152,0.0164860261207747,0,0.0410944776165565,0,0,0.139595493471046,0.208643380121492,0,0,0,0,0.201090159813488,0,0,0,0,0,0
EOS,0,-0.184142059615205,0.572896138443014,0.582941444877419,0,0,0,0,0,0.0403617060048288,0.185714927349787,0.335912292578142,-1.02503145085531,0,0.462477027094568,0,0,0,0,0
LTC,0,0.0251420317830778,0.238516406330348,0.0505517658332348,0,0,0,0.0771507321646219,0.0389646388427347,0,0.127336202034289,0.0811941932588779,0,0.0534253671665562,0,0,0,0,0,-0.00276594741735956
XLM,0,0,0.111175106081301,0.127220902788758,0.155949631245553,0,0,0.15125058044303,0.0452606824424935,0,0.102586961251581,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0,0.0934147036606141,0,0,0,0.245232216759704,0.0960638849132803,0.208457738573839,0.137604458801418,0,0,0,0,0,0,0,0
MIOTA,0,0,0.301807127476331,0,0,0,0.291835315395571,0.229536779028585,0,0,0.119727678409309,0,0,0,0,0,0,0,0,0.0207869253566667
TRX,0,0,0,0.360830499516826,0.000000000000000000216840434497101,0,0.381757559290753,0.00000000000000000693889390390723,-0.0622524746952974,0,0,0.350907402048331,0,0,0,0,0,0,0,0.0646623475111916
NEO,0,0,0,0.0526132391352464,0.0145913040983453,0.118920795117215,0.24612988148511,0.00432760173736283,0.147516813762149,0.0094120232506238,0,0.132851049962963,0.0865118438288447,0,0,0,0,0,0,0
XMR,0,0,0.268909049036364,0.0371242008470083,0,0,0,0.127885195810755,0,0,0,0,0.23313832173359,0.0614854853350504,0.0642784746028304,0,0,0,0,0
DASH,0,0,0.227652685080854,0.0144924534714791,0,0.0318467602248188,0,0,0.119041986054664,0,0.165983585632021,0.0202480645686954,0,0.137448906345508,0,0,0,0,0,-0.0520550480633139
XEM,0,0.121229759057647,0.17234625373725,0.0961170025591406,-0.00000000000000000173472347597681,0,0.322881008991023,0.0315654177033916,0,0,0,0,0,0,0,0,0,0,0,0
BNB,0,0.292052867910013,0.0997026262922742,0,0.00316711942563121,0.291329534044917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.00246625843311159,-0.0262995605079773,0.0647617371069926,-0.13590292476977,0,0.0770727697464107,0.044839025350461,0,0.037510118043248,0,0,-0.0165626044514221,0,0,0,0,-0.290862999012792
CVIX.INDEX,0,0,0,0,0.0453217050332454,0.120642338719827,-0.0543190889595219,-0.18461114624722,0.118405439964771,0.114761161335947,0.0283249836812,-0.0331077990917797,-0.185647918003581,0.0660397428771455,0.0511465735389132,0,0,0,0,0.0852518805887087
DXY.INDEX,0,0,0.0141260546105107,0.00174502033710506,0.00255559344517653,0,-0.0264025648978298,0,-0.00679737874833878,0.00773387166647233,0,0.0322873028556617,0,0,0,-0.023385890770613,0,0,0,0.0176164246729215
SPX.INDEX,0,0,0.015983413993949,0,-0.00189990734651313,0,0.0173701550841999,-0.0214958488971379,-0.0121898702135904,0,0,0,0,0,0.00817101382098202,0,0,0,0,-0.0881804722011661
VIX.INDEX,0,0,0.248755270967489,0,-0.277839668864132,0,-0.216307263536738,0.111066307233726,0.0382962177555635,0,0.180122339410136,-0.102613231031619,0,0,-0.0574017704529176,-1.42115665138601,-0.373468087249849,0,0,0
