,BTC,XRP,LTC,DOGE,DASH,XLM,XMR,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0957190978784204,0.657527200791588,0.137421217595399,0,0.0951050213762089,0.0104643615906382,0,0,0,0,0
XRP,0.094504206683315,0,0,0.208264888734271,0.138947145967723,0.187380045895887,0.0817524867555411,0,0,0,0,0,0
LTC,0.65416298853286,0,0,0,0.0234990365599271,0,0.157453693671776,0.1321535963174,0,0,0,0,0
DOGE,0.322774662502499,0.207911753817744,0.121634141082988,0,0.0144691952077774,0.0206763609683287,0.079369543665765,-0.0219926733413063,0,0.084144091369666,0,0,0
DASH,0.695514325581626,0,0.255633427663816,0,0,0.185509609520482,-0.142063592118074,0.0576678632646619,0,0.154082325174534,0,0,0
XLM,0.691659895597173,0.456528178658062,-0.00249570760949287,0,0.082594718058645,0,-0.155736095461704,-0.0446586474319671,0,-0.20063251920196,1.95611157734688,0,-0.0308749942698484
XMR,0.9833565232068,0,0.0250367543856759,0,0,-0.29352569084444,0,0.0464700542304397,0,0,0,0,0
DGB,0,0,0,0.572051473527114,-0.296609691147887,0.278956894535745,0.325646169924511,0,0,0.586305280582527,0,0,-0.148977612379936
BV010082.INDEX,0,0,0.0292698398232835,0,0.0131955100909493,0,-0.0667482395396664,-0.0030742098533849,0,-0.0256803636454208,0,0,-0.0297773566820147
CVIX.INDEX,0,-0.152389408050112,0.0340263316940293,-0.248886483802039,0.145818435572233,0.0917159632228325,0,0.110144327462882,0,0,0,0,0.00527152784693112
DXY.INDEX,0.038442593385562,-0.0307232410024733,0.00552768750995562,0.021240398304405,-0.0171909564978911,-0.0246121115177964,0.0173752417847366,0,0.0971427003471192,0.00794740060036587,0,0,0.0278244533512542
SPX.INDEX,0,0.0205189899622307,0.00132479854665264,0,0.0158986862686945,0.00181711519574122,-0.0233536140864943,-0.00450751798969112,0,-0.000000000000000000433680868994202,0,0,-0.095570234176324
VIX.INDEX,0,0,0.0704498187451832,0.159355198001849,0.0631286767194494,0,-0.285340629212905,0,0,0,0,-6.12560968104746,0
