,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,ADA,XLM,LINK,XMR,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.110275481072587,0,0.11130289124008,0.0738806896032806,0,0.0197294915246234,0.0797016806468959,0,0,0.0500493063461462,0,0,0,0,0,0,0
ETH,0,0,0.0362380440701326,0,0,0,0.235736364422378,0,0,0,0,0.0568902569877127,0.104683572697287,0.197697344006742,0,0,0,0,0,0
XRP,0,0.0353619953952485,0,0.152184603961611,0,0,0.0858225911695473,0,0.00504599494325856,0,0.0534346803309806,0,0.0389814361536516,0.203603708128991,0,0,0,0,0,0
BCH,0,0.0912037994420897,0,0,0.223616566920043,0.14932677763372,0,0.0174800711825528,0,0,0.132216371268048,0,0.0643474453737409,0,0.180097277980727,0,0,0,0,0
BSV,0,0,0,1.30490300625823,0,0,0.829121951091706,0,0,0,-1.11196016724944,0,-0.101851057616472,0,-0.489726696954109,0,0.693481980629072,0,0,-0.00991744246438605
LTC,0.194494822562078,0.304520472222263,0.0567456131912656,0.200280200678039,0.015209208336658,0,0.0419916143563296,0,0,0,0,0.0768716676158201,0.0508756924021088,0,0.0598416585197077,0,0,0,0,0
EOS,0,0,0.0915753997422678,0.00919446176933891,0.138621196109901,0.111463989452241,0,0.206805906881444,0,0.115654019864046,0,0,0,0.0966026728983095,0.155669410491738,0,0,0,0,0
BNB,0,0,0,0.162056065711707,0,0.0877004528040037,0.0070897366832478,0,0.0198883023499782,0.231723244933613,0.0462201708132213,0,0.0469408902522567,0.0825481916416568,0,0,0,0,0,0
XTZ,0,0,0,0,0.00000000000000000173472347597681,0,0.218508994703377,0.106314582728655,0,0,0,0.306119015780291,0,0,0,0,0,0,0,0.0225899066935158
ADA,0,0.123522432382685,0,0,0,0,0.28110216761646,0,0,0,0,0.0888613674262752,0.19908132746998,0.212775311182125,0,0,0,0,0,0
XLM,0,0,0.231504168337076,0.0993249859161414,0,0,0,0.0764458221939004,0,0,0,0,0.0224862932163738,0.140413961775665,0,0,0,0,0,0
LINK,0,0,0,0.152239539461842,0.00150136636180553,-0.000000000000000000867361737988404,0,0.0676181488445425,0.0714395369547784,0,0,0,0.0659214900912012,0.306951519328526,0.0901099471360266,0,0,0,0,0
XMR,0,0,0,0,-0.0321689955439423,0.18800364920858,0,0,0,0.30092572859807,0,0,0,0.270865123959369,0,0,0,0,0,0
TRX,0,0.151630602520934,0.237813947847068,0.0757236421343272,0,0,0.151309414719698,0,0,0.210277128040262,0,0,0,0,0.0719658692136586,0,0,0,0,0
ETC,0,0,0,0.557032335682741,0.0423742484669976,0,0,0,0.0671755686961965,0,0,0,0.230485656032173,0,0,0,0,0,0,0.212762984974158
BV010082.INDEX,0,0,0.0745511919433489,0,0.0330741166372693,-0.329381803290356,0,0,0,0,0.029950464409435,-0.0152820012599948,0,0.0906275273945503,0.0423280204412237,0,-0.0143116923544743,0,0,-0.102417603201851
CVIX.INDEX,0,0,0,0,0.0636101380827907,0,-0.148968145721198,-0.0775560641714403,0,0.308036709183305,0,-0.0624534396628131,0.153781790051046,-0.386021376305658,0.0170073571841345,0,0,0,0,0
DXY.INDEX,0,0.00550602168068592,0,0.00583282878279673,0.00271373542298324,-0.0342003764564714,0,0.00642613918987848,0,0,0.00997286207386673,0.0027617933847738,0,0,0,0,-0.0126682530483378,0,0,-0.00976775382964755
SPX.INDEX,0,0.0122544713658083,0,0.0146821724686976,0.0021990925543422,-0.0166313270244649,0,0.0266742439283539,0,0,0.0121553661337234,0,-0.022835003479291,0,0,0,0,0,0,-0.0778223595875217
VIX.INDEX,0,0.0753952411279412,0,-0.349077927285769,0.0113506270032285,0,0,0.240566308943478,0.158810589949793,0.0624440926494559,-0.567825172818577,0,-0.123220307736262,0.289844510204004,0.0871617689174652,-0.00000000000000000693889390390723,0,0,-5.39139656770908,0
