,BTC,ETH,XRP,LTC,DASH,DOGE,XLM,XEM,XMR,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0133061231965457,0,0.811954128014743,0.0371542954360125,0,0,0.035077781966583,0.0012262914319317,0.012447278887775,0,0,0,0,0
ETH,-0.420911702435228,0,0.172658009138897,0,0.00000000000000000693889390390723,-0.0641152718722371,-0.542870223052398,0.0399746075130876,0.180950740058483,0.0279677316582228,0,0.210449083384458,0,0,0.436909181968896
XRP,0,0.0459908767820112,0,0.211098804679115,0,0.0336609015185182,0.0444951484764456,-0.0149443150495169,0.00648634904034735,0.0653630884161137,0,0,0,0,-0.0730708285749606
LTC,0.764743275763031,-0.0129688562926618,0.0312485037616789,0,-0.0493219460731241,0.0348217275753942,0.00650864578035972,0.00887880043557148,0,0,0,0,0,0,-0.0146061745181153
DASH,1.01076083316562,-0.124731403071513,0.274147389197287,0,0,0.0112886200219942,-0.206101632356012,-0.0608222171308003,-0.200614900331138,0.0368372442100063,0,-0.513368174501072,0,-1.97351192394591,0
DOGE,0,0.309419131359399,0.385901447322242,1.4099937821917,0.199991358123034,0,0.761286145426844,0.0374509307370249,0,-0.20818563326072,0,-0.0361281564550004,0,0,0.197936266903281
XLM,-0.405800665363991,0,0.428951087822895,0,-0.0267374490644339,0.25791127526422,0,0.283906714323186,0.061607387793156,0,0,0.353496813851287,0,0,-0.11228447149361
XEM,0,0.0856808014556513,0.290845739480178,0,0,0,0,0,0.000000000000000000216840434497101,0.0955557022744604,0,0,0,0,-0.127719703395465
XMR,0,0.446897586645233,0,0,0,-0.0713858720367937,0.354713826943179,0,0,0.235043169279256,0,0,0,0,-0.12134484607099
DGB,0.723045582597835,0.0316261265107556,0,0,0,-0.488100496149953,0.493512557717321,0,-0.307470074314319,0,0,1.06064922335058,0,0,0.281353904812324
BV010082.INDEX,0,0,-0.0141966775536465,0,0,0.0463482438113983,0,0.0173184231833322,-0.0276325266355339,-0.00977375000019175,0,0,0,0,-0.0697034052040097
CVIX.INDEX,0,0.0152557702374852,0.0562218640186498,-0.114581212855514,0,-0.0390229345173089,0.0448300344321909,-0.0140830716745719,0.0452689015576733,0.0255012631286568,0,0,0,0,0.175073305383448
DXY.INDEX,0,0,0,0,0,-0.00574419184038797,0,-0.0144950577687461,0,0,0,0,0,0,-0.0210095182915412
SPX.INDEX,0.0296247330963594,0.00050326714085378,0,0,0,0,0.00458184590988144,-0.0170151536432579,0.0152540093545383,0,0,-0.0728108112195655,0,0,-0.125916714766744
VIX.INDEX,0,-0.173829622824121,0,0,0.200477428604869,0,0,0,-0.00802893458488366,0.0372570806914143,0,0.499549179511456,0,-2.30523527829155,0
