,BTC,ETH,XRP,ETC,XEM,LTC,DASH,XMR,ZEC,XLM,DOGE,DGB,BAT,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.0263064034560727,0.0249418150778535,-0.098715622324902,0,0.096020942324425,0.0680098252987207,0.141509287871026,0.0546684275078704,-0.0222227836413309,0.0485153090426874,0.0389762144245656,0.0464572894504201,0,0,-0.239200904497158,0,0,0
ETH,0.0503823267060547,0,-0.0158408271967256,0.176337230081935,-0.0401103268829752,0,0.0292781154076729,0.0856345318441795,0,-0.0220938754900739,0.124035758862514,0,0,0,0,0,0,0,0.0754676268055579
XRP,0,-0.226208585685381,0,-0.309272616357092,0.0111237259580162,0,0.465872586287503,0.125063510594751,0.0289653447612467,0.308806725731892,0,0,0,0,0,0,0,0,0
ETC,0,0,-0.235194870899227,0,0.124201422401704,0.013186564976571,0.0895736470971788,0,0.0698045428989855,0.0287468437935258,0,-0.0292960123889578,0,0.175076773318221,0,0,0,0,0.137112689988271
XEM,0.462780006413253,0,0.104518520687942,-0.330900785442346,0,0.0667617291409148,0,0.0948365690347909,0.00750427541378123,0,0.122657855145565,-0.0368591744476339,0,0.274149350178623,0,0,0,0,0
LTC,0.519221878979437,-0.0162526604100853,-0.0186863712039417,0,0.0711873030029134,0,0,0.122013397353241,-0.0435402670093707,0,0.106221190365671,0.0030087514559223,0,0.212464268398181,0,0,0,0,0
DASH,0,0.077421203598698,0.0600965376458752,0,0,0.0769625747210358,0,0.304437560452799,0.175568808856461,0.0511663733053349,0.000000000000000000216840434497101,-0.00403886001439098,0,0.000000000000000000216840434497101,0,0,0,0,0
XMR,0,0,0.00000000000000000173472347597681,0,0.087627055055766,0,0.465887291289886,0,0,0.0992107103451161,0,0,0,-0.13135646646025,0,0,0,0,0
ZEC,0,0.150895971569387,0,0,0,0,0.0966900831987887,0,0,-0.00476131718136608,0.197983970474493,0,0,0.0457965456221401,0,0,0,0,0
XLM,-0.402015708746935,0,0.662807690171966,0.261211609695596,0.0195618765390444,0,0.149533463753291,0.275217654033356,-0.179938719077325,0,0,0.0396544136069756,0,0,0,0,0,0,0
DOGE,0,0,0,0.077773247652936,0.306032879896158,0.0365994437330133,0.159955505595371,0,0.199301643471421,0.145448565281724,0,0.0441226741617789,0,0.119709344074659,0,0,0,0,0
DGB,0,-0.335356312831619,0.477649343048326,-0.355501275775564,-0.111380602881493,0,0,0.309261227682771,-0.270560974742633,-0.309313007704705,0.587615122919557,0,0.380096695506398,0.323855808704137,0,0,0,0,-0.0526866961021074
BAT,-0.537175774470175,0,0.127271808388057,0,0.167118980072321,0.159979507355173,-0.225731994409521,0,0,-0.0375031300877885,0.0960893737580622,0.0368470275817147,0,0,0,0,0,0,-0.157201378193237
NEO,0,0,0,0.114105125655953,0,0.474372638746048,0,0,0.394931058105837,0,0.0146170933557254,0.119501139443223,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.0179435095201979,0,-0.00228581437951929,-0.0369844778941242,0,0.0184351198949843,0.0190835923681044,-0.00817793619246166,0.00847834937260628,0,0.0127937999941866,0,0,0,0,-0.0558954365346321
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0.00481840586581129,0.031904836070522,0,0,0,0,0,0,0,0
DXY.INDEX,0,0.0196221377269903,0.00702768287254775,0.00787742212049344,-0.0125418517561961,-0.006692882185579,0,0.00582516518491466,0,0.00448847896125798,-0.00240174910315643,-0.00231914865143691,0,0,0,-0.00804594316566279,0,0,0.0110365800105941
SPX.INDEX,0.00364249604276609,0.00129629348657193,0.00417139752614849,0.0054147015725872,-0.0077557726171934,0,0,0.00505643221366883,-0.000631902020926865,0.00236020001116912,-0.000952784452551373,0.00405295734984992,0,-0.00332285078364436,0.0233612087870099,0,0,0,-0.030098641914322
VIX.INDEX,-0.247223960529811,-0.0445311669913149,0,0.0848246180540619,-0.117456987428618,0,0.217990790118715,-0.104260097245131,0.0448920114990668,0.0929474671162178,0,-0.178250018769781,0,-0.00276531164010865,-1.91970786033236,0,0,0,0
