,BTC,ETH,BCH,XRP,DASH,LTC,XMR,NEO,MIOTA,ETC,XEM,EOS,ZEC,ADA,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.0677575570796903,0,-0.0587854265392051,0.394740785518897,-0.0656093649606023,0.0409137236552721,-0.025358017185706,0,-0.168292550770514,0.0861573691840023,0,0,-0.0260705691093023,0,0,0,0,-0.180911152134265
ETH,0,0,0,0.146633084856773,0.0294753887854658,0.0134894785389126,0.105222840213867,0.0462917686702106,0.00965622196172296,0,0.0627305505749636,0.0202157422621886,0,0.0685732397499143,0,0,0,0,0,-0.0305186232408844
BCH,0,0,0,-0.14973708757637,0.131679617816392,-0.897487655877387,0,0.528157858592418,0,0.304229174529028,0,-0.0525226033421392,0.281698771025429,-0.213465192661071,-0.0695036383226712,0,0,0,0,-0.542649430436363
XRP,-0.00762534510815557,0.334915953256536,-0.0494995174593348,0,-0.047869082451033,0.145592072857567,0.23860324510342,0.0833379629447763,0.141893767644076,-0.00000000000000000173472347597681,0,0.0825322434820017,0,-0.149929394439363,0,-0.125274965347161,0.395352005753179,0,0,-0.185602390747868
DASH,0,0,0.0843111776506018,0,0,0,0.11626366857934,0.053500335688763,0.0442867443594469,0,0,0,0.109551050388896,0.0217202732681171,0,0,0,0,0,0
LTC,0.0656442526896794,0,-0.0869882404506637,0.214263892171045,0,0,0.0775921251260766,-0.0173552057431835,0,0.245948491723431,0,0,0,-0.0133062124158037,-0.00454626718159144,0,0,0,0,0
XMR,0.0312326527712526,0.15216640738407,-0.01617474482825,0.0369105036757867,0.138475872237935,0,0,0.185710025998898,0,0,0,-0.00290057959573506,0.0707622894623008,0.236087624998606,0,0,0,0,0,-0.215883101188972
NEO,-0.0309411640454931,0.189301767102378,0.117784502726485,-0.0877242346265263,-0.056937586060163,0,0.311410805483848,0,-0.10776043886921,0,0,0,0.313826507544584,0.0658060720641198,0.139932527821158,0,0,0,0,0
MIOTA,0,0,-0.127733560183309,0.199749011180568,0.08583100383454,-0.321784334743046,0.249332244117777,0.111306575176252,0,-0.117510637947364,0.692531947811751,0.18464462282547,0.154660840380257,0.141710929605053,0.0502498732299273,0,0,0,0,0
ETC,0,0,0.17829254306327,0.137880485866741,-0.424745447587457,0.17498001514134,0.116150335150237,0.0747957944739704,0.0481019157525758,0,0,0.0048349724581887,0,0.0937214579962715,0.0225385956585425,0,0,0,0,0.0476627561761038
XEM,0,0.160942631384918,0,-0.0301439667607834,0,0.0500869386120793,0,0.0642081328583952,0.159413297335629,0.0301666309750416,0,0,0.027033445378148,0.157250715656745,0.0955248826280399,0,0,0,0,-0.207559316355956
EOS,0.690465038788617,0.313314918428565,0.012415274408765,0.273624608302932,0.262503185523612,0,-0.468349228654997,0.189364986664923,0,0,0,0,0.0509158991076083,0,0.0975710571470471,0,0,0,0,0
ZEC,0,0,-0.00349339485049643,-0.0876818118607208,0.303450502034906,0.0573008171531913,0.193798690276289,0.012827137673625,-0.0355779528643583,0,0.162509486862091,0.0858125810320171,0,0.00000000000000000693889390390723,0.046960950694139,0,0,0,0,0.0859454007278152
ADA,0,0.304548866555902,-0.0279306921002814,0.109575962277171,-0.0221353744698475,0.325817652197604,0,0,0.305094325664441,0,0.418412275942947,-0.339857076123559,0,0,0,0,0,0,0,0
XLM,0,0.469171834091626,0,0.367734299789328,-0.019183591995869,0,0,0.122592851073896,0.41972209290311,-0.074554374205039,0.570103604042878,0,0,-0.0800192490698812,0,0,0,0,0,-0.173210227516428
BV010082.INDEX,0,0,-0.0565617906639176,0,0,0,0,0.00923209658687601,0,0,0,0.0296679034070805,0.0193942195028171,0,0.00453532429940965,0,0,0,0,-0.0522782174137567
CVIX.INDEX,0,0.0100025228038532,0.0333749406400253,0,-0.0236698227343809,-0.0585432763721531,-0.024222840422089,-0.0304649467883569,0,0,0.108161873197798,-0.000000000000000000867361737988404,-0.0296624995196757,0.0477298134748472,0.0136767246105285,0,0,0,0,0.0803584696348103
DXY.INDEX,-0.0177996002310539,-0.00730196105591239,-0.0272517817487755,-0.00850781106385937,0.00000000000000000010842021724855,0,0.0102025910665824,0.0140624345269155,-0.0137713037321282,0.010485859884998,0,0.00343282141867849,0.01187669641744,-0.0195180740364774,0.00173279093313124,0,-0.0524256838794292,0,0,-0.00885743742909878
SPX.INDEX,-0.0000218079699088921,0,0.000427305219303305,0,0,0,0,0,-0.0000264887700164473,0,0.0092007155840618,-0.00108581228703495,-0.00644981632178736,-0.00274261116993148,0.0000980923578679535,0,-0.0339357276994762,0,0,-0.0309135847792579
VIX.INDEX,-0.0698638054908781,0,-0.186155753141038,0.244714321443296,-0.000000000000000000216840434497101,0.241865266590785,-0.361443069063532,0.0493963719684055,0.114568633323924,0.0503671105535075,0,0,0,0.0959004349690178,0.0398881453013309,0,0,0,0,0
