,BTC,LTC,XRP,ETH,DOGE,DASH,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.217045879200354,0.306947950619754,0.0259941391618477,0,0.0682338270439847,0.0255270872358701,0.0223875659876952,0.0495302928498197,0.0296283462338345,0,0,0,0,0
LTC,0.557166314436366,0,0.281228586279527,0.0737804226304996,0.167003150287075,0,0,-0.172471488602642,0.0382274652983095,0.0201045647778341,0,0,0,0,-0.0840750009923249
XRP,0,-0.124645461800748,0,-0.0288077223796571,0.836140344979081,-0.0813802293204919,0.246534956161673,-0.00092642489755895,0,-0.00663953775960953,0,-0.387497107868181,0,0,-0.0331275362446239
ETH,0.22777383391126,-0.409464141292812,1.19203395358605,0,-0.606368250908311,0.840427090529247,0.171609231817346,0,-0.0870234913138307,-0.0613973524016549,0,0.412329892374815,2.59938226751972,0,0.0000000000000000138777878078145
DOGE,0.242911893457061,0.203658444842307,0,0,0,0.192570155724317,0,0,0.0613203596764478,0.0197648896945655,0,0,0,0,-0.022372915740216
DASH,0,0.615083828989048,-0.103038304982447,0,0.174620180153288,0,-0.326966354300373,-0.00000000000000000346944695195361,0.00842678863582447,0.00973966168691288,0,0.0171631386615856,0,0,0
XLM,0,0.074042690452295,-0.258388634118837,0.105303179567151,0,0,0,0.229657083530725,0.128275231149131,0,0,0,0,0,-0.224577813935029
XMR,0.0766030699040026,0,0,-0.176595843302999,0,0.730851696977143,0.0308783228578021,0,-0.0772010670598412,0,0,-0.367702162651393,0,0,-0.436690899511638
XEM,-0.535126775483091,0,0.0840763972720283,-0.00000000000000000346944695195361,1.48227288908634,0.0000000000000000555111512312578,0.953904456251942,0.0671503287250151,0,0.122173671012034,0,0.79902342901358,0,0,0.195654683046745
DGB,0,-0.75794509049607,0,0.021058643691774,1.39313950182805,-0.142496000254311,0.881910668174691,0,0.290595700834747,0,0,0,0,0,0.00382789366826156
BV010082.INDEX,0,0,0.0557545331858594,-0.0125249623021981,0,0.0378644312003173,0,0.0531464836288551,0.00919234984121812,-0.020312345957095,0,0,0,0,0.00940436932279106
CVIX.INDEX,0,0.0772965313397123,0,0.0296339050241099,-0.092089544793846,0.0346052129947132,-0.20817524739861,-0.182632309241399,0.0846481550725863,0.0200089576588862,0,0,2.02496999658875,0,0
DXY.INDEX,0,0.0128339251305062,-0.036711215987762,0.00515645854467662,0,-0.00136303223698501,0,0.0209332402308501,-0.000809852752528694,-0.0143360687405384,0.118892440903597,0.0123747599217715,0,0,-0.0181822790828325
SPX.INDEX,0,0,0,0,0,0.0081632493845073,0,0,0,0.00360536788843628,0,0,0,0,-0.0758182791057644
VIX.INDEX,-0.067175129678727,-0.0340002689395711,-0.167357024361294,0.0941476507191264,0,0,0,-0.15841339913004,0.0886091521011609,0.131537640285053,0,-0.474222894551804,0,-3.761889371568,0
