,BTC,ETH,XRP,XEM,LTC,ETC,DASH,XLM,XMR,DOGE,ZEC,DGB,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.0808415581798475,-0.0459013515131986,0.0420078904247914,0.0393076596272312,0,0,0,0.0909621347146294,0,0,0.0311767577693755,0.0367030480235833,0,0,0,0,-0.0730617472473269
ETH,-0.291582192715935,0,0.0164655920693803,-0.134965885159781,-0.0220117603811477,0.096838745279739,0,-0.0122024221503845,0.318783502220282,0,-0.0955518975267197,-0.00189710749841123,0.0142022363254022,0,0,0,0,-0.0362004205727665
XRP,-0.748136329825203,0,0,0.0165216804579821,0,0,-0.573384675048628,0.514467288603637,0.335790787313413,0,0,-0.142212652000019,0.0305960469680786,0,0,0,0,0
XEM,0,-0.202157922544935,-0.0448825230998421,0,0.0154608277260098,0,0,0.176584700863567,0.390196359639373,-0.110839279367146,0,-0.014671881961167,0.364743750882414,0,0,0,0,-0.443799093193297
LTC,0.523776431360227,-0.0550257276892505,0,0,0,0,0.251126270229835,0.0914741055895186,0.0848193566969582,0.0736985503365505,0,0,0,0,0,0,0,0
ETC,-0.170036804494852,0.224606924523618,-0.0330619887399672,0.0612755795176723,0.160237193188347,0,0.105957272346434,-0.0176782775065176,0,0,0.116287916095987,-0.013228713792195,-0.0360204362885739,0,0,0,0,0.125629111610638
DASH,0,0.248741274791424,-0.0590477555601087,0.138653386001187,0.0540503731212815,0.00000000000000000173472347597681,0,0,0,-0.089338073550575,0.410847308883237,0.0428660390958946,0,0,0.0183802297656799,0,0,-0.146339629133599
XLM,0,0,0.311417652285877,-0.0946497765066419,0.142490946078827,0.450032251377888,0,0,0.583049516777638,0.136398891320939,0.263594870843716,0.18279361239507,0,0,0,0,0,0
XMR,0,0.0911105646768929,-0.0314691170402566,0,0,0,0.100103740100221,0.0886405799164631,0,-0.0437394642400352,0.162266955295791,-0.0259661184829652,0.0546356183211565,0,0,0,0,0
DOGE,0,0,-0.00663779096577998,0,0.268907191767143,0,0,0.26006719573623,0,0,0.256579817260891,0.00835597310300328,0.12744928329516,0,0,0,0,0.479120141797847
ZEC,0,0.0122778994282246,0.0278644488019581,0.0134793727125731,-0.212049369947802,0,0.478297323704875,-0.0873388593843557,0,0.246800878241057,0,-0.0101688201867906,0,0,0,0,0,0
DGB,0,0,-0.0497880576076865,-0.0786923322269615,-0.249990235849726,0,0,0.0992409790641506,-0.228268934338725,0,0.157270151845255,0,0.306237918796934,0,0,0,0,-0.0358047534957577
NEO,0,0,-0.0685364176945017,-0.0615651423268141,0,0,0,0.0225781573075112,0,0,0.451448952733222,0,0,0,0,0,0,0.182301867537896
BV010082.INDEX,0,0,-0.00556295021971032,-0.00748601454000412,-0.0170462753952029,-0.0363111850041004,-0.0238880894226345,0.0235835339270341,0,0,0,0.00864648219353622,0,0,0,0,0,-0.0455030175967739
CVIX.INDEX,0,-0.036110375842633,0.0155116731561989,0,0,0,0,0,0,0,0,0.0253702060894301,0,0,0,0,0,0.0467352916300998
DXY.INDEX,0,0,0,-0.014072844374392,0,0.0206236009691462,-0.0044239543298416,0.00579193953109394,0,-0.0020828149037628,0,-0.00214645961884212,-0.0117624013618722,0,-0.00282624878029645,0,0,0.0107503200289463
SPX.INDEX,0,0,0,-0.00247905304131059,0,0,0,0.00376670727847973,0,0,0,0,0,0,0,0,0,-0.0387109626139681
VIX.INDEX,-0.296905975114213,-0.181369640035646,-0.000000000000000000433680868994202,0,-0.0800756798470787,0.205826428619822,0,0.109620999479163,-0.234430164513192,0,0,-0.181341207942096,0.180641381231108,0,0,0,0,0
