,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,XEM,XMR,DASH,MIOTA,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.213612936734681,0.0770956666549764,0.0436528809891737,0.103969505778697,0,0.0417754145006085,0.0401635620720207,0.0366096065771257,0,0.0488920863439782,0.00536400580159835,0.0426090153603187,0,0,0,0,0
ETH,0,0,0,0,0.0144308571089602,0.105197375352361,0.0707258354974468,0,0.224542495676488,0,0.0274803548638701,0.246795008356965,0.0475076791004959,0,0.0654739152790338,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0.208950825619109,-0.0628502915356876,0.0940010402182922,0.0099811654491174,0,0.23429790182758,0.330887071381879,0.0971347852774518,0,0,0,0,0.00680174605121491
BCH,0,0,0,0,0,0,0.176365205353371,0,0,0,0.170303386311403,0,0.102141378650957,0.105011093923361,0.269010397885473,0,0,0,0,0
LTC,0,0,0.0812675836625991,0.174007751950165,0,0.00840979074331556,0,0,0.153443193462662,0,0,0,0.0357496657185475,0.0164800286452388,0.163276228157505,0,0,0,0,0
ADA,0,0,0,0,0,0,0.0622420780588618,0,0.0511220693662833,0,0.190975313833868,0,0,0.182214251262207,0.154377969408466,0,0,0,0,0
NEO,0,0.085364140508932,0,0.183226766297199,0,0.139848383470435,0,0,0,0,0.0131746752312701,0,0.095342408741418,0,0.261081390228279,0,0,0,0,0
XLM,0,0,0.221057119866313,0,0,0.204012706003751,0.0750723499542763,0,0.040579130433303,0,0,0.0576033577890215,0,0.151334602642803,0.156678980201196,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0.246935689931086,0,0.130958403338184,0.122221796965729,0,0.0413054564211259,0,0.337796813484792,0,0,0,0,-0.00314604038545546
XEM,0,0,0,0,0,0.106937103535247,0.00521452695947767,0.301661482504031,0.152323521373859,0,0,0,0.239144927784945,0.0531118408854004,0,0,0,0,0,0
XMR,0.161143153540653,0,0.00000000000000000693889390390723,0,0.273312946473737,0.0559716671488297,0.23657352093035,0.0297034664653382,0.0562428873803565,0,0,0,0.106680897184928,0.0209607413364102,0,0,0,0,0,0.0710704997730673
DASH,0,0,0,0.0348165328331764,0,0,0.0308315354628525,0,0,0.0926594203273618,0,0,0.00607000194521244,0.210075102261841,0.167641408661976,0,0,0,0,0
MIOTA,0,0,0.152389451155546,0.270120723904326,0.0892072961527407,0,0.0145977557401111,0,0,0.13724273191554,0.178139113504165,0,0,0,0,0,0,0,0,0
TRX,0,0,0.0685413767459297,0.318651717063332,0,0.0289360627524123,-0.0968461013087292,0.0169563245729228,0,0.341396637503738,0.0862525660880304,0.124527680042651,0.000665388906480359,0,0,0,0,0,0,0
ETC,0,0,0.14964922452483,0.298933974750413,0,0,0.0977923180791528,0,0.193441520435838,0.112176846814162,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.0686541115663693,0,0.0438512909611465,0,-0.00161219692706034,-0.0118416938484771,0,0.0143409155842451,0.0239114945193893,0,0.0078784969203421,0.0680278687219463,-0.072613678521779,0.0109571090525508,0,0,0,0,-0.0363784014760634
CVIX.INDEX,0,0,0.0540158925380767,-0.0135112965551079,0.0356554397655413,0.147113714694744,0,0,0,-0.0325896960155382,0,0,-0.0712028750950669,-0.0556231812978531,-0.0578866393953888,0,0,0,0,0.0693688791093416
DXY.INDEX,0.007961313160158,0.0162897414196267,0.0179551413765241,0,0,0.0276290595914277,-0.0090283809384153,-0.0110029255689165,-0.0362850119709965,0.000942976077550352,-0.00817246537476652,0,0,-0.0131419096600723,0,0,0,0,0,0.00914283803685699
SPX.INDEX,0,0,-0.00190010334653877,0,0,0,0.0129369861279014,0,0,0.0195066750607015,0,0,0,-0.0214296871377671,-0.0181067648478163,0,0,0,0,-0.0616530234736706
VIX.INDEX,-0.732347848017404,0,-0.00000000000000000693889390390723,-0.0701249331585457,0,0,0.50962090344062,0,0.22944515438547,0.18513716715526,0.0809792829085005,0,-0.454503318819015,0.151472805431282,0,-0.436695115753797,0,0,-4.70409580590728,0
