,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,NEO,TRX,XMR,DASH,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.044719785463739,0.108928280149995,0.106509339377214,0.0515443447313621,0,0,0.0263029271921512,0.19959563717938,0,0.0421629693440882,0,0,0.0387481752138618,0,0,0,0,0,0.0364535109094545
ETH,0,0,0.140426240027519,0.191394851641687,0,0.429366991760304,0.0369471786600352,0,0,0,0,0.00195174276412006,0,0.0198564209431167,0,0,0,0,0,0
XRP,0,0.0772506312499218,0,0,0.117234441688598,0.133391311793406,0,0.0913882216119249,0.00000000000000000693889390390723,0.190767315390707,-0.00000000000000000346944695195361,0,0,0.0383425833396147,0.0771538348308993,0,0,0,0,-0.00486083165274371
BCH,0,0.209793939727345,0.217394006172034,0,0,0.349887057757515,-0.0353802337340929,0.0420543047293853,0,0,0.0720710909074116,0.104712616987486,0.11735765947774,0,0,0,0,0,0,0.0332800381306175
EOS,0,0,0.228559264714018,0.235667145633567,0,0,0.00000000000000000173472347597681,-0.346214431853824,-0.0661113152201003,0.31585567848279,0.000000000000000000867361737988404,-0.0000000000000000277555756156289,0,0.0607940725612487,0.192238231862816,0,0,0,0,-0.0374427026596745
LTC,0,0.34827044209876,0.0750543088055877,0.182171814690097,0.0232673281583334,0,0.0147609819781968,0.0797079884235722,0.063549379014804,0.0546752930001059,0,0,0,0.0719062209506807,0,0,0,0,0,0
ADA,0,0.281648469401545,0.15036453902208,0,0.127988121670528,0,0,0.15823520532699,0.156597555660598,0.125534791834088,0,0.0232929662606032,0,0.083878694827397,0.0685809539975461,0,0,0,0,-0.0120124965751895
XLM,0,0,0.135808522151345,0.106229165247774,0,0,0.221340706719687,0,0.122486755423804,0.109660847140587,0.0533457223794382,0,0,0.168692743410447,0,0,0,0,0,-0.022373078902924
MIOTA,0,0,0.0612165943413146,0.412945553703376,-0.000000000000000000433680868994202,0,0.100914792674549,0,0,0.227188303040482,0.00287504713893557,0.0589601214242293,0,0.0471208606657317,0,0,0,0,0,0
NEO,0,0.290561386575772,0,0,0.0274050473086042,0,0.0448921887101782,0.179691604137358,0.0735367536356545,0,0.0261207644759002,0.110570904158111,0,0,0.135656601792675,0,0,0,0,0
TRX,0.304860862611049,0,0,0.212060511278136,0,0,0,-0.087044904408655,0.349197385770638,0,0,-0.277453459573529,0.255880279911213,0,0.0949188175311526,0,0,0,0,0.111556808667714
XMR,0,0.200943743325284,0,0.00000000000000000693889390390723,0,0.138932393465167,0,0.254173707479039,0.155302832864035,0.0502291079707654,0,0,0.177004053887335,-0.102718698936403,0,0,0,0,0,0.0927327529356999
DASH,0,0.0957883064835153,0,0.304282542145214,0,0,0.071606951861694,0,0,0.1221731469733,0.151733269483364,0,0,0.0412064512501602,0,0,0,0,0,0.044073958414804
XEM,0,0.340284273086514,-0.0928396914874801,0,-0.134641921607066,0,0.275599692801136,0.13553990392918,-0.178950481078708,0.376273372695637,0.204193489679516,0,0,0,0.117262388552947,0,0,0,0,-0.0268194495832411
ETC,0,0,0.452325378788252,0.00306611165410118,0.115079100997301,0,0,0.0807186259092625,0,0.154682387974996,0.150355872192789,-0.124135050970516,0,0.150875257882822,0,0,0,0,0,-0.0701684519411143
BV010082.INDEX,0,0,0,0,0.0277510002969805,0,0,0.0150331242138034,0,0,-0.040633889028951,0,0.102040572663944,0,-0.0154041707309952,0,0,0,0,-0.0655863840089536
CVIX.INDEX,-0.193222091616649,0,0.0786090894845687,-0.0578328319605421,-0.0814462836245738,0,0.0950515915414581,0.0283278750653432,0.0225589068285031,0,0.034679336930188,-0.103170713765724,0.301778205690046,-0.183285584009812,-0.050269412552174,0,0,0,0,-0.00540791378816522
DXY.INDEX,0,0.0041470837075189,0.0117868279724591,0,-0.00342210938445336,0,0,-0.0309336101410808,0,0,-0.0108406333525872,-0.00381304995710919,0.0354200511209101,0,0.00390365217944345,0,0,0,0,-0.00000000000000000010842021724855
SPX.INDEX,0,0,0,0.0171205515397341,0.0309345239979718,0.0271777239381281,-0.041851049400898,-0.0195637384406226,0,0,-0.0209551806803984,0,0,0,0,0,0,0,0,-0.0990248060286874
VIX.INDEX,0,0,0,0.0401038425262919,0,-0.0775444830572912,0,-0.202301190629259,-0.0347966539448905,0,0.153702640797966,0,0.20441725106974,0,-0.009148421460281,0,0,0,-4.03022065129857,0
