,BTC,ETH,XRP,BCH,LTC,BNB,EOS,BSV,XLM,LEO,TRX,ADA,XMR,LINK,HT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0356346478879147,0,0.144033331621954,0,0.20111673288769,0.0664771671739741,0.0189570576330583,-0.0390102690920807,0,0,0,0.0468987240112537,0,-0.00000000000000000346944695195361,0,0,0,0,-0.00413218969109358
ETH,0,0,0,0.0806521958550816,0,0.145387496246989,0.28041651196429,0,0,0,0.060520282350802,0.0833151606499707,0,0.00980590983177451,0.101080623005983,0,0,0,0,0
XRP,0,0,0,0.0623918381565345,0,0,0.301284160183737,0.00527910285808195,0.161545056817813,0,0.0549219475765144,0,0.137443583761241,0,0,0,0,0,0,0
BCH,0.238512690868708,0,0.013354255254633,0,0.199669141460491,0,0.322178135104538,0.173095036408438,0,0,0,0.234824234940887,0,0,0.0367262305102724,0,0,0,0,0
LTC,0.0468635105839242,0,0,0.291365484816589,0,0.0683676070186871,0.0728462581902777,0,0.103049862592412,0.0565788107808265,0.0125229408579744,0.30572219443431,0.0147592015131616,0,0.0100290030365425,0,0,0,0,0.0127819734991744
BNB,0,0,0,0.438961768382012,0,0,-0.113037288183196,0.000000000000000000433680868994202,0.0815513223571202,0,0.362225847352933,0.1079014402612,0,0,0,-0.000000000000000000433680868994202,0,0,0,0.0160941625947647
EOS,0,0,0,0.71815833204752,0,0,0,0,-0.015909541853978,0,0.173485866880423,0.0513709675446864,0,0,0,0,0,0,0,0
BSV,0,0,0,0.860594915437117,0,0,0,0,0,0,0.0275041191682706,0.181371900103257,0,0,0,-0.0693023527126798,0,0,0,0
XLM,0,0,0.739968973315069,0,0.13204661074671,0,0,0,0,0,-0.113898012021343,0,0.191194074122124,0.0631810064971623,0.117152581017085,0,0,0,0,0.0425187220716341
LEO,0,0.10469086474694,-0.0768434846572168,-0.0960776686247972,0.365597059451069,0,-0.0612962691148761,0.020924280268479,0.0457220711820787,0,0,0,0,-0.131833628295681,0.0378849187187189,0,0,0,0,-0.0154942404624762
TRX,0,0,0.333984801816113,0,0,0,0.266054459452946,0,0,0,0,0.502703547715368,-0.0641536473164235,0,0,0,0.0550128522495096,0,0,-0.0289354090901763
ADA,0,0.0157970211117934,0,0.0256741938325085,0,0.158273870316286,0.274560149374354,0,0.0936647069905436,0,0.263994405753824,0,0,0,0.0363441149307936,0,0,0,0,0
XMR,0,-0.427674966775625,0,0,0.0563704343771931,0.443822565083483,0.159929708864436,0.0872953368472357,0.165866523071733,0,0,0,0,0.141902172405027,0.0557151807584875,0,0,0,0,-0.00276155583965096
LINK,0,0.17555887887163,0,0,0,0,0.395335313883606,0,0.0549115580117202,0,0.0491263728974398,0,0.256857399734462,0,0,-0.18600002545865,0,0,0,0.0298622907322856
HT,0,0.15960252835351,0,0,0,0.254331436471144,0.090446375252526,0,-0.0604854980342667,0.0289836732678588,0.182607556323951,0.145541772682752,0,0.123536451283414,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.209157586082799,0.0939878523783127,0,-0.0799204303385521,0,0.0811717164788909,0.353480808728399,0,0,0,-0.384238990049623,-0.0361482921959819,0,0,0,0,0,-0.170869974689861
CVIX.INDEX,0.783717212350841,0,0,0,0,-0.485656505056692,0,0,0,0.324809045010546,0,0,-0.0227909315641556,0.0595056191194763,0,-0.117565367363595,0,0,0,0.0834984932288636
DXY.INDEX,0.030375771893774,0.0623305229611366,0,0,0,-0.0542385335631065,-0.00555895095737929,0,0.00814248612413605,0.00841832554952709,0,-0.0104713233101179,-0.00595691979744509,0.0049921592128203,0,0,0.00985580566693667,0,0,-0.0098034167575235
SPX.INDEX,0.0269747084185908,0,0.035334150054205,0,0,0,-0.0413301075650989,0,0,0,0,0,0,0.0126354363115317,0,0.0718291459408673,0,0,0,-0.095314861321583
VIX.INDEX,0.129664158232885,0,0,0,0,-0.370730056248144,0,0.0356682541044906,0.162088799875126,0,0,0,0,0.193181691597644,0,-0.0930372671516722,0.183291230461612,0,-4.07781932928318,0
