,BTC,XRP,LTC,DOGE,DASH,XLM,XMR,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0083228778656362,0.155717425559974,0.435224987050548,0.178394506719343,0,0.128075306458235,0.0211258413270142,0,0,0,0,0
XRP,0.245123096825737,0,0.0450474734296689,0,0.0903817468259909,0.451299090741143,0.107941701458564,-0.0978992073906953,-0.240290864894855,0,0,0,0.214593923291048
LTC,0.562058832219797,0.0394431407607397,0,0,0,0,0.129785124524555,0.116016279601032,0,0,0,0,0
DOGE,0.402624741646309,0,0.0801987128119553,0,0.0397261596753361,0.0629566688443133,0.0338143622276127,0.0343837223452704,0,0,0,0,0
DASH,0.718482180631205,0,0.00000000000000000693889390390723,0,0,0,0,0.14143277925102,0,0,0,0,0
XLM,0.736710303908786,0.1954248538001,0,0,0.0828226681058563,0,-0.283238814695701,0.0338208651040369,0,-0.136971118383786,0,0,0.0786053116824291
XMR,1.07586275942046,0,0.0536312412755342,0,-0.00000000000000000693889390390723,0,0,0,0,0,0,0,0
DGB,0.250369680695475,0,-0.0000000000000000555111512312578,0.392832889318602,0.109057395279872,0.145480634043829,0.0117299721300396,0,0,0,0,0,-0.132703755366038
BV010082.INDEX,-0.171522867066749,0,0.0529069811545357,0,0.0259444230378817,0.0234452032241001,0.0744805137143657,-0.0211351659522623,0,-0.0653515021121768,0,0,-0.061863719439319
CVIX.INDEX,0,0,0,0,0.084489789647061,0,0,0.0358582055837704,0,0,0,0,0.0564814296766116
DXY.INDEX,0.031911428281889,-0.027075931541561,0.00860929310065602,0.012202303659081,-0.0264338004339193,-0.00224087372865393,0.0100765183737652,0,0.0925504234081918,0.0135204725619963,0,0,0.0278420955916807
SPX.INDEX,0,0.0202102269508138,0,0,0.00676924855011119,0.00360732642243857,-0.0213276965034349,0,0,0,0,0,-0.101522362206634
VIX.INDEX,0,0.0434802446754825,0.106193941506992,0.269593736940637,0.0446831937775867,-0.142815714877284,-0.267290159272762,-0.0220446677308737,0,0,0,-5.27739524671552,0
