,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,MIOTA,XMR,ETC,ZEC,ADA,BAT,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0180571785424578,0,0,0.0335116264919495,0.0444313400865285,0.122936845922784,0.0093172207621751,0.214503369174771,0,0,0.0281135761933898,0,0,0,0,0,0
ETH,0,0,0.0175879234660204,0.0436354446370366,0.264820840180785,0,0,0.0249826704253737,0.170994690156523,0.109542710175042,0.00000000000000000346944695195361,0,0,0.0616313614744202,0,0,0,0,0,0.0319438141889769
XRP,0,0,0,0.0262193824314167,0.0297136794367714,0,0,0.00849984941278302,0.0540802920017344,0.077472679790549,0.00421476750088073,0,0,0.13803498849833,0,0,0,0,0,0
BCH,0,0,0,0,0,0.165799440473141,0.59382124979238,-0.0527907543236647,0,-0.0577543005032168,0,0,0,0,0,0,0,0,0,-0.285321941074565
LTC,0,0.131446302083114,0.0560172151593298,0,0,0,0,0,0,0,0.744229679299091,0,0,0,0,0,0,0,0,0.0071017121276344
DASH,0.134544737093915,0,0,0.0888136169016656,0,0,0.0815612180213513,0,0.0922776779570725,0.0374294112221362,0.136065144986519,0.0164538867915674,0,0.120740018692203,0,0,0,0,0,0
XEM,0,0.186681653532431,0,0,0.138961715852397,0.19568104521278,0,0.0707281230403072,-0.00000000000000000346944695195361,0,0,0,0,0.0640907734794579,0,0,0,0,0,0
NEO,0,0,0.138639670168947,0.0275806771533038,0.090850988793705,0,0.383109576723611,0,0.249049657641196,0.0941254195379511,0,0,0,0,0.0888946756737204,0,0,0,0,-0.335046749870571
MIOTA,0,0.0935615131511549,0,-0.0924526108728006,0,0.0315332465130849,0,0,0,0.0582332976212721,0,0.391909448942243,0,0,0.312169949536908,0,0,0,0,-0.0186275598609548
XMR,0,0,0.27017449006503,0.0745042322987259,0.0374150992327532,0.0296715063940094,0.10801623922072,0.0534778219504309,0,0,0.0898781292383119,0.214150997192244,0,0,0,0,0,0,0,0
ETC,0,0,0,0.0244392548585917,0.595210005801905,0.0790685322932401,0.00835605972315077,0,0.120391438916034,0,0,0.0371566558059197,0,0.00882048020674864,0,0,0,0,0,0
ZEC,0,0,0,0.045724318822892,0,0.256046288400837,0.163346765338008,-0.0202485559493691,0.190972375216291,0.018001834027004,0.213127712058431,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAT,0,0.0978394943156074,0.0763169695462536,-0.131768989146984,0,0,0.331342172185238,0.000560307338209535,0.0709888830773859,0,0,0.284177885218082,0,0,0,0,0,0,0,-0.0425413342618008
EOS,0,0,0,0.0518944867832772,0.413004121844796,0,0,0.152568401508891,0.254850290035668,0.150728350137166,0,0.106085131952427,0,0.101282326789087,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.00071642920804249,0.00878963321828108,0,-0.0770531944021557,0.0203232557540964,-0.023633326953833,-0.00341064870091295,0,-0.00784534897550536,0.0387762492550558,0,0.0345150613844551,0.0324501453045831,0,0,0,0,-0.0779543330677451
CVIX.INDEX,0,0,0,0,0,0,0.0385316215779446,0,0,0,0,-0.0258493936350402,0,0.0420232988618075,-0.0659346664331066,0,0,0,0,0.0760576474854809
DXY.INDEX,-0.00411483647289524,0,-0.000353949915841967,0.00326961941220137,0,-0.0345399322144465,0,0.00659005542494793,0.00288523634239428,0.00697706919227855,0,0.0109320361169538,0,0,0.00710442740795477,0.0174761520866228,0,0,0,-0.00357724444985432
SPX.INDEX,0,0,0.000776064610020033,-0.0000697143743167215,0,-0.0116890741311478,0,-0.00115220125081231,0,-0.00360882052227717,0,0,0,0.0100780484548902,0,0,0,0,0,-0.0469116237632412
VIX.INDEX,0,0.198159999613217,0,0,-0.0703291082746191,-0.324167388568484,0.0273021785167464,-0.05643914724517,0.0889249369041023,0,-0.0302135008212271,0.214230713827704,0,0.182414243846742,-0.284506456164506,0,0.774976785981896,0,0,0
