,BTC,ETH,XRP,EOS,LTC,BCH,XLM,TRX,BNB,ADA,BSV,XMR,MIOTA,DASH,MKR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.00331933460208591,0.00761685027995612,0.138882918665148,0,0,0.0625687536309569,0.0595340483185514,0,0.175225775594496,0,0.119765075529571,0,0,0,0,0,-0.0288732873828102
ETH,0,0,0.179611544842537,0.054628344700326,0,0.363202483575472,0,0.0822065926779356,0,0.0223067267384152,0.0543120256694383,0,0.143244379609837,0,0.120799627616136,0,0.00932121925032781,0,0,0
XRP,0,0,0,0,0,0.299408645410416,0.0274301411763605,0.0118331719908676,0.0452168058045651,0.257717524686124,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0.211761928252961,0.285752604693994,0,0,0.124119644021502,0.0168703900487755,0,0.362179104463656,0,0,0.0682921973134848,0,-0.0895855793169868,0,0,0.0140902094867629
LTC,0,0.172758181089375,0,0.26794386646775,0,0.0947314401645314,0.142513893370611,0,0,0,0,0.090792663483017,0.15974590256745,0,-0.0593809499164816,0,0,0,0,0.155926297466617
BCH,0,0,0,0.348397391413639,0.252680265974228,0,0,0.161562047975938,0,-0.086427338210333,0.538688581809893,0,0,0,-0.125343528330661,0,0,0,0,0.0583476917734329
XLM,0,0.170408515293849,0.103655399998407,0,0,0.130180770702168,0,-0.00000000000000000346944695195361,0,0.197948079683414,0,0,0.123767856826098,0,0,0,0,0,0,-0.0457051818025227
TRX,0,0,0.0930731198965919,0,-0.0473298899398145,0,0.251272872405103,0,0.0725863967627327,0.340539664030173,0,0,0.00184178065742516,0,0.00152627958762322,0,0,0,0,0.168629520957457
BNB,0,0,0,0,0.246476993024484,0,0.497303394792655,0.222203025543942,0,0.087443937295771,0,0,0,0,0,0,0,0,0,0
ADA,0,0.259187182725187,0,0.191841323768588,0.151686555447089,0,0,0.0429892187812607,0.0962618555472754,0,0,0.0552661430034506,0.0599227796405878,0.0523984959681192,0.0127967591523769,0,0,0,0,0
BSV,0,0,0,-0.0694827098627294,0,0.587091329501208,0.242315754952841,0.0443026207888842,0,0,0,0.0858479105563135,0,0,0,0,0,0,0,-0.0482757187967625
XMR,0,0.25069812915332,0,0.0166240983219456,0,0,0,0,0.0255633405643648,0.216200990108014,0.14555522128953,0,0,0.0265008137489265,0.13837137407841,0,0,0,0,0
MIOTA,0,0.0738311720876922,0,0.463701133101717,0,0,0,0,0.043784941194602,0.126547565646969,0,0.0681113029003161,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0,0.0685372454231813,0.0522507878185723,0,0,0.283100109227887,0.0397740244833088,0.222986020263182,0.18403383557457,0,0,0,0,0,0,0
MKR,0,0.630714722817153,-0.31976405321792,0.272247534406316,0,0,0,0,-0.0606950881091416,0,0,0.261216981147111,0,0,0,0,0,0,0,-0.0490682117343328
BV010082.INDEX,0,-0.264309498687323,0.186503317672248,0.0799270571217297,0,-0.0575854442539239,0,0,-0.128238020826329,0,-0.00933878615450818,0.0240772683365286,0,0.13022650645758,0.118389148303933,0,0,0,0,-0.0662372963786626
CVIX.INDEX,0,0.20451215176382,0,-0.146958340225805,0.15623414652889,-0.0826681232419751,0,-0.229779300432243,-0.0260030648982718,0,0.0724159647254162,-0.129210358521273,-0.0687065040975584,0,0.0967590391188337,-0.0188962191375197,0,0,0,-0.0190252397242953
DXY.INDEX,0,0,0,0.00311093489247752,0,-0.0181861909012333,0.00463822429660196,-0.0453433566916104,0,0,0.0341076663317395,0.016173676046288,0,0.0240488418040246,-0.0104791388458894,0.101228469155278,0,0,0,0.024889106277509
SPX.INDEX,0,-0.057988701550878,0.0515634534670648,0.0377572947066873,0,0,0,0,0,0,-0.0253056143943213,0,0,0,0,0.170489804542442,-0.0447436291165544,0,0,-0.0986810387946089
VIX.INDEX,0,0,0,0.339592115509788,-0.321684748923684,0,0,-0.0184675911731579,0.42230865750125,0,-0.0930635341048759,0.115940691635894,0,0,0,0,-0.0461335294961266,0,-2.3504563392315,0
