,BTC,XRP,ETH,LTC,DOGE,DASH,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.621725620908523,-0.00961225366137631,0.0981201368031213,0,0.143160250472541,0.0118014478268219,0.0282625401818795,0,0,0,0,0
XRP,0,0,-0.0442055989610527,0,0.041581628440264,0,0.742907853249008,-0.428982603562312,0.0481155432297832,-0.135532169198085,0,0,0,0,0.066300249920029
ETH,0,-0.151825994676407,0,0,-0.130396735738333,0.0584313533904135,-0.234387621643193,0,0.0390124180401559,0.110071007278021,0,0,0,0,0.166559969812792
LTC,0.703321528000245,0,0.0195767842372977,0,0.0628720197549703,0,0,0,0.0247557399234338,-0.029643628131237,0,0,0,0,-0.028565598775064
DOGE,0,-0.0719806768077227,0.125201796697961,0.781038882194023,0,0,0.246637664846965,0.104609159264125,0,-0.142402182496718,0,0,0,0,0
DASH,0.513302825605164,0.290483573530499,-0.423353148372841,0,0,0,-0.345852480330817,-0.424539265315293,-0.0939325510483914,0.0518982289218084,0,0,0,0,-0.0365340675610805
XLM,0,-0.0850041523715132,-0.178909636712123,-0.0737942217131704,0.247575084052173,-0.0930255029203416,0,-0.0400354554489619,0.113066575484798,0.201898032597287,-0.635353994224409,0,0,0,-0.0791861779163055
XMR,0.584021451477441,-0.10351839234172,-0.201895031319527,0,0.102749749994968,-0.0738097241490693,0,0,-0.0792636192459506,0,0,0,0,0,0
XEM,0,0.148237164986884,0,0.00000000000000000346944695195361,0,-0.184282780893964,0.0594739919110518,0,0,0.0546525539761856,1.55153290404328,-2.61945892196491,0,0,0.205079359337141
DGB,0.717403298437965,-0.0486268384931899,-0.165369623447383,0,0,-0.00000000000000000693889390390723,0.306095537095591,0,0.122826197239386,0,-1.19088516942373,0,0,0,0.161177200575549
BV010082.INDEX,0.0875970384914439,0.00712284101966702,0,0,0.0172059082647522,0,0,-0.0401345562914939,0.00598514942861743,-0.0154862847350945,0,-0.158161998005061,0,0,-0.0642220130798613
CVIX.INDEX,0.0475049012873454,-0.0893496103739946,-0.00974106080320154,0,0.0094258483574632,-0.0350277173371304,0,0,-0.0353348514954119,-0.0290108567947108,0,0,0,0,0.124577468231238
DXY.INDEX,0,0.00322946708078945,0.00629198620130829,-0.0103149611315925,0,0.00291159382725089,-0.0410056000781271,0.030932658857487,0.00292630584716682,0,0,0.0719087714683275,0,0,-0.0336756428061534
SPX.INDEX,0,0.026175367025492,0,0,0,-0.0263757437615152,0.00394986926125247,0,0.000306822564034405,0,0.0714010012203039,0,0,0,-0.113630962364619
VIX.INDEX,0,0,0.0317804683633291,0,-0.0184430152058834,0.0442984640219156,0,-0.177927874502961,-0.11193797375805,0.238339049910471,0,0.268013660348027,0,-4.21993425412899,0
