,BTC,ETH,XRP,LTC,ETC,DASH,XEM,MIOTA,XMR,ZEC,EOS,NEO,XLM,DOGE,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.00806184904896264,0.263820405125208,0,0.128699989899619,0,0,0.0324935341892999,0.0733737506012496,0.0403188705364644,0,0,0.00280753684809734,0.0605989296662582,0,0,0,0,0.0856849841809895
ETH,0,0,0,0,0.204555829759238,0.149540597586005,0,-0.00000000000000000346944695195361,0.03721301716721,0.072080458065685,0.0269547536110564,0.00596230512289718,0,0.0718039495244098,0.030732319817657,0,0,0,0,0
XRP,0,-0.0479261695985727,0,0,-0.230406205179208,0.427841556804637,-0.0400409924975211,-0.0291252783169886,0.127463112521734,0,0.0604765382101009,-0.0638380788779472,0.301844130810468,0.105573150704936,0,0,0,0,0,0
LTC,0.166828337429182,-0.071118747733198,-0.0972636377288656,0,0.0863120013348225,0,0.0874459544206074,0,0.0692296971259094,-0.0124080718262008,0,0.133256195228297,0,0,0.0121430006276606,0,0,0,0,0
ETC,0,0.267715330942066,-0.13685405394901,0.246412850436786,0,0.252336712736505,0,0,0.0755514106192782,0,0.0170093150228664,0,0,0,-0.0295142616400534,0,0,0,0,0
DASH,0,0.136904000487164,0.066506109034914,0,0.163400507015361,0,0,0,0.314622070737238,0,0,0.085591445909875,0.0490834487070145,-0.0124141902829904,-0.0172387505353085,0,0,0,0,0.138881841102861
XEM,0,0.062034189143495,0.141807004987983,0.196051345000107,0,0.00548340709586744,0,-0.126471144547249,0,0,0.138394743120223,0.0318973891511212,0.167821690463767,0.284982489202498,-0.0478517313802234,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0,0.259810149473722,0.0525991508574253,0.113374356123023,0.215336093871125,0,0.0681963977830635,0,0,0,0,0
XMR,0,0,0,0.120686201533488,-0.0336699527838255,0.480765493943816,0.106351841974114,0.0337871207119943,0,0,0.0241810903986328,-0.112779411838026,0.158954620212593,0,0.00859503875447776,0,0,0,0,0
ZEC,0,0.197924555708286,0,0,0,0,0.0819024389406218,0.0926037220868237,0,0,0.0057072768824235,0.0647531220419911,0.105298898150205,0.140539827425256,0.0236257264161313,0,0,0,0,0
EOS,0,0.21070944780713,0,0,0,0,0,0,0,0.17277753138513,0,0.121679374416183,0,0,0.101472386656192,0,0,0,0,0
NEO,0,0,0,0.623221241599985,0.312702897872879,0,0,0,0,0,0,0,0,0,0.11571468828219,0,0,0,0,0
XLM,0,0,0.611303336967394,0.0664700141326617,0,0,0.0560555164953691,0.121696522257257,0.310065010977632,-0.162269570256523,0.0887649284282533,0.0518682948434345,0,0,0.0504766103607591,0,0,0,0,0
DOGE,0,0.189099037316293,0,0.254800922223334,0.0790391108661297,0,0.271024772798907,0,0,0.0747064215419649,-0.0530554534964465,0.0167074326218062,0.016599112708562,0,0.0510891572057195,0,0,0,0,0
DGB,0,-0.0303579682241003,0,-0.0266982336955056,-0.17210061567901,-0.17660297386876,-0.179481029337239,0.144563937192296,0,-0.84882826506059,0.236442416113005,0.144376023137275,0.723728569457843,1.00897128618002,0,0,0,0,0,0
BV010082.INDEX,0,0,0.0352615863697572,0,-0.0201326335707239,0,-0.0405912704544572,0,0,0.0188698517582109,0,0.000293705132993537,0,0.0289294623134102,0.00278449103760756,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,-0.0423813129608791,0.0335051812705145,0,0,0,0.0189021296947301,0.0114197331443408,-0.0359935565243865,0.0552166732094012,-0.0306551263434594,0,0,0,0,0
DXY.INDEX,0.0171841960147469,0.0131919651968432,0,0.00139029631902978,0,0.0237240676785874,0,-0.0034337943202723,-0.00509600739597826,0.000503216425880083,0,-0.00449871980292124,-0.0018948491019091,-0.0266108031731212,-0.000877561958253929,0,-0.00435045847847859,0,0,-0.0129765798191368
SPX.INDEX,0,0.00427401541215235,0,-0.000885459533632144,-0.0000000000000000000135525271560688,0.0074612190556217,0,-0.00414448168905771,0,0.00273214547847979,0.000580244548758845,-0.00182025070946286,0.0016204118923518,-0.00972496050089825,-0.00108659261050762,0,0,0,0,-0.0576575586085507
VIX.INDEX,0,0,0.101193476860921,-0.0506345110665585,0.212409228071715,0,0.0309010283560711,-0.0147744375313268,-0.0457152745866089,0,0.0688164644370592,-0.113037608422209,0,0,-0.190961869658999,0,0,0,0,0
