,BTC,XRP,ETH,BCH,EOS,XLM,LTC,TRX,BSV,ADA,MIOTA,BNB,XMR,DASH,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.114281596310537,0.0703917156385783,0,0.0110181172020961,0,0.0274030776608799,0.117315642706351,0.305491822627144,0.0800413903279956,0,0,0,0,0,0
XRP,0,0,0.162860487521075,0.0283953889580007,0.0685332820613503,0.0964923867288185,0.117505065414549,0,0,0.0276617862991363,0,0,0,0.0678668150989235,0.041091448048811,0,0,0,0,0
ETH,0,0.213009443845188,0,0.040473069015615,0.123894345497631,0,0,0.114254841038276,0.0114399908200001,0,0.105790595731958,0.0145616230601491,0.24552247955368,0.102977697421257,0.0307425694721664,0,0,0,0,0
BCH,0,0,0,0,0.301558100390712,0.10924936500557,0,0,0.0468232582183932,0.39222562026458,0.101347575237076,0.15276649385354,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0,0.647686517302555,0,0.114245652815495,0,0.196415879125893,-0.106329088313742,0,0,0,0,0.0436744857245996
XLM,0,0,0,0.147596969896572,0.0266748569722569,0,0,0,-0.00575518519983155,0.0344660099737996,0.0635580689141896,0.136740931527071,0.265469690969282,0,0,0,0,0,0,0
LTC,0,0,0.137715211617075,0,0.296537545640841,0,0,0,0.030301495201264,0.00830946127102395,0.0405677599462002,0,0.195970981512178,0,0,0,0,0,0,0
TRX,0,0,0,0.000000000000000000867361737988404,0,0,0,0,0.0390093049266445,0.49879964874467,0,0.21864531939674,0,0,0.0622015549372474,0,0,0,0,0
BSV,0.955250807537571,-1.64333418806356,0.124292941881732,0.500263006327002,0,-0.295432590017083,0,0.503069141761881,0,0,0.354804595329456,0.424603988028966,0,0.239351338561865,-0.456889029807617,0,0,0,0,0
ADA,0,0,0.0485311815517159,0.110113762807937,0.26540847847302,0.011623466622283,0,0.219018361264309,0,0,0.121131384050306,0,0.143872392397133,0,0,0,0,0,0,-0.00258893431025074
MIOTA,0,0,0.0984435162547471,0.0676339974378671,0.262861053083013,0.178749796113736,0.1072582161913,0,0.0568424019709258,0,0,0,0.0603082525406682,0,0.120827607288387,0,0,0,0,0
BNB,0,0,0,-0.0384362297847493,0.173628030985057,0,0.344019007327461,0.0995802350776767,0,0.358973816905756,-0.01657155534827,0,0,0,0,0,0,0,0,0
XMR,0,0,0.199969810325468,0,0,0.269671458930844,0,0,0.0150838884608146,0.258241253130959,0.0523578224197424,0,0,0.0485714472559255,0,0,0,0,0,0
DASH,0,0,0.178836409861172,0,0.169348940314078,0.129584310461569,0.146977166991314,0,-0.0000000000000000000067762635780344,0,0.0546271229799576,0.0404451816643931,0.258673091344713,0,0,0,0,0,0,0
XEM,0,0,0,0.148452630432121,0,0.242431199156774,0,0.0639755011052463,0,0.249081866555154,0.015192208052056,0,0.00000000000000000346944695195361,0,0,0,0,0,0,0
BV010082.INDEX,0.0509938545151353,0,-0.246716474024241,-0.0320809987375382,0,-0.0906362822531323,0.0382957928743143,-0.0440578027744368,0.00419934735162065,0.0877706609845451,0.059562314521371,0.0332143552858156,0,0,0.191240666275188,0,0.0751078515621974,0,0,-0.0606410985906176
CVIX.INDEX,0,0,0,0.0643550280254592,-0.106500529967514,0.0286480599047161,0,-0.176206803909822,0.02444541123681,0,0.108291304172239,-0.0486583570311558,0,0,0,0.132622804371437,0,0,0,0.120003679587884
DXY.INDEX,0,0,0,0.00344268042739331,0,0,0,-0.0335409059782684,0.00322467984161234,0,0,0.000242569472740134,0,0.00128669809690672,0.0261993578900608,0.0277521427683204,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,-0.00482403150554896,0.0125149327786062,0,0,-0.00689833230980073,0,-0.0403126555383542,0.0269568319603549,0.0657761128759622,0,0,0,-0.115110364129568
VIX.INDEX,0,0,-0.119546456695062,0,0,0,0,0.428766421987657,0,0,0,0.0742513544700319,-0.60484374179575,0.184643340418507,0,0,0,0,-4.27795371413366,0
