,BTC,ETH,XRP,BCH,LTC,XEM,DASH,MIOTA,XMR,NEO,ETC,ZEC,EOS,XLM,BAT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.172616349407295,0,0.120213130885905,0,0.138909017005784,0.0668848774937283,0,0.0764275399861491,0,0,0.0472389536353367,-0.104988538432747,0,0,0,0,0,-0.00000000000000000173472347597681
ETH,0,0,0.133134821439727,0,0,0.00530669884288046,0,0.0860978967037691,0.00279010548349336,0,0.395457958520222,0,0.0386099626416875,0,0.107740770724975,0,0,0,0,0
XRP,0,0.301541455650704,0,0.0182729775967256,0,0.0701550415263449,0,0.0000000000000000138777878078145,0.0691756969877424,0.0283316810223983,0.0894067825085413,-0.031972726263781,0.030384021553141,0.173739333070359,0.0847351921142457,0,0,0,0,0
BCH,0,0,0.169110161478746,0,-0.344696833136135,1.03938803947835,0,-0.587257057660163,0.203606128780601,-0.0216397281529443,0,0.409340498657257,0.0513014890181138,-0.76249559840452,0,0,0,0,0,-0.354574826470064
LTC,0,0,0.102115709218425,0,0,0,-0.017749039315204,0.0848571562455697,0,0.017739097090242,0.165411505254126,0,0.0565312428451758,0.0286375808486,0,0,0,0,0,0
XEM,0.142343832062628,0.0658799108837538,0,0,0,0,0.180793401305412,0.0226474448629818,0,0.0156723017882893,0,0,0.1260057999174,0.223712341857791,0.108802390401648,0,0,0,0,0
DASH,0.0259023987570065,0.0693306256393383,0,0,0,0.177397622110247,0,0,0.00504597752801007,0.0385161706359228,0.00186452181348104,0.398525104981056,0.0466846304805559,0,0,0,0,0,0,0
MIOTA,0.0819814654523045,0.170493235928425,0,-0.0959346309533845,0,0.124185835416213,0.366655225139257,0,0,0.114458650643403,0,0.171125752419342,0.00604074138900319,0.16517566485992,0,0,0,0,0,0
XMR,0,0,0.260609208665444,0.0975631379324507,0,0,0.318038132146811,0.0486701757377324,0,0.0850692704287982,0,0.107546307751256,0.0459302170422038,0.109088044458847,-0.0855728348880943,0,0,0,0,0
NEO,0,0,0,-0.0268019311977967,0,0.364597587801329,-0.0904898213908547,0.153514237408831,0.0187031788488388,0,0,0.142661885884624,0.0527549713659658,0.0840772889764278,0,0,0,0,0,-0.0656766662415042
ETC,0,0.348452735324325,0,0,0.227846931912747,0,0.0441902006790214,0,0.0388312103287701,0,0,0,-0.00444842962297231,0,0.0205805924770343,0,0,0,0,-0.00066422216778904
ZEC,0,0.175654314953909,0,0.0201159573803135,0,0,0.113529041057245,0.177300636870309,0.013915651833618,-0.00483535135287564,0,0,0.0298808309134774,0.175830786716164,0,0,0,0,0,0.0861266525175138
EOS,0,0.174517731948046,0,0,-0.1439545906948,0,0,0,0,0,0.560610621360977,0.276858155221332,0,0.188769176016937,0.065950372463525,0,0,0,0,0.0975278924165827
XLM,0,0.25563428996819,0,0,0,0.16010750359548,0,0.107763474203643,0.293748692606139,0,0,0,0.102286833799223,0,0.15309302671239,0,0,0,0,0
BAT,0,0,0,0,0,0,0,0.0742383008015834,0,0.204055750272394,0,0.272675711688549,-0.00960923500785306,0.343853981814974,0,0,0,0,0,-0.0716082252967548
BV010082.INDEX,0,-0.0025906430456839,0,-0.0283786312080294,0.0210562244711544,0,0,-0.0010039107509288,0.0197742896665842,-0.0332916099015208,0,0.0376738317305751,0,-0.0404200201379117,0.0440006788015459,0,0,0,0,0
CVIX.INDEX,0,0,0.0414774326631321,0.0124160079077738,0,0,0,0.0274357257308214,0.0726025584096544,0.0182018640974794,0,-0.0786959606480806,0.022202024730051,-0.0985500487547728,0.0190407147852519,0,0,0,0,0.0664737827278918
DXY.INDEX,0,-0.000623730254935794,0,0,0.0119995863404176,0,0,0.0103038298086936,0.00921248581437363,0,0,-0.0183345815523424,0.000713187195562507,-0.00314721161535294,0,0,-0.00402338344296216,0,0,0.00122635473912049
SPX.INDEX,0,0,0,0,0,0,-0.011166095500206,0.00144509153388626,-0.00457735903421577,0.00149832444269704,0,0,0,0,0.00230839105051911,0,0,0,0,-0.0498787657511219
VIX.INDEX,0,0.151701893245395,-0.111533534731574,-0.0136588459327051,-0.204940265140207,0.0468240800483603,-0.321126663193524,0.088333901079082,0.140548546382575,-0.16816015884765,0,0,0.0720743179694873,0,0.133370740188663,0,1.27111210164641,0,0,0
