,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,XMR,DASH,XEM,TRX,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.196099492242587,0.0372602767951135,0.0363213419398398,0,0,0.0790059745416731,0.0798150432983022,0,0.105626004709921,0,0.00944711646746286,0.11719412824351,0,0,0,0,0
ETH,0,0,0.201838825110712,0.168405089137591,0.194845401609212,0,0.0125688455549868,0,0,0,0,0.0667363538712604,0.0583089545161526,0.0812857503536721,0.0562976160042183,0,0,0,0,0.0199380746283056
XRP,0,0,0,0.202448358054446,0,0.21434768057484,0,0.136585234326237,0,0,0,0,0.101295369102245,0,0.020121055120134,0,0,0,0,0
BCH,0,0,0,0,0.179729207508602,-0.00000000000000000693889390390723,0,0,0.20034361563512,0.0254148256005559,0.0497846271967722,0.196747955767826,0,0,0.194983110851682,0,0,0,0,-0.034525301574673
LTC,0.00000000000000000693889390390723,0.241349431267685,0,0.183784272600888,0,0,0,0.0811151861586268,0.0504075196386737,0.191888995704554,0,0.0679210589827635,0.0304695727088912,0,0,0,0,0,0,0.0273712011305421
EOS,0.26737303075081,0,0.0486461251675346,0,0.0687971923268591,0,0.0767405882249866,0,0.175963227316046,0,0,0,0.158118717074211,-0.0536116896070247,0.11623133060615,0,0,0,0,0
ADA,0,0,0,0,0.14059810516041,0.544502060625983,0,0,0.116233131108424,0,0.0808820521343644,0,0.0588145104497544,0.0000000000000000277555756156289,0,0,0,0,0,0
XLM,0,0,0.365684163198585,0.015401688545385,0,0,0,0,0.0420503145475389,0.0692678982961197,0,0.101524556226845,0.155675465818152,0.133749046934693,0.045278011369205,0,0,0,0,-0.0139652711964477
NEO,0,0,0,0.0945914788643564,0.117214849425485,0.0236046348467397,0.0562952395956319,0.12149721702008,0,0,0.19320026487992,0.0652928063161455,0.0219746818707558,0,0.0812187916458446,0,0,0,0,0
MIOTA,0.0443737653490471,0,0.161277860527724,0.187828840635189,0.0524195793945271,0.0644866074072864,0,0.000285361403526639,0.118018426942388,0,0.155260331335021,0,0.10358085836638,0,0.0438824352341808,0,0,0,0,0
XMR,0.449634692147876,0,0,0,0.235824264360508,0,0,0.0409017799702686,0.131944946485439,0.131659317838496,0,0,-0.0351863104431658,0,0,0,0,0,0,0.0785945944846236
DASH,0.136374119721975,0.0705240664129243,0,0.0693560856661257,0,0,0.155851235088199,0,0.05584737204898,0,0,0,-0.000000000000000000867361737988404,0.191674045247288,0.0785566071501078,0,0,0,0,0.00704516303324704
XEM,0,0,0,0,0.196663870935728,-0.056587026628411,0.354837778750807,0.0128520238749096,0.476037554728939,0,0,0,0,0,0,0,0,0,0,0.0636066232734355
TRX,0,0.025842019014854,0,0.00000000000000000346944695195361,0,0.366740080052963,0,0.0289206705122087,0,0.631048521690575,0,0,0,0,0,0,0,0,0,0.0653730775194973
BNB,0,0.343498844740493,0,0.0333372424079522,-0.165600652839874,-0.127513116170761,0,0,0.228518524857323,0.126112349835043,0.186090361588601,0,0.210372612241664,0.0867758521111169,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0.0363601282381874,-0.00256267218206002,0,0,0,-0.028199608485458,0.134906452923302,-0.0456619789755044,-0.0507302415488446,0,0,0,0,0,-0.0366402833550727
CVIX.INDEX,0,0,0.109846333685397,-0.128398230623456,0.0173253657000897,-0.0152562275943001,0,0.00687884994037748,0.0501445602794425,0.0379896125588883,0,0.0953082185062958,0,0.0261579850017844,-0.202866743557745,0,0,0,0,0.0609851107483346
DXY.INDEX,0,0.0282341147236434,0.0206053709859245,-0.0150048273765311,-0.0109650144382145,0.00346699772657993,0,-0.00950090573750346,0,0,-0.0126115505712158,0.0205903513120451,0,-0.00706995858061121,-0.0143195774004527,0,0,0,0,0.00956074274342396
SPX.INDEX,0,-0.0263426339789408,0,0,0,0,0,0,0,0,0.0227528975732622,0,0,-0.0386727673999367,0,0,0,0,0,-0.0805509335255505
VIX.INDEX,-0.0760035357137851,-0.201039640321989,0,0,0,0.277412491066001,-0.0769457371132676,-0.0487912021505161,0,-0.00000000000000000693889390390723,-0.141218219420453,0,0,0.173884778646608,-0.04036879286794,-0.783613306592868,0,0,-4.83602182647257,0
