,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,DASH,MIOTA,TRX,NEO,ETC,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.0709588458604345,0.0903136697435196,0,0.0993896805629843,0.367911154704135,0,0.122771301979452,0,0,0.000523059075965837,0,0,0,0,0,0,0,0
ETH,0.0359749088065885,0,0,0.283081537456317,0.115882027712072,0,0.0213174776875896,0.169222638295569,0.028983039876299,0,0,0,0,0.242159086074021,0.171279953976542,0,0,0,0,0
XRP,0,0,0,0.192201139164134,0.119024808706587,0.0444844428314249,0,0,0,0,0.226733686167756,0,0,0.177851964451748,0.0357907511745914,0,0,0,0,0.0304287469630464
BCH,0,0,0,0,0.33763385428955,0,0.124694667355114,0.132810430685809,0,0.0622000147690399,0.0361268815607232,0.0333306019024945,0,0,0,0,0,0,0,0
EOS,0.293260247882281,0.118435502183638,0,0,0,0.105767328110832,0,0,0.0701051135214934,0.0639634418092204,0.102131594143701,0.319634162769536,0.180583499641653,0,0,0,0,0,0,0
XLM,0,0,0,0.235697245451781,0,0,0,0.203293563387197,0.195070729666965,0,0.0314863183247422,0.153275955351201,0.0578460429236673,0,0,0,0,0,0,0
LTC,0.0273657969152542,0.110663530423992,0,0.334064537042374,0,0,0,0,0.0423454218323684,0.0540950382206725,0.168900000884716,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0.286143732816008,0,0.229899663189937,0,0,0.115542020781381,0.0324084513375702,0.168325285586025,0,0,0,0.0790459137074662,0,0,0,0,0
XMR,0,0,0,0,0.218631876758774,0,0,0.135287005719163,0,0.0695225106851644,0,0,0.170348435974292,0.132832742835613,0,0,0,0,0,0
DASH,0,0.132110519680256,0,0,0.103748337871528,0,0,0.2471737827474,0,0,0.0500291685122293,0.228555355309388,0,0.0678297728062507,0,0,0,0,0,0
MIOTA,0,0,0.367546128509229,0,0,0.0284310540819496,0,0,0,0,0,0.363237619860222,0.28756762059816,0,0,0,0,0,0,0
TRX,0,0,0,0,0.0928114558331294,0,0,0.182459792905848,0,0.0717309381853716,0.0529686590580492,0,0.322416921672308,0,0.0708214868083114,0,0,0,0,0.0191888829649592
NEO,0,0.272312881321396,0,0.306063881209805,0.0101960326511059,0,0,0,0,0.0827350968324363,0.16046126317198,0.174186555901201,0,-0.0320610527594078,0.172636857356097,0,0,0,0,0
ETC,0,0.352603528152931,0,0,0,0.193259042492758,0,0,0.0666249607901148,-0.210729028246649,0.376485669865756,0,0,0,0,0,0,0,0,0.026059413903138
BNB,0,0,0,0,0,-0.151067706987123,0,0.115927838285379,0.206966481653709,0.276394060851055,0.205357927644382,0,0.0468533490366991,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.0466154138914475,-0.0157365586110155,-0.113118939906543,0.0550553675726841,-0.0153007445656715,0,0,0.0950145095251211,0,0,0.0508252882265461,0,0,0,0,-0.0707214909549756
CVIX.INDEX,-0.0732112961911507,-0.225451148465453,0.0260909260826693,0,0,0,0,0.117398512622049,-0.00295627655634566,0.0140286710469515,-0.0170078141123057,0,0,0.258546722503263,0.167607210338544,0,0,0,0,0.0850565197200522
DXY.INDEX,0.0395266785677431,-0.082522005476394,0,0.0270045809142907,0,-0.0303713820543243,0.00104534633689064,0.022474338015707,0,0.0021341011443602,-0.00746421588405846,0,0.00966469209917298,0.0287058136226905,-0.0048461697388576,-0.00298891466744526,0.109785420470723,0,-0.104986947194131,-0.0167645819417072
SPX.INDEX,0,0,-0.00847242947224543,-0.00477816876852682,0,0,0,0.0168320342472306,0.00536732002239462,-0.00217155452715302,0,0,-0.0127971947342138,0,0,0,0,0,0,-0.0607353420788145
VIX.INDEX,1.06503521987428,0,0,0,0,-0.0330102653592338,0,0,-0.368096961885391,-0.37980248528088,0,0,-0.302626478382585,-0.168539855531245,0.72529998271961,0,0,0,0,0
