,BTC,ETH,XRP,BCH,LTC,XEM,DASH,ETC,MIOTA,XMR,EOS,NEO,ZEC,DOGE,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.0636708851643282,0,-0.123535355644348,0.211084607792162,0.141135834947824,0.004474878965663,0.038012551182929,0,0.0649377026962114,0.0529837910808003,0.0423385357804307,0,0.101473089597642,-0.0579631808346881,0,0,0,0,0.206505033445411
ETH,0,0,0,0,0,0,0.0663161674498628,0.240276926051378,0.0765718638203366,0,0.0668736050529838,0,0.0822948170247376,0.236029013091359,0,0,0,0,0,0.0232468802540257
XRP,0,0.172878232395308,0,0,0,0.319854234428214,0.150136474480467,0,0,0,0.0223923660018186,0,0,0,0.164333094472113,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.300734441591976,-0.0566037838117052,0,0,0,0,-0.131328925675471,0.210503581131105,-0.0327276461234326,0.0134924475597557,0,0.125363376965834,0.117489934327946,0.193967440705318,0,0,0,0,0,0
XEM,0,0,0.362048298540426,0,0.0893923753112165,0,0,0,0,0.248997938569723,0.028659436997809,0.0186102036302475,0,0,0.081696865774542,0,0,0,0,0
DASH,0.204942219834073,0.108131295738201,0,0,0.0136446580397026,0.14050974806253,0,0.17192627633288,0,0.168497324678352,0,0.0683896171619399,0,0,0,0,0,0,0,0
ETC,0.000878607343308371,0.22206016195478,0,0,0.146602594653385,0,0,0,0,0.248609551408805,0.0295066565635169,0.0277523914251345,0.0370081758101654,0,-0.121808071588588,0,0,0,0,0
MIOTA,0.233350059453008,0,0,0,0,0.0000000000000000138777878078145,0.231140592512497,0,0,0,0.0413751866651282,0,0.295800220382279,0.215781592604686,0.166316489489419,0,0,0,0,0
XMR,0,0,-0.0229226914769875,0,0,0.271348843842531,0.400696491285075,0,0,0,0,0,0,0.103608407081336,0.175180986626309,0,0,0,0,0
EOS,0,0.280468218525434,0.00000000000000000010842021724855,-0.0403537734075261,-0.215989771161693,0.484625831621172,0,0.0737310414924812,0,0,0,0.109973910024774,0.281821089399734,0,0,0,0,0,0,0
NEO,0,0.0482515715387548,0,0,0.0785337531299896,0,0.0854901735701116,0,0,0,0.0277735010153497,0,0.524574222479254,0.0210969079280134,0.0948662032597669,0,0,0,0,0
ZEC,0,0.14692931131426,0,0,0,0,0,0,0.155743070781238,0.0715052855956731,0.0282220717248095,0.0423766499919164,0,0.074480797574444,0.107254326534808,0,0,0,0,0
DOGE,0,0.0703961964976101,0.16201702614085,0,0.0303445354220521,0.353450942998871,0,0.0973206777494618,0.0634634955745512,0.117107773808525,-0.0608827184518159,0.0146994293566595,0,0,0,0,0,0,0,0
XLM,0,0,0.0680888624853402,0,0,0,0,0,0.137862040607525,0.558041794444612,0.101205374646468,0.014342944710207,0.0953155671077562,0.114470824195436,0,0,0,0,0,0
BV010082.INDEX,0,0.0122433573156744,0,0,0,-0.0359864829420449,0.0295044852224805,-0.0200044343925824,0.0163210511018513,0,0.00901759979745165,-0.00905647086363114,0.0237433239634277,0.0140123679046133,-0.0185466453315336,0,0,0,0,0.0335626342624302
CVIX.INDEX,0,0,0.0655912695381478,0,0.00304076445483513,-0.0401739926989071,-0.119645268008103,0.0459869452236445,0.0684644199612795,0,0.0214951816296639,-0.00342032631749949,-0.0526414791054893,0,0,0,0,0,0,0.0304004403024658
DXY.INDEX,0.00106732151034106,0,0.00324155642452538,0,0.00568614775913851,0,0,0,0.00422570717533916,0,0.00000000000000000010842021724855,0,0,0,-0.00469787243611298,0,0,0,0,0
SPX.INDEX,0.00445784197324079,0,0,0,0,-0.00509330308145843,0.00561625419864401,-0.00674836235642129,0,-0.000583107902513181,0.00137955793456652,0,0.00354299291552782,0,0,0,0,0,0,-0.0607304679410118
VIX.INDEX,0.0334511719014071,0.284948369294133,0,0,0,0,0,0,-0.110968431998804,0.18470034767702,0,-0.0807933474761103,0,0,0,0,0,0,0,0
