,BTC,ETH,XRP,BCH,EOS,LTC,XLM,TRX,BSV,ADA,MIOTA,XMR,BNB,DASH,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.0691758101865576,0.117671519018192,0,0.0116014313299456,0,0.0245406034190769,0.306751522401691,0.117336247934146,0.0790695021319718,0,0,0,0,0,0
ETH,0,0,0.206824228334934,0.0688353563180894,0.00224932425253514,0,0.0249326296809471,0,0.0097609664145035,0.106783093122317,0,0.387614262992977,0.0841626285417784,0.0639064437589966,0,0,0,0,0,0.00860471734686251
XRP,0,0.0901794131731893,0,0.0509422348447271,0,0.122878630941202,0.0201583615310657,0,0,0,0.00681057296577843,0,0.076874982231495,0.0786826968686972,0.168845756978956,0,0,0,0,0.0259757098949546
BCH,0,0,0,0,0.262822898581443,0.274900169078937,0,0,0.101652842035269,0.330282895109766,0.0708189144647762,0,0.193697634239732,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0,0.562156585289574,0,0,0.0838481205734471,0.101569442166496,0,0,0,0,0,0
LTC,0,0,0,0,0.190783288671159,0,0,0,0.0201468312563516,0,0.0730512284405056,0.156911605816741,0.0940829068945072,0.0337467474171571,0.0957937383425721,0,0,0,0,0
XLM,0,0,0,0.184748991533249,0,0,0,0,0,0.00287445211032184,0.0609968416503334,0.16707499942466,0.131530727616595,0,0.0910200512028965,0,0,0,0,0
TRX,0.206565877671889,0,0,0.0284474706870708,0,0,0,0,0.0171208752567345,0.264717065503136,-0.00000000000000000346944695195361,0.29122320076764,0.0448519508209578,0.00684409234445453,0,0,0,0,0,0
BSV,0,0.425094797255788,-2.7490520220189,0.747632698583556,0.00687174031930422,0,-0.522370075173819,0,0,0,0.446556642326886,0,0.620594791314517,0.14022432249051,0.707917690460888,0,0.0257705267758913,0,0,0.135226843698556
ADA,0,0.0648217636012921,0,0.101058349892334,0.235293898659229,0,0.0244698147921813,0.221514310423065,0,0,0.131828635103723,0.141525294637888,0,0,0,0,0,0,0,-0.0174082411297026
MIOTA,0,0.0284036960914297,0,0.0460448700061503,0.079301550041939,0.13969778067947,0.322827532212389,0,0.0429588584265283,0.0266430692521516,0,0.0391221310460274,0.136775504106685,0,0,0,0,0,0,0
XMR,0.122219725838312,0.0226403090464727,0,0,0,0.0633953879453656,0,0,0,0.140045921282231,0,0,0,0.291108775843633,0.338020501420743,0,0,0,0,0
BNB,0,0,0,0,0.156429050057493,0,0.0515605557539569,0.0407428068825544,-0.00564889298541033,0.255270597017368,0,0,0,0,0.384153368442998,0,0,0,0,0.103644208429583
DASH,0,0.262132171198805,0,0,0.185020500546216,0,0.146926241415295,0,0,0,0,0.193460944889532,0.0265295658176922,0,0.138663035883205,0,0,0,0,0
NEO,0,0,0,0,0.0278992543756978,0.19531725282778,0,0.177586792585318,0,0,0,0.359512319036623,0.213920722850502,0.000245499364846842,0,0,0,0,0,0
BV010082.INDEX,0.205468322456733,-0.193824273354751,0,-0.0179601214829987,0,0.0621578233998692,-0.112533731169668,-0.0647866980688672,0.0226077028486259,0,0.0483476335541098,0,0,0.0784287732797739,0,0,0,0,0.0557522902463686,-0.0664074749791503
CVIX.INDEX,0,0.059986342759874,0,0.00597104354203161,-0.164487084185274,0,0.0639127812586438,-0.421424930464411,0.0242627802200332,0.0983553690092892,0.122792615177806,0,0.00450873262807194,0.0838803744278335,0,0,0,0,0,0.121331380038725
DXY.INDEX,0,0,0,0.00320709937495953,0,0,0,-0.0321810392328871,0.00572774925567288,0,0,0,0.00541985745963769,0.00807744718366068,0,0.0596548622404576,0.00468121645254247,0,0,0.00625998257682038
SPX.INDEX,0,0,0,0,-0.0357927251882101,0,0,-0.00658495535268153,0.0123855239544777,0,-0.0113046228176638,0,0,-0.0344993928574331,0.0645998112672294,0.128412686345216,-0.03100662033886,0,0,-0.11744279701959
VIX.INDEX,0,-0.295915424865906,0.809979670771823,0,0,0.0796356149025363,-0.128046039974582,0.255632656998861,0.0743264200049008,0,0,-0.51937770137057,0.0443748325337587,0,0,0,0,0,-4.6682530581009,0
