,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XTZ,TRX,ADA,XLM,LEO,ATOM,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0855769533461762,0.055402566457525,0.0902701766696431,0,0.019229951706201,0.0230721602273343,0.0137660768662943,0,0,0,0,0.0433020528984275,0.229132611050226,0,0,0,0,0
ETH,0,0,0,0.0628872332410022,0.416148763469039,0.0587325226049945,0.237102444951236,0,0,0,0,0,0,0.0567020941891546,0,0,0,0,0,0
XRP,0,0,0,0.290522796485757,0,0,0.195564190724858,0,0.111262355156182,0,0,0.108015517404497,0,0,0,0,0,0,0,0.0975102855560007
BCH,0,0.155767314366177,0.118011051137195,0,0,0.0156009362814521,0.258673212972557,0.098798587782514,-0.0241177639365782,0.249176563222904,0,0,0,0.0765868239283163,0,0,0,0,0,0
LTC,0,0.065869107014489,0.0665317034155391,0.106840404459438,0,0.446110467864859,0,0,0,0,0.0648782837572911,0.0265253110035263,0,0.125781040161075,0,0,0,0,0,0
EOS,0,0.187145998727909,0,0,0.602698087236736,0,0.0194619147035653,0.119459299848226,0,0.0363888950521239,0,0.0353325820060382,0,0,0,0,0,0,0,0
BNB,0,0.0922562983723035,0.125848878406351,0.223423968053775,0.0120325148653233,0.256871875163523,0,0,0,0.0811812565920287,0,0,0,0.0179499432351655,0,0,0,0,0,-0.0330989027816168
BSV,0,0,0,0.469117800326886,0,0.141404392527217,0,0,0.0509175698627563,0.080782074435056,0.0622588804920982,0,0,0,0,0,0,0,0,-0.0818634726457785
XTZ,0,0,0.401669734394703,0,-0.471867546167431,0,0.6238941636901,0,0,-0.251477226740957,0.430479791880887,0,0.2804281347972,0.037817815468997,0,0,0,0,0,0
TRX,-0.191628103688676,0,0.176700281750578,0.441365741932398,0,0,0,0,-0.00642914687722638,0,0.470049350056915,0.0785774782592091,0.28087095926254,0,0.165403999447935,0,0,0,0,0
ADA,0.0594020132637065,0.13241577988314,0.123712484431337,0,0,0.0529937749386985,0.0639389663477893,0.0394646303700866,0.0199303890646959,0.163055999223898,0,0.17037609597566,0,0.129847358807334,0,0,0,0,0,0.00428812712289632
XLM,0,0,0.237893151756152,0,0,0,0,0.0759752454279267,0,0.243599368459808,0,0,0,0.141271384060812,0,0,0,0,0,0
LEO,0.302455062518253,0,0,-0.0163972513438,0.356802492964018,-0.288573331414544,0,-0.14783834151571,0.0634998792480598,0,0.128805296685571,0.10659662856275,0,-0.10013144867535,-0.1366954642059,0,0,0,0,0
ATOM,0,0,0,0,0,0.123420804862702,0.129845376425804,0,0.091002204591969,0,0.388845181531067,0.342429026830533,0,0,0,-0.30543591743352,0,0,0,0.0141701133534937
XMR,0,0,0,0.300520293065217,-0.00000000000000000693889390390723,0.195830971971834,0,0,0.0744459333069766,0.0715403073404826,0,0,0,0.100484546845943,0,0,0.0756856409421775,0,0,0
BV010082.INDEX,0,0,0.244343020605808,0.119210925566577,0,0,0,-0.10116884785938,0.105327269040965,0.135059147688178,0,-0.13460038350905,0,-0.187596577727614,-0.11884120788624,0,0,0,0,-0.0645561214365373
CVIX.INDEX,0,0,-0.185978437365216,0.210099326020869,0,0,0,0,0.0280582017262287,-0.161334857577119,-0.124671541351958,0.0245068439642959,0,0,0.153044364167792,0,0,0,0,0
DXY.INDEX,0,0,0,0.0000818386727744801,0,-0.00681504094335272,0,0.0230718962880216,-0.00534213146097661,-0.0070862830599655,-0.00251045339743297,0.0128243524447532,-0.0403014817261033,-0.0189841766612456,0.00693825943516279,0.022284912522267,0,0,0,-0.00473039838308592
SPX.INDEX,0,0,0,0,0,0.013630444694468,0,0,-0.010217802623433,0.00340287725355241,0,0.00755331319158009,0,-0.00574729060631083,0,0.0911780275056706,0,0,0,-0.0379875327808397
VIX.INDEX,-0.151267782386019,0,-0.435218639879655,0,0,0,0,0,0.00257966614310323,0,0.597420119837742,0,-0.386493573553527,-0.232489071417288,0.0544575663942312,0,0.833901104632199,0,-4.20461049315757,0
