,BTC,ETH,LTC,XRP,DASH,DOGE,XEM,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.0602057110111634,0.249205621899984,0.0927812687473007,0,0.0828173244849024,-0.00894558594356796,0,0,0,-0.196923784230199,0,0,0,-0.00877100604439565
ETH,-0.507606061322991,0,0,0.292472638181286,0.216079024357836,-1.19226799293407,0,0,-0.166378868682306,0.31181679433442,0.458032015670986,0,0,0,0.136078411192366
LTC,0.608662845806186,-0.020662521474216,0,0,-0.215539013059882,0,0.066128221176071,0,-0.0845908006230944,-0.0296221462108626,0,0,0,0,0
XRP,0.0778596161936648,0.0955830885995955,0.23380485468387,0,0,0.388988736273596,0.111076896415768,0.054355776796615,0.145303101201921,-0.0670473446400056,-0.455818914474587,0,0,0,0
DASH,0,0.0233128440521439,0,-0.29396263604862,0,0,0.111258593821774,0.20256686695752,0.248401432253812,0.0843011442578059,-0.0433379178165227,-0.468164323657797,0,0,0.143379071811899
DOGE,0.201565730097814,-0.0259259746286464,0,0.0954951864016497,0,0,-0.063396496380472,0,0,0,0.0118614959209134,-0.2497894535612,0,0,0.0321765834451047
XEM,0,0,0,0,0,0,0,0,0,0.11837253073248,0,0,0,0,0
XMR,0,0.537682751362794,0,0,-0.102195990428937,0,-0.224006929890519,0,0.680904543289259,-0.146255810638579,0,0,0,0,-0.576820375040605
XLM,0,0,0.0235565733968085,0.428291065998443,0.284965857849269,0.338871205067587,-0.0696333260310203,0.119853963485736,0,0,0,0.289288153880646,0,0,-0.106495320532862
DGB,-0.850798739399955,0.15246250300327,0.12189058057777,-0.633554285179361,0,-0.310413173199303,0.210506203771946,0.658431097349196,-0.0787559337311114,0,0,-0.397476818820106,0,0,0.109388100203805
BV010082.INDEX,-0.187375511257241,0.0864871553562179,0.0367962472594918,0,-0.21768601556213,0.124106145208993,-0.0447127223643814,-0.0231627759296949,0.103034052859116,-0.0459512529675885,0,0.0430226744526532,0.567532626451314,0,-0.110227803279787
CVIX.INDEX,0,0.0801189729470334,-0.178639547499719,0.0992850625566155,-0.206564115459536,0,0,-0.0376899925702067,0.345861630110096,0.0451575834856905,0,0,0,0,0.0519248927767101
DXY.INDEX,0,0,0.066168493185834,0.048951453563644,0,0.00170183825725815,0.045712561802852,0,0,0.0185740682165711,0.151054657363583,0.0300271833313824,0,0,-0.0166351808368537
SPX.INDEX,0,-0.0126566788250014,-0.0229446510714088,0.00767173338466592,0.0201643303286234,0,0.0081299289257949,-0.0180813925758491,0,0.0126866023943476,0.0283746415305476,-0.0157834285145121,0,0,-0.0899973635711322
VIX.INDEX,0,0.213332589087498,-0.0956583866006152,0,0.392473824801254,0.26288209609571,0,-0.416482048197052,0.187361931881843,-0.170743815243607,-0.395124292471578,0,0,-2.85469662026629,0
