,BTC,ETH,XRP,BCH,ADA,XEM,LTC,XLM,MIOTA,DASH,NEO,TRX,XMR,EOS,BTG,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,-0.14954793323874,0,-0.0190018183534599,0,0.0276220820806287,0.0540486419608559,0,0.076270560154238,-0.0326512672134658,0.212904172855608,0.0868455445210718,0,0,0,0,0,0
ETH,0,0,0,0,0,0,0.267403917780092,0,0.0101404581295601,0.0570436975731283,0.119457668383953,0.0372004588689649,0.0573539743745867,0.0671776035833199,0.0684775815738315,0,0,0,0,0
XRP,0,0,0,0.151058443796539,0.00780194416368489,0.17505817513575,0,0.275672423941259,0,0.139656997921673,0,0.00937510780704725,0,0.208450101627638,0.0624430515087832,0,0,0,0,0
BCH,0,0,-0.107199934737002,0,0,0.0511254001854709,0,0,0,0.17890844114576,0.164665919188208,0.0200600221924565,0.182512120616085,0,0.181346371106289,0,0,0,0,0
ADA,0,0.262957367591139,0.172693521494859,0,0,0.131595630949987,0,0.259047540483446,0,-0.0550300112596689,0.0965826821861638,0.0476990803062479,0,0,0.119023125432255,0,0,0,0,0
XEM,0,0,0.104207620448266,0,0.0435969914406976,0,0,0.164936844701583,0.166609259174519,0.125719671317949,0.0658910685793893,0,0,0.0796665129256694,0,0,0,0,0,0
LTC,0.22324249299706,0.279049197655691,0,-0.0419601204501785,0.00382898077178718,-0.0210548942040653,0,-0.0202529369069755,0.144889304252396,0,0,0.00799036501230363,0,0.0871686487473132,0,0,0,0,0,0
XLM,0,0.00932115640288836,0.0792481428890714,-0.0522624769211423,0.383822786399417,0,0.162626334925096,0,0,-0.0958859718536858,0.103826382697216,-0.0686442082891358,0.13032247109729,0.0916515213908558,0,0,0,0,0,0
MIOTA,0.367354689018871,0,-0.106005356541254,-0.02437991217519,-0.0632106125640096,0,0,0.273238307814222,0,0,0,-0.0807092410524595,0.382150359283941,0.218283974384292,0,0,0,0,0,0
DASH,0,0,0.066051492153947,0.160313856439627,0.0205839405751701,0.0227130052096927,0.14906723187635,0,0.0771094137870222,0,0,0,0,0.0619568329853002,0.0519113385255077,0,0,0,0,0
NEO,0,0.700208078075732,0,0,0.0142523065346785,0.0254726630200743,0.0186346393152453,0.155326795916223,-0.105891810477905,0.06315299283908,0,0.0437495860667677,0,0,-0.0942345490623112,0,0,0,0,0
TRX,0.340973484295183,0.179120444009384,0.0965714793839579,0,0.0864391836612328,0,0,-0.157576972428704,0,0,-0.400721781750499,0,0.267468783016453,0.313845365350357,0.0201378388187,0,0,0,0,0
XMR,0,0,0,0.0200115539031836,0,0,0.000000000000000000433680868994202,0.182760057173826,0.203053645792919,0,0.089984522404026,0.114930300156042,0,0,0,0,0,0,0,0
EOS,0,0.0833832136608724,0,0,-0.0205576697115077,0.128276663310524,0.084856485894101,0.259331536160775,0,0.0721933159673475,0,0.15712582936482,-0.0000000000000000000271050543121376,0,0.217701489446098,0,0,0,0,0
BTG,0,0,0.0039152195721175,0.737998978754947,0.0478561020988003,0.00673311745353994,0.277852701727651,0,0,-0.112965023564674,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.0467290558290508,0.00678664915080163,0,0.0158653846771077,0,0,0.0236538209138523,0,0,0.00399342583068603,0,0,0,0,0,0
CVIX.INDEX,-0.0304898562599593,0,0.0329782744893568,-0.00248447035819435,-0.0142665713328951,0.000240994853423561,-0.0400300411191768,0.0430602767597908,0,0,-0.0620461110465025,-0.0154952676357598,-0.00000000000000000346944695195361,0,-0.00773094190262058,0,0,0,0,0.00161085970742454
DXY.INDEX,0,0,-0.000729541965182115,-0.00492948115359498,-0.0042258175905142,0,0.000459090291097529,-0.00435425356978131,0.00812381760840613,0,0,0.00706620481157132,0.0117213693264348,0,-0.00364310495901811,0,0,0,0,0
SPX.INDEX,0,0.0111364966384233,0.000999394605696613,0,0.00348071976961552,0.00117171273757588,0,-0.00491455610929533,0,0.000776546407967525,0.00404637337443208,-0.000308401661488675,0,0.00074945115398574,0,0,0,0,0,-0.0312302389583777
VIX.INDEX,0.278016322326942,0.0544576341479844,0.0290436244232664,-0.0772603749473743,0.0522189796503025,-0.0237010750516597,0,-0.159605825410725,0.0223710588033714,-0.0958728106054012,-0.215430893614988,-0.138536683626307,0,0.221983460294751,0,0,0,0,0,0
