,BTC,ETH,XRP,LTC,XMR,DASH,ETC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.350400511609002,0.14958592943149,0.304553672092729,-0.0219035112062622,0.105149219947901,0,0,0,0.0313217917153952,0.074479250884896,0,0,0,0,0
ETH,0,0,0,0,0.137530330180256,0.240286274660414,-0.0321745271183795,0.0483743801512041,0,0,0,0.245871577936725,0,0,0,0,0,0
XRP,0.0812666316606764,0.0279677186745158,0,0,0.018958974828716,0.0962860133582542,0,0.0416765722420267,0.000986917378170943,0,0.059873153439191,0,0,0,0,0,0,0
LTC,0.485441418630052,0,0,0,0,-0.00000000000000000693889390390723,0,0.162831825430035,0.150095296863711,0,0.107420111844731,0.0668183887800979,0.0610211616891089,0,0,0,0,0.0449284853369529
XMR,0.633550103726422,0.0424179917715612,-0.284193485880364,0.165614480773705,0,0,0,0,0,0,-0.000000000000000000867361737988404,0.014524926104106,-0.15732905033471,0,0.263220905704762,0,0,0.0352156223524853
DASH,0.503621633142198,0,0,0,0.19192494905356,0,0.309581324173797,0.0934843495264686,0,0,0.12613289506334,-0.0131013414527289,-0.0653032922298854,0,0,0,0,0
ETC,0,0.0974961029128358,0,0,0.151880707450613,0.289715994108693,0,0.166399645406417,0.106274663967259,0,-0.0125393101276301,0.188826879956743,0.202658709481949,0,0,0,0,0
XEM,-0.0524199512200543,-0.109764932605364,0.133668003149621,0.13024635276582,-0.145124093587278,0.273587027962559,0.142706879182802,0,0.276442500247928,-0.282268679831983,0.0310558468034096,-0.0159138966854017,-0.0331287424917312,0,0,0,0,0
ZEC,0,0.0306273651445033,0.321605385312114,0.421700559230719,-0.0713125407596963,0.299744118123666,-0.230548579782144,0,0,0,-0.0179108652417841,0.175416754152092,0.365389768039234,0,0,0,0,0
DOGE,0.454576784732108,0,0,0,-0.0567980100988605,0,0.00509726336265063,0,0,0,-0.00417621286890669,0.0834796960039045,0,0,0,0,0,-0.0551338377424485
XLM,-0.757657983617057,0.370405108012991,0.241311470210762,-0.0254988846559405,0.262894473149499,0.281224697462149,0,0.181223204112323,0.252967573041592,0,0,0.252599019573703,0.0582166884437859,-0.529182836102414,0,0,0,0
NEO,0.583003713009637,0,0.828930168830144,-0.331272929476639,0.16121993719063,-0.242796882938596,0.0888601856344519,0.0743716282434026,-0.0859402343105461,0,-0.00337311368394288,0,0,-0.270475939336607,0,0,0,-0.174382045394836
DGB,1.35218883151246,-0.0413196419649899,0.0000000000000000138777878078145,-0.934479426445477,-0.313697484504192,0,0.162195826546679,0.150562939170355,0.00000000000000000173472347597681,0,0.0511669452228998,0.184359939548308,0,0.174801276746487,0,0,0,0.0858072805014681
BV010082.INDEX,0,-0.0809340903297493,0.017467011404119,0,0.088137997006462,0,-0.00630574337019402,-0.00379389967911669,-0.0508154558442063,0.136320749583838,0.0325484222487083,0,0,0,-0.0778747833640283,0,0,0.0232379153032976
CVIX.INDEX,0,0.0725754201209891,0,0.0733100723368366,0.0515620565434623,-0.00633073083090877,0.0928219899581867,-0.0877828212999078,-0.0447644435694316,0.0620136953335076,-0.0419698528206453,0.000000000000000000216840434497101,-0.0738356538211169,0,0,0,0,0.0771115990778647
DXY.INDEX,0,0.0139872511210281,-0.0534435643545267,0.00832930606870653,0.0115896487122826,0.0120265528701932,-0.0110752773982975,0.00783890106562632,0.00326663145161236,0.0151380390625892,-0.00928612991204398,0,-0.00201930433896838,0.0891272350196926,0.0478177145249615,0,0,-0.017755609281514
SPX.INDEX,0,0,0,-0.017329789169686,0.00160820057016543,0.00898414503506288,-0.00805819883934451,0.0142391996040539,0,0,-0.005395153287172,0.0180286260871167,0.00399916595129735,0,0,0,0,-0.0557372311218854
VIX.INDEX,-0.0530947714990706,-0.470839789144135,0.474905930146011,0,0.146476638472639,0.191952769296625,-0.0780702184601577,-0.0981128034664128,-0.0035073021610231,0,-0.0539199685648009,0.134743462804503,0.156105664271679,-0.0112411807584669,0.0914328682224037,0,-5.50134551908487,0
