,BTC,ETH,BCH,XRP,LTC,MIOTA,XEM,NEO,DASH,ETC,XMR,EOS,ZEC,BNB,BAT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.132914874723417,0,0.276045642630757,0.0138495040372434,0,0.00000000000000000346944695195361,0.125776302039459,0.0340019794576075,0,0.0462992865237523,0,0.0810656320050108,0.0627064726171138,0,0,0,0,0
ETH,0,0,0,0.150078839499786,0,0.0563423599920361,0,0.00376244071836892,0.0955707292413278,0.185432793068328,0,0.0309040924893169,0.0542623486646049,0,0.184723366408573,0,0,0,0,0
BCH,0,-0.329388891180097,0,0.500915575851535,0,-0.632758551415899,0.353422699913256,-0.233973372079388,0.565371367110458,0.205645791800732,0.257461198064724,0,0,0.315284647474945,-0.13321127150127,0,0,0,0,-0.0390025875740086
XRP,0,0.276676247698667,-0.00619747233898284,0,0,0.0136162930868874,0.173601679004306,-0.0282637368224804,0.0367545820308712,0,0.126952031176878,0.0284112790593009,0,0,0.0838015335071765,0,0,0,0,0
LTC,0,0.0423563837824623,0,0,0,0.0994470831160788,0,0.03192953628169,0,0.140630722583736,0.0941860815216683,0,0,0,0,0,0,0,0,0
MIOTA,0,0,-0.133709282320511,0,0.195985482284969,0,0.259900395668583,0,0.511823716294027,0,0,-0.000728247392992567,0.223328936707756,0.209753928075474,0.0626895378889286,0,0,0,0,-0.123011634231124
XEM,0,0,0,0.367972057892523,0,0,0,0.0188261657582986,0,0,0.302406686977088,0,0,-0.0162658273164176,0.0878696521640603,0,0,0,0,0
NEO,0,0,-0.0660097832373188,0,0,0.100375999691661,0.250056872288627,0,0,0,0.185952483794651,0.06673842165514,0,0,0.0663357585824177,0,0,0,0,-0.0567300104018083
DASH,0,0.191838905696958,0,0,0,0,0.132003492017038,0.0591050075540937,0,0.11600355140643,0.134998918943015,0.0510817197439856,0,0.0158955363717176,0,0,0,0,0,0
ETC,0,0.276596276217288,0,0,0.270900830702429,0.0429550929490939,0,0.000000000000000000216840434497101,0,0,0.0503008461049185,0.00616006838462364,0,0.0126302596557419,0.0132466487712405,0,0,0,0,0
XMR,0,0.209503000611848,0.0383125889620222,0.13900473294831,0,0.0210279376353942,0.139662872747283,0,0.0673560010194038,0,0,0.0430718085317919,0.163735697049671,0,0.0340003862608174,0,0,0,0,0
EOS,0,0.446559363543046,0,0,-0.0711520242180666,0.0668110191587933,0,0.0994408003447254,0,0.106235647713201,0,0,0.250660688868287,0.0831216417074209,0,0,0,0,0,0.0827138110390668
ZEC,0,0.0347495699616962,0,0,0,0.224703505980776,0,0,0,0,0.221949882505234,0.0457653912214044,0,-0.0304387161133707,0.0592393870812594,0,0,0,0,0
BNB,0.0398671614134649,0,-0.019680853968532,0.124985802552855,0.156500966074661,0.0652059941401731,0,0.0212161640085299,0,0,-0.149170631379653,0.0333436831434718,-0.0952893118821059,0,0,0,1.29133337282756,0,0,0.348204552919931
BAT,0,0.402033097711923,-0.0843432751767128,0,-0.237620204682846,0.00404249577084613,0.292716086660152,-0.00744807424509376,0,0,0,-0.0280059555637559,0.340766856364213,0,0,0,0,0,0,-0.0708620909992389
BV010082.INDEX,0,0.00321924569043942,0.00417371461636293,0,0,-0.0119483721914422,0.00658702100805878,0,0,-0.0239193565406014,-0.0127549456826427,0,0.0336979280294818,-0.0260256656427707,0.017988599775441,0,0,0,0,0
CVIX.INDEX,0,0,0.0190468157112361,0,0,0.0634892273420241,-0.0044607609872843,0.0255433115573483,0,0,0,0.0102562405801723,-0.115516689810785,0,0,0,0,0,0,0.0699452812406845
DXY.INDEX,0.0102425450947396,-0.0158257653305456,0,0,0.0104980562602668,0.0131188798863327,-0.00217818042139528,-0.00667999104561294,0.00453705923150571,0,0,0.00467530768332316,0,0.00284949027476774,0,0,-0.0102924253011041,0,0,0
SPX.INDEX,0,0,0.00140519821720039,0,0.000340011716000573,0.00358787213718746,0,0,-0.00572496039727349,-0.00351401753179353,0,0.00161609449985122,0.0035159114798732,0.00170476263181496,-0.00304822741573724,0,0,0,0,-0.0527155330993278
VIX.INDEX,0,0,-0.0217628277047793,0.0846265320291671,0,-0.0149210546440657,0.155816050069619,-0.0517899329229276,-0.123172592615668,0,0,0.0322853024564192,0,0.0967249517851854,0,0,0.449807461785913,0,0,0
